Publisher,DOI,Journal,eISSN,ISSN,URL,Date_published,Corresponding_author_organization,Open_access_type,License_type,Apc_currency,Apc_paid,Apc_date_paid,Comments,Source_file
Frontiers Media,10.3389/fchem.2018.00637,"Frontiers in Chemistry, Section ""Nanoscience""",,,http://journal.frontiersin.org/article/431252,2018-12-21,Chalmers University of Technology,Gold,CC BY,USD,1710,2019-01-02,,FRONT2019JAN
Frontiers Media,10.3389/fncir.2018.00106,Frontiers in Neural Circuits,,,http://journal.frontiersin.org/article/410747,2018-12-21,Karolinska Institutet,Gold,CC BY,USD,2389.5,2018-11-09,,FRONT2019JAN
Frontiers Media,10.3389/fchem.2018.00644,"Frontiers in Chemistry, Section ""Theoretical and Computational Chemistry""",,,http://journal.frontiersin.org/article/434752,2018-12-21,Stockholm University,Gold,CC BY,USD,0,,,FRONT2019JAN
Frontiers Media,10.3389/fendo.2018.00780,"Frontiers in Endocrinology, Section ""Pediatric Endocrinology""",,,http://journal.frontiersin.org/article/420179,2018-12-21,University of Gothenburg,Gold,CC BY,USD,2241,,,FRONT2019JAN
Frontiers Media,10.3389/fimmu.2018.03081,"Frontiers in Immunology, Section ""Cancer Immunity and Immunotherapy""",,,http://journal.frontiersin.org/article/427486,2018-12-21,Uppsala University,Gold,CC BY,USD,1665,2019-01-15,,FRONT2019JAN
Frontiers Media,10.3389/fgene.2018.00664,"Frontiers in Genetics, Section ""Toxicogenomics""",,,http://journal.frontiersin.org/article/413186,2018-12-20,Karolinska Institutet,Gold,CC BY,USD,1453.5,2019-01-07,,FRONT2019JAN
Frontiers Media,10.3389/fphys.2018.01734,"Frontiers in Physiology, Section ""Exercise Physiology""",,,http://journal.frontiersin.org/article/418967,2018-11-28,Mid Sweden University,Gold,CC BY,USD,2655,2018-12-19,,FRONT2019JAN
Frontiers Media,10.3389/fpls.2018.01887,"Frontiers in Plant Science, Section ""Plant Physiology""",,,http://journal.frontiersin.org/article/420860,2018-12-20,Swedish University of Agricultural Sciences,Gold,CC BY,USD,2655,2018-12-27,,FRONT2019JAN
Frontiers Media,10.3389/fchem.2018.00608,"Frontiers in Chemistry, Section ""Inorganic Chemistry""",,,http://journal.frontiersin.org/article/427060,2018-12-19,Stockholm University,Gold,CC BY,USD,0,,,FRONT2019JAN
Frontiers Media,10.3389/fevo.2018.00218,"Frontiers in Ecology and Evolution, Section ""Agroecology and Ecosystem Services""",,,http://journal.frontiersin.org/article/414357,2018-12-19,Swedish University of Agricultural Sciences,Gold,CC BY,USD,1539,2019-01-04,,FRONT2019JAN
Frontiers Media,10.3389/fimmu.2018.02910,"Frontiers in Immunology, Section ""Microbial Immunology""",,,http://journal.frontiersin.org/article/408548,2018-12-18,Lund University,Gold,CC BY,USD,2389.5,,,FRONT2019JAN
Frontiers Media,10.3389/fncel.2018.00488,Frontiers in Cellular Neuroscience,,,http://journal.frontiersin.org/article/403344,2018-12-18,Lund University,Gold,CC BY,USD,2389.5,,,FRONT2019JAN
Frontiers Media,10.3389/fmicb.2018.03086,"Frontiers in Microbiology, Section ""Extreme Microbiology""",,,http://journal.frontiersin.org/article/411558,2018-12-18,Lund University,Gold,CC BY,USD,2655,2018-12-03,,FRONT2019JAN
Frontiers Media,10.3389/fmars.2018.00482,"Frontiers in Marine Science, Section ""Global Change and the Future Ocean""",,,http://journal.frontiersin.org/article/416043,2018-12-18,Swedish University of Agricultural Sciences,Gold,CC BY,USD,855,2019-01-04,,FRONT2019JAN
Frontiers Media,10.3389/fmicb.2018.03041,"Frontiers in Microbiology, Section ""Microbial Physiology and Metabolism""",,,http://journal.frontiersin.org/article/429782,2018-12-18,UmeÜ University,Gold,CC BY,USD,2655,,,FRONT2019JAN
Frontiers Media,10.3389/fmicb.2018.03151,"Frontiers in Microbiology, Section ""Infectious Diseases""",,,http://journal.frontiersin.org/article/428569,2018-12-18,UmeÜ University,Gold,CC BY,USD,2389.5,,,FRONT2019JAN
Frontiers Media,10.3389/fpls.2018.01873,"Frontiers in Plant Science, Section ""Plant Biotechnology""",,,http://journal.frontiersin.org/article/412442,2018-12-17,Swedish University of Agricultural Sciences,Gold,CC BY,USD,1035,2019-01-08,,FRONT2019JAN
Frontiers Media,10.3389/fmicb.2018.02941,"Frontiers in Microbiology, Section ""Antimicrobials, Resistance and Chemotherapy""",,,http://journal.frontiersin.org/article/417580,2018-12-14,Karolinska Institutet,Gold,CC BY,USD,2655,2018-12-14,,FRONT2019JAN
Frontiers Media,10.3389/fphys.2018.01171,"Frontiers in Physiology, Section ""Exercise Physiology""",,,http://journal.frontiersin.org/article/364388,2018-08-21,Mid Sweden University,Gold,CC BY,USD,0,,,FRONT2019JAN
Frontiers Media,10.3389/fcomm.2018.00056,"Frontiers in Communication, Section ""Science and Environmental Communication""",,,http://journal.frontiersin.org/article/416346,2018-12-14,Swedish University of Agricultural Sciences,Gold,CC BY,USD,769.5,2019-01-03,,FRONT2019JAN
Frontiers Media,10.3389/fnhum.2018.00481,Frontiers in Human Neuroscience,,,http://journal.frontiersin.org/article/408056,2018-12-13,UmeÜ University,Gold,CC BY,USD,2655,,,FRONT2019JAN
Frontiers Media,10.3389/fmicb.2018.03059,"Frontiers in Microbiology, Section ""Extreme Microbiology""",,,http://journal.frontiersin.org/article/421883,2018-12-12,LuleÜ University of Technology,Gold,CC BY,USD,2655,,,FRONT2019JAN
Frontiers Media,10.3389/fimmu.2018.02877,"Frontiers in Immunology, Section ""Multiple Sclerosis and Neuroimmunology""",,,http://journal.frontiersin.org/article/428167,2018-12-11,Karolinska Institutet,Gold,CC BY,USD,1665,,,FRONT2019JAN
Frontiers Media,10.3389/fimmu.2018.02816,"Frontiers in Immunology, Section ""Inflammation""",,,http://journal.frontiersin.org/article/419501,2018-12-11,University of Gothenburg,Gold,CC BY,USD,2389.5,,,FRONT2019JAN
Frontiers Media,10.3389/fphar.2018.01348,"Frontiers in Pharmacology, Section ""Pharmaceutical Medicine and Outcomes Research""",,,http://journal.frontiersin.org/article/422449,2018-12-10,Karolinska Institutet,Gold,CC BY,USD,2655,2018-10-01,,FRONT2019JAN
Frontiers Media,10.3389/fgene.2018.00603,"Frontiers in Genetics, Section ""Evolutionary and Population Genetics""",,,http://journal.frontiersin.org/article/381889,2018-12-10,Swedish University of Agricultural Sciences,Gold,CC BY,USD,787.5,2018-12-09,,FRONT2019JAN
Frontiers Media,10.3389/fpsyg.2018.02469,"Frontiers in Psychology, Section ""Movement Science and Sport Psychology""",,,http://journal.frontiersin.org/article/378920,2018-12-07,UmeÜ University,Gold,CC BY,USD,2389.5,,,FRONT2019JAN
Frontiers Media,10.3389/fendo.2018.00728,"Frontiers in Endocrinology, Section ""Obesity""",,,http://journal.frontiersin.org/article/373244,2018-12-06,Linkîping University,Gold,CC BY,USD,2241,2018-11-27,,FRONT2019JAN
Frontiers Media,10.3389/fpubh.2018.00328,"Frontiers in Public Health, Section ""Health Economics""",,,http://journal.frontiersin.org/article/419528,2018-12-05,Karolinska Institutet,Gold,CC BY,USD,0,,,FRONT2019JAN
