publisher,doi,journal,eissn,issn,url,date_published,corr_author_org,oa_type,license,apc_currency,apc,apc_date_paid,source_file,Online Publication Date,Corresponding Author Email Domain,Journal Status
cup,10.1017/dsj.2019.29,Design Science,2053-4701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-13T00:00:00Z,bth.se,Gold OA
cup,10.1017/dsj.2019.13,Design Science,2053-4701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-04T00:00:00Z,bth.se,Gold OA
cup,10.1017/S0017089519000065,Glasgow Mathematical Journal,1469-509X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-12T00:00:00Z,bth.se,Hybrid OA
cup,10.1017/S0022377819000898,Journal of Plasma Physics,1469-7807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-17T00:00:00Z,chalmers.se,Hybrid OA
cup,10.1017/S0022377819000874,Journal of Plasma Physics,1469-7807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-10T00:00:00Z,chalmers.se,Hybrid OA
cup,10.1017/jfm.2019.944,Journal of Fluid Mechanics,1469-7645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-10T00:00:00Z,chalmers.se,Hybrid OA
cup,10.1017/S0032247419000706,Polar Record,1475-3057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-20T00:00:00Z,chalmers.se,Hybrid OA
cup,10.1017/S0963926819000981,Urban History,1469-8706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-19T00:00:00Z,utu.fi,Hybrid OA
cup,10.1017/S0890060419000271,AI EDAM,1469-1760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-11T00:00:00Z,chalmers.se,Hybrid OA
cup,10.1017/S0007114519002149,British Journal of Nutrition,1475-2662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genetics.ac.cn,Hybrid OA
cup,10.1017/S0007114519002150,British Journal of Nutrition,1475-2662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genetics.ac.cn,Hybrid OA
cup,10.1017/S0007114519002113,British Journal of Nutrition,1475-2662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23T00:00:00Z,chalmers.se,Hybrid OA
cup,10.1017/fms.2019.23,"Forum of Mathematics, Sigma",2050-5094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-03T00:00:00Z,kcl.ac.uk,Gold OA
cup,10.1017/S0022377819000485,Journal of Plasma Physics,1469-7807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-12T00:00:00Z,chalmers.se,Hybrid OA
cup,10.1017/S002237781900045X,Journal of Plasma Physics,1469-7807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-19T00:00:00Z,chalmers.se,Hybrid OA
cup,10.1017/dsj.2019.10,Design Science,2053-4701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-30T00:00:00Z,chalmers.se,Gold OA
cup,10.1017/dsj.2019.8,Design Science,2053-4701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-13T00:00:00Z,chalmers.se,Gold OA
cup,10.1017/S1743921319003119,Proceedings of the International Astronomical Union,1743-9221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chalmers.se,No OA
cup,10.1017/S1431927619000424,Microscopy and Microanalysis,1435-8115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chalmers.se,Hybrid OA
cup,10.1017/S0032247419000159,Polar Record,1475-3057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chalmers.se,Hybrid OA
cup,10.1017/S1759078719000291,International Journal of Microwave and Wireless Technologies,1759-0795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-25T00:00:00Z,chalmers.se,Hybrid OA
cup,10.1017/jfm.2019.128,Journal of Fluid Mechanics,1469-7645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-20T00:00:00Z,chalmers.se,Hybrid OA
cup,10.1017/S1431927619000151,Microscopy and Microanalysis,1435-8115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-03-11T00:00:00Z,chalmers.se,Hybrid OA
cup,10.1017/S0022377819000023,Journal of Plasma Physics,1469-7807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-06T00:00:00Z,chalmers.se,Hybrid OA
cup,10.1557/adv.2019.5,MRS Advances,2059-8521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-14T00:00:00Z,chalmers.se,Hybrid OA
cup,10.1017/S1062798719000073,European Review,1474-0575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-15T00:00:00Z,chalmers.se,Hybrid OA
cup,10.1017/S0144686X1900045X,Ageing & Society,1469-1779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-03T00:00:00Z,du.se,Hybrid OA
cup,10.1017/S0047279419000230,Journal of Social Policy,1469-7823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-21T00:00:00Z,kau.se,Hybrid OA
cup,10.1017/S0033291719003908,Psychological Medicine,1469-8978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-07T00:00:00Z,ki.se,Hybrid OA
cup,10.1017/neu.2019.44,Acta Neuropsychiatrica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-20T00:00:00Z,ki.se,Hybrid OA
cup,10.1017/S0033291719003167,Psychological Medicine,1469-8978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-20T00:00:00Z,ki.se,Hybrid OA
cup,10.1017/S1352465819000687,Behavioural and Cognitive Psychotherapy,1469-1833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-05T00:00:00Z,ki.se,Hybrid OA
cup,10.1017/S104161021900173X,International Psychogeriatrics,1741-203X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-25T00:00:00Z,ki.se,Hybrid OA
cup,10.1017/thg.2019.99,Twin Research and Human Genetics,1839-2628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-21T00:00:00Z,ki.se,Hybrid OA
cup,10.1017/S0033291719003003,Psychological Medicine,1469-8978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-30T00:00:00Z,ki.se,Hybrid OA
cup,10.1017/S0033291719002976,Psychological Medicine,1469-8978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-29T00:00:00Z,ki.se,Hybrid OA
cup,10.1192/bjp.2019.220,British Journal of Psychiatry,1472-1465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-14T00:00:00Z,ki.se,Hybrid OA
cup,10.1192/bjp.2019.215,British Journal of Psychiatry,1472-1465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-14T00:00:00Z,ki.se,Hybrid OA
cup,10.1017/thg.2019.76,Twin Research and Human Genetics,1839-2628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-23T00:00:00Z,ki.se,Hybrid OA
cup,10.1017/S0033291719002423,Psychological Medicine,1469-8978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-09T00:00:00Z,ki.se,Hybrid OA
cup,10.1017/S0033291719001405,Psychological Medicine,1469-8978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-26T00:00:00Z,ki.se,Hybrid OA
cup,10.1017/erm.2019.4,Expert Reviews in Molecular Medicine,1462-3994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-27T00:00:00Z,scilifelab.se,Hybrid OA
cup,10.1017/S1047951119001136,Cardiology in the Young,1467-1107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-20T00:00:00Z,sll.se,Hybrid OA
cup,10.1017/S1049023X19004291,Prehospital and Disaster Medicine,1945-1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-06T00:00:00Z,ki.se,Hybrid OA
cup,10.1017/S0029665119000624,Proceedings of the Nutrition Society,1475-2719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-24T00:00:00Z,ki.se,Hybrid OA
cup,10.1192/bjp.2019.87,British Journal of Psychiatry,1472-1465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-26T00:00:00Z,ki.se,Hybrid OA
cup,10.1017/S0033291719000746,Psychological Medicine,1469-8978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-30T00:00:00Z,ki.se,Hybrid OA
cup,10.1017/bec.2019.10,Behaviour Change,2049-7768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-11T00:00:00Z,gmail.com,Hybrid OA
