"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"lu",2014,0,"10.4161/19420889.2014.994376",FALSE,"Taylor & Francis","Communicative & Integrative Biology","1942-0889",NA,"1942-0889",NA,NA,TRUE,"26479712","PMC4594589",NA,NA,TRUE
"uu",2015,2132,"10.3109/03009734.2015.1037032",FALSE,"Taylor & Francis","Upsala Journal of Medical Sciences","0300-9734","0300-9734","2000-1967",NA,NA,TRUE,"25903284","PMC4463485",NA,NA,FALSE
"uu",2015,0,"10.3109/03009734.2015.1037031",FALSE,"Taylor & Francis","Upsala Journal of Medical Sciences","0300-9734","0300-9734","2000-1967",NA,NA,TRUE,"25951045","PMC4526876",NA,NA,FALSE
"ki",2015,0,"10.3109/03009734.2015.1040529",FALSE,"Taylor & Francis","Upsala Journal of Medical Sciences","0300-9734","0300-9734","2000-1967",NA,NA,TRUE,"25947550","PMC4816888",NA,NA,FALSE
"uu",2015,0,"10.3109/03009734.2015.1044055",FALSE,"Taylor & Francis","Upsala Journal of Medical Sciences",NA,NA,NA,NA,NA,FALSE,"25941864","PMC4463487",NA,NA,NA
"uu",2015,0,"10.3109/03009734.2015.1049388",FALSE,"Taylor & Francis","Upsala Journal of Medical Sciences","0300-9734","0300-9734","2000-1967",NA,NA,TRUE,"26074171","PMC4816890",NA,NA,FALSE
"uu",2015,0,"10.3109/03009734.2015.1075630",FALSE,"Taylor & Francis","Upsala Journal of Medical Sciences","0300-9734","0300-9734","2000-1967",NA,NA,TRUE,"26482657","PMC4816889",NA,NA,FALSE
"uu",2015,0,"10.3109/03009734.2015.1091522",FALSE,"Taylor & Francis","Upsala Journal of Medical Sciences","0300-9734","0300-9734","2000-1967",NA,NA,TRUE,"26479863","PMC4812051",NA,NA,FALSE
"uu",2015,0,"10.3109/03009734.2015.1093568",FALSE,"Taylor & Francis","Upsala Journal of Medical Sciences","0300-9734","0300-9734","2000-1967",NA,NA,TRUE,"26489857","PMC4812057",NA,NA,FALSE
"uu",2015,0,"10.3109/03009734.2015.1109012",FALSE,"Taylor & Francis","Upsala Journal of Medical Sciences","0300-9734","0300-9734","2000-1967",NA,NA,TRUE,"27181825","PMC4900071",NA,NA,FALSE
