institution	period	euro	doi	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	url
lu	2014	0	10.4161/19420889.2014.994376	FALSE	Taylor & Francis	Communicative & Integrative Biology				
uu	2015	2132	10.3109/03009734.2015.1037032	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
uu	2015	0	10.3109/03009734.2015.1037031	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
ki	2015	0	10.3109/03009734.2015.1040529	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
uu	2015	0	10.3109/03009734.2015.1044055	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
uu	2015	0	10.3109/03009734.2015.1049388	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
uu	2015	0	10.3109/03009734.2015.1075630	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
uu	2015	0	10.3109/03009734.2015.1091522	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
uu	2015	0	10.3109/03009734.2015.1093568	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
uu	2015	0	10.3109/03009734.2015.1109012	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
uu	2015	0	10.3109/03009734.2015.1109569	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
umu	2015	0	10.3109/03009734.2015.1122687	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
gu	2015	0	10.3109/17453674.2015.1135664	FALSE	Taylor & Francis	Acta Orthopaedica				
uu	2016	0	10.3109/03009734.2016.1141810	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
uu	2016	0	10.3109/03009734.2016.1144664	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
uu	2016	0	10.3109/03009734.2016.1144663	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
uu	2016	0	10.3109/17453674.2016.1146511	FALSE	Taylor & Francis	Acta Orthopaedica				
umu	2016	0	10.3109/03009734.2016.1152332	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
lu	2016	0	10.3109/17453674.2016.1152855	FALSE	Taylor & Francis	Acta Orthopaedica				
uu	2016	0	10.3109/03009734.2016.1154905	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
ki	2016	0	10.3109/03009734.2016.1158756	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
lu	2016	0	10.3109/17453674.2016.1161451	FALSE	Taylor & Francis	Acta Orthopaedica				
uu	2016	0	10.3109/03009734.2016.1165317	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
uu	2016	0	10.3109/03009734.2016.1164769	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
uu	2016	0	10.3109/03009734.2016.1164770	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
lu	2016	0	10.3109/17453674.2016.1170548	FALSE	Taylor & Francis	Acta Orthopaedica				
uu	2016	0	10.3109/03009734.2016.1173746	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
uu	2016	0	10.1080/03009734.2016.1176094	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
uu	2016	0	10.1080/03009734.2016.1189470	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
uu	2016	0	10.1080/03009734.2016.1191564	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
lu	2016	0	10.1080/17453674.2016.1195663	FALSE	Taylor & Francis	Acta Orthopaedica				
uu	2016	0	10.1080/03009734.2016.1195900	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
uu	2016	0	10.1080/03009734.2016.1198441	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
uu	2016	0	10.1080/03009734.2016.1201177	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
ki	2016	0	10.1080/03009734.2016.1201553	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
ki	2016	0	10.1080/17453674.2016.1202013	FALSE	Taylor & Francis	Acta Orthopaedica				
lu	2016	0	10.1080/17453674.2016.1205173	FALSE	Taylor & Francis	Acta Orthopaedica				
liu	2016	0	10.1080/17453674.2016.1205172	FALSE	Taylor & Francis	Acta Orthopaedica				
ki	2016	0	10.1080/03009734.2016.1208310	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
uu	2016	0	10.1080/03009734.2016.1210267	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
lu	2016	0	10.1080/17453674.2016.1210940	FALSE	Taylor & Francis	Acta Orthopaedica				
uu	2016	0	10.1080/03009734.2016.1211776	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
uu	2016	0	10.1080/19420889.2016.1216740	FALSE	Taylor & Francis	Communicative & Integrative Biology				
uu	2016	0	10.1080/03009734.2016.1218575	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
ki	2016	0	10.1080/03009734.2016.1219432	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
uu	2016	0	10.1080/03009734.2016.1228721	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
uu	2016	0	10.1080/03009734.2016.1230157	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
uu	2016	0	10.1080/03009734.2016.1225870	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
uu	2016	0	10.1080/03009734.2016.1238426	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
uu	2016	0	10.1080/17453674.2016.1248315	FALSE	Taylor & Francis	Acta Orthopaedica				
liu	2016	0	10.1080/17453674.2016.1269273	FALSE	Taylor & Francis	Acta Orthopaedica				
uu	2016	0	10.1080/03009734.2016.1271843	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
umu	2016	0	10.1080/16549716.2017.1272236	FALSE	Taylor & Francis	Global Health Action				
liu	2016	0	10.1080/17453674.2016.1274587	FALSE	Taylor & Francis	Acta Orthopaedica				
gu	2016	0	10.1080/20004508.2016.1275177	FALSE	Taylor & Francis	Education Inquiry				
gu	2016	0	10.1080/20004508.2016.1275182	FALSE	Taylor & Francis	Education Inquiry				
umu	2016	0	10.1080/16549716.2017.1275189	FALSE	Taylor & Francis	Global Health Action				
su	2016	0	10.1080/20004508.2016.1275187	FALSE	Taylor & Francis	Education Inquiry				
umu	2016	0	10.1080/20004508.2016.1275185	FALSE	Taylor & Francis	Education Inquiry				
ki	2017	0	10.1080/16512235.2017.1281963	FALSE	Taylor & Francis	Microbial Ecology in Health and Disease				
ki	2017	0	10.1080/16512235.2017.1281946	FALSE	Taylor & Francis	Microbial Ecology in Health and Disease				
uu	2017	0	10.1080/03009734.2017.1285374	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
uu	2017	0	10.1080/03009734.2017.1285836	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
uu	2017	0	10.1080/03009734.2016.1274806	FALSE	Taylor & Francis	Upsala Journal of Medical Sciences				
uu	2016	982	10.1080/21592535.2015.1133394	FALSE	Taylor & Francis	Biomatter				
gu	2016	248	10.1080/23723556.2015.1124174	TRUE	Taylor & Francis	Molecular & Cellular Oncology				
umu	2016	248	10.1080/19336934.2016.1182269	TRUE	Taylor & Francis	Fly				
lu	2016	734	10.1080/15592294.2016.1178418	TRUE	Taylor & Francis	Epigenetics				
gu	2016	734	10.1080/21624054.2016.1206171	TRUE	Taylor & Francis	Worm				
su	2016	734	10.1080/19491034.2016.1220465	TRUE	Taylor & Francis	Nucleus				
uu	2016	982	10.1080/21592535.2015.1123842	FALSE	Taylor & Francis	Biomatter				
ki	2016	468	10.1080/2162402X.2015.1093722	TRUE	Taylor & Francis	OncoImmunology				
ki	2016	734	10.1080/15476286.2016.1243647	TRUE	Taylor & Francis	RNA Biology				
gu	2016	734	10.1080/15476286.2016.1249092	TRUE	Taylor & Francis	RNA Biology				
lu	2016	734	10.1080/21623945.2016.1252011	TRUE	Taylor & Francis	Adipocyte				
gu	2015	702	10.1080/21624054.2015.1096490	TRUE	Taylor & Francis	Worm				
gu	2016	702	10.1080/2162402X.2015.1091147	TRUE	Taylor & Francis	OncoImmunology				
ki	2015	702	10.1080/15476286.2015.1110675	TRUE	Taylor & Francis	RNA Biology				
lu	2015	734	10.1080/19382014.2015.1118195	TRUE	Taylor & Francis	Islets				
ki	2016	734	10.1080/2162402X.2015.1128613	TRUE	Taylor & Francis	OncoImmunology				
ki	2016	234	10.1080/19490976.2015.1127480	TRUE	Taylor & Francis	Gut Microbes				
gu	2016	702	10.1080/15548627.2015.1132134	TRUE	Taylor & Francis	Autophagy				
gu	2016	702	10.1080/15592294.2016.1138195	TRUE	Taylor & Francis	Epigenetics				
liu	2015	234	10.1080/19336896.2015.1065373	TRUE	Taylor & Francis	Prion				
ki	2016	1473	10.1080/2162402X.2016.1232222	TRUE	Taylor & Francis	OncoImmunology				
lu	2014	702	10.4161/21623945.2014.960694	TRUE	Taylor & Francis	Adipocyte				
ki	2015	702	10.1080/19491034.2015.1106675	TRUE	Taylor & Francis	Nucleus				
ki	2015	702	10.1080/15548627.2015.1068489	TRUE	Taylor & Francis	Autophagy				
liu	2012	468	10.1080/21663831.2012.749814	FALSE	Taylor & Francis	Materials Research Letters				
uu	2013	413	10.1080/21663831.2013.802262	FALSE	Taylor & Francis	Materials Research Letters				
cth	2013	413	10.1080/21663831.2013.844737	FALSE	Taylor & Francis	Materials Research Letters				
su	2013	2132	10.1080/17449626.2013.773180	TRUE	Taylor & Francis	Journal of Global Ethics				
liu	2013	413	10.1080/21663831.2013.865105	FALSE	Taylor & Francis	Materials Research Letters				
liu	2014	1239	10.1080/21693277.2014.898219	FALSE	Taylor & Francis	Production & Manufacturing Research				
uu	2014	2132	10.1080/00393274.2013.871975	TRUE	Taylor & Francis	Studia Neophilologica				
gu	2014	2132	10.1080/16506073.2014.921834	TRUE	Taylor & Francis	Cognitive Behaviour Therapy				
lu	2014	446	10.1080/21650020.2014.939297	FALSE	Taylor & Francis	Urban, Planning and Transport Research				
uu	2014	2132	10.1080/00393274.2013.822742	TRUE	Taylor & Francis	Studia Neophilologica				
liu	2014	372	10.1080/21663831.2014.944676	FALSE	Taylor & Francis	Materials Research Letters				
lu	2014	2132	10.1080/02691728.2011.604445	TRUE	Taylor & Francis	Social Epistemology				
uu	2014	2132	10.1080/00393274.2012.751670	TRUE	Taylor & Francis	Studia Neophilologica				
lu	2015	3040	10.1517/17460441.2015.1032936	TRUE	Taylor & Francis	Expert Opinion on Drug Discovery				
lu	2015	1115	10.1080/23335432.2015.1014848	FALSE	Taylor & Francis	International Biomechanics				
lu	2015	2132	10.3109/00365513.2015.1025427	TRUE	Taylor & Francis	Scandinavian Journal of Clinical and Laboratory Investigation				
umu	2015	694	10.3109/23320885.2015.1054392	FALSE	Taylor & Francis	Case Reports in Plastic Surgery and Hand Surgery				
su	2015	1169	10.1080/23311940.2015.1058465	Cogent	Taylor & Francis	Cogent Physics				
gu	2015	2760	10.1586/14737159.2015.1057124	TRUE	Taylor & Francis	Expert Review of Molecular Diagnostics				
lu	2015	2074	10.1080/00140139.2015.1019575	TRUE	Taylor & Francis	Ergonomics				
gu	2015	397	10.3109/02813432.2015.1067515	FALSE	Taylor & Francis	Scandinavian Journal of Primary Health Care				
ki	2015	2132	10.1080/09297049.2015.1063595	TRUE	Taylor & Francis	Child Neuropsychology				
