institution	period	euro	doi	is_hybrid	publisher
cth	2016	1050	10.5194/acp-16-12587-2016	FALSE	Copernicus Publications
cth	2016	0	10.5194/ascmo-2-39-2016	FALSE	Copernicus Publications
cth	2016	0	10.5194/gi-5-27-2016	FALSE	Copernicus Publications
cth	2017	975	10.5194/acp-17-1791-2017	FALSE	Copernicus Publications
cth	2017	1650	10.5194/acp-17-3423-2017	FALSE	Copernicus Publications
gu	2016	0	10.1144/jmpaleo2015-007	FALSE	Copernicus Publications
gu	2016	0	10.5194/soil-2-433-2016	FALSE	Copernicus Publications
gu	2017	1710	10.5194/bg-14-1285-2017	FALSE	Copernicus Publications
gu	2017	360	10.5194/bg-14-751-2017	FALSE	Copernicus Publications
gu	2017	1170	10.5194/bg-14-1811-2017	FALSE	Copernicus Publications
gu	2017	1800	10.5194/cp-13-1831-2017	FALSE	Copernicus Publications
gu	2017	1350	10.5194/os-13-349-2017	FALSE	Copernicus Publications
gu	2017	1050	10.5194/os-13-609-2017	FALSE	Copernicus Publications
kth	2017	300	10.5194/angeo-35-475-2017	FALSE	Copernicus Publications
kth	2017	660	10.5194/angeo-35-493-2017	FALSE	Copernicus Publications
kth	2017	360	10.5194/angeo-35-879-2017	FALSE	Copernicus Publications
kth	2017	420	10.5194/angeo-35-1143-2017	FALSE	Copernicus Publications
kth	2017	260	10.5194/ars-15-189-2017	FALSE	Copernicus Publications
kth	2017	0	10.5194/isprs-archives-xlii-3-w2-137-2017	FALSE	Copernicus Publications
lnu	2016	630	10.5194/bg-13-2815-2016	FALSE	Copernicus Publications
ltu	2017	660	10.5194/angeo-35-721-2017	FALSE	Copernicus Publications
ltu	2017	540	10.5194/angeo-35-869-2017	FALSE	Copernicus Publications
ltu	2017	720	10.5194/angeo-35-1341-2017	FALSE	Copernicus Publications
lu	2016	1710	10.5194/acp-16-5685-2016	FALSE	Copernicus Publications
lu	2016	990	10.5194/amt-9-3193-2016	FALSE	Copernicus Publications
lu	2016	1260	10.5194/bg-13-6067-2016	FALSE	Copernicus Publications
lu	2016	1380	10.5194/esd-7-893-2016	FALSE	Copernicus Publications
lu	2016	1710	10.5194/tc-10-1395-2016	FALSE	Copernicus Publications
lu	2017	1350	10.5194/acp-17-8887-2017	FALSE	Copernicus Publications
lu	2017	1530	10.5194/acp-17-4265-2017	FALSE	Copernicus Publications
lu	2017	1530	10.5194/acp-17-10937-2017	FALSE	Copernicus Publications
lu	2017	1440	10.5194/acp-17-11025-2017	FALSE	Copernicus Publications
lu	2017	1530	10.5194/bg-14-1703-2017	FALSE	Copernicus Publications
lu	2017	1170	10.5194/bg-14-1527-2017	FALSE	Copernicus Publications
lu	2017	2340	10.5194/bg-14-2571-2017	FALSE	Copernicus Publications
lu	2017	1440	10.5194/bg-14-4045-2017	FALSE	Copernicus Publications
lu	2017	1980	10.5194/bg-14-4023-2017	FALSE	Copernicus Publications
lu	2017	1620	10.5194/esd-8-773-2017	FALSE	Copernicus Publications
lu	2017	1860	10.5194/esd-8-1191-2017	FALSE	Copernicus Publications
lu	2017	0	10.5194/gh-72-455-2017	FALSE	Copernicus Publications
lu	2017	900	10.5194/se-8-671-2017	FALSE	Copernicus Publications
slu	2016	0	10.5194/essd-8-439-2016	FALSE	Copernicus Publications
slu	2016	0	10.5194/soil-2-175-2016	FALSE	Copernicus Publications
slu	2017	1260	10.5194/bg-14-3001-2017	FALSE	Copernicus Publications
slu	2017	1530	10.5194/hess-21-6235-2017	FALSE	Copernicus Publications
slu	2017	0	10.5194/isprs-archives-xlii-3-w3-59-2017	FALSE	Copernicus Publications
slu	2017	0	10.5194/isprs-archives-xlii-3-w3-157-2017	FALSE	Copernicus Publications
slu	2017	0	10.5194/soil-3-177-2017	FALSE	Copernicus Publications
su	2017	1350	10.5194/acp-17-9145-2017	FALSE	Copernicus Publications
su	2017	2520	10.5194/acp-17-8101-2017	FALSE	Copernicus Publications
su	2017	1530	10.5194/acp-17-13071-2017	FALSE	Copernicus Publications
su	2017	1350	10.5194/bg-14-325-2017	FALSE	Copernicus Publications
su	2017	1440	10.5194/bg-14-285-2017	FALSE	Copernicus Publications
su	2017	1260	10.5194/cp-13-303-2017	FALSE	Copernicus Publications
su	2017	1350	10.5194/cp-13-991-2017	FALSE	Copernicus Publications
su	2017	900	10.5194/cp-13-1037-2017	FALSE	Copernicus Publications
su	2017	1260	10.5194/cp-13-1213-2017	FALSE	Copernicus Publications
su	2017	1440	10.5194/cp-13-1269-2017	FALSE	Copernicus Publications
su	2017	1275	10.5194/gmd-10-1733-2017	FALSE	Copernicus Publications
su	2017	1500	10.5194/gmd-10-1447-2017	FALSE	Copernicus Publications
su	2017	1530	10.5194/tc-11-635-2017	FALSE	Copernicus Publications
su	2017	1575	10.5194/tc-11-1745-2017	FALSE	Copernicus Publications
umu	2016	2700	10.5194/acp-16-4451-2016	FALSE	Copernicus Publications
umu	2017	1800	10.5194/bg-14-1773-2017	FALSE	Copernicus Publications
uu	2016	496	10.5194/adgeo-42-35-2016	FALSE	Copernicus Publications
uu	2016	594	10.5194/se-7-769-2016	FALSE	Copernicus Publications
uu	2016	1350	10.5194/tc-10-2763-2016	FALSE	Copernicus Publications
uu	2017	180	10.5194/adgeo-44-9-2017	FALSE	Copernicus Publications
uu	2017	780	10.5194/esd-8-163-2017	FALSE	Copernicus Publications
uu	2017	1140	10.5194/esd-8-901-2017	FALSE	Copernicus Publications
uu	2017	540	10.5194/esd-8-225-2017	FALSE	Copernicus Publications
uu	2017	1050	10.5194/esd-8-1093-2017	FALSE	Copernicus Publications
uu	2017	1980	10.5194/hess-21-3597-2017	FALSE	Copernicus Publications
uu	2017	1035	10.5194/wes-2-587-2017	FALSE	Copernicus Publications
