"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"cth",2016,1050,"10.5194/acp-16-12587-2016",FALSE,"Copernicus Publications","Atmospheric Chemistry and Physics","1680-7324",NA,"1680-7324",NA,"http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"cth",2016,0,"10.5194/ascmo-2-39-2016",FALSE,"Copernicus Publications","Advances in Statistical Climatology, Meteorology and Oceanography","2364-3587",NA,"2364-3587",NA,"http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"cth",2016,0,"10.5194/gi-5-27-2016",FALSE,"Copernicus Publications","Geoscientific Instrumentation, Methods and Data Systems","2193-0864",NA,"2193-0864",NA,"https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"cth",2017,975,"10.5194/acp-17-1791-2017",FALSE,"Copernicus Publications","Atmospheric Chemistry and Physics","1680-7324",NA,"1680-7324",NA,"https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"cth",2017,1650,"10.5194/acp-17-3423-2017",FALSE,"Copernicus Publications","Atmospheric Chemistry and Physics","1680-7324",NA,"1680-7324",NA,"https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"gu",2016,0,"10.1144/jmpaleo2015-007",FALSE,"Copernicus Publications","Journal of Micropalaeontology","0262-821X","0262-821X","2041-4978",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"gu",2016,0,"10.5194/soil-2-433-2016",FALSE,"Copernicus Publications","SOIL","2199-398X",NA,"2199-398X",NA,"http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"gu",2017,1710,"10.5194/bg-14-1285-2017",FALSE,"Copernicus Publications","Biogeosciences","1726-4189",NA,"1726-4189",NA,"https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"gu",2017,360,"10.5194/bg-14-751-2017",FALSE,"Copernicus Publications","Biogeosciences","1726-4189",NA,"1726-4189",NA,"https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"gu",2017,1170,"10.5194/bg-14-1811-2017",FALSE,"Copernicus Publications","Biogeosciences","1726-4189",NA,"1726-4189",NA,"https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"gu",2017,1800,"10.5194/cp-13-1831-2017",FALSE,"Copernicus Publications","Climate of the Past","1814-9332",NA,"1814-9332",NA,"https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"gu",2017,1350,"10.5194/os-13-349-2017",FALSE,"Copernicus Publications","Ocean Science","1812-0792",NA,"1812-0792",NA,"https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"gu",2017,1050,"10.5194/os-13-609-2017",FALSE,"Copernicus Publications","Ocean Science","1812-0792",NA,"1812-0792",NA,"https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"kth",2017,300,"10.5194/angeo-35-475-2017",FALSE,"Copernicus Publications","Annales Geophysicae","1432-0576",NA,"1432-0576",NA,"https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"kth",2017,660,"10.5194/angeo-35-493-2017",FALSE,"Copernicus Publications","Annales Geophysicae","1432-0576",NA,"1432-0576",NA,"https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"kth",2017,360,"10.5194/angeo-35-879-2017",FALSE,"Copernicus Publications","Annales Geophysicae","1432-0576",NA,"1432-0576",NA,"https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"kth",2017,420,"10.5194/angeo-35-1143-2017",FALSE,"Copernicus Publications","Annales Geophysicae","1432-0576",NA,"1432-0576",NA,"https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"kth",2017,260,"10.5194/ars-15-189-2017",FALSE,"Copernicus Publications","Advances in Radio Science","1684-9973",NA,"1684-9973",NA,"https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"kth",2017,0,"10.5194/isprs-archives-xlii-3-w2-137-2017",FALSE,"Copernicus Publications","ISPRS - International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences","2194-9034",NA,"2194-9034",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"lnu",2016,630,"10.5194/bg-13-2815-2016",FALSE,"Copernicus Publications","Biogeosciences","1726-4189",NA,"1726-4189",NA,"http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"ltu",2017,660,"10.5194/angeo-35-721-2017",FALSE,"Copernicus Publications","Annales Geophysicae","1432-0576",NA,"1432-0576",NA,"https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"ltu",2017,540,"10.5194/angeo-35-869-2017",FALSE,"Copernicus Publications","Annales Geophysicae","1432-0576",NA,"1432-0576",NA,"https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"ltu",2017,720,"10.5194/angeo-35-1341-2017",FALSE,"Copernicus Publications","Annales Geophysicae","1432-0576",NA,"1432-0576",NA,"https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"lu",2016,1710,"10.5194/acp-16-5685-2016",FALSE,"Copernicus Publications","Atmospheric Chemistry and Physics","1680-7324",NA,"1680-7324",NA,"http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"lu",2016,990,"10.5194/amt-9-3193-2016",FALSE,"Copernicus Publications","Atmospheric Measurement Techniques","1867-8548",NA,"1867-8548",NA,"http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"lu",2016,1260,"10.5194/bg-13-6067-2016",FALSE,"Copernicus Publications","Biogeosciences","1726-4189",NA,"1726-4189",NA,"http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"lu",2016,1380,"10.5194/esd-7-893-2016",FALSE,"Copernicus Publications","Earth System Dynamics","2190-4987",NA,"2190-4987",NA,"http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"lu",2016,1710,"10.5194/tc-10-1395-2016",FALSE,"Copernicus Publications","The Cryosphere","1994-0424",NA,"1994-0424",NA,"http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"lu",2017,1350,"10.5194/acp-17-8887-2017",FALSE,"Copernicus Publications","Atmospheric Chemistry and Physics","1680-7324",NA,"1680-7324",NA,"https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"lu",2017,1530,"10.5194/acp-17-4265-2017",FALSE,"Copernicus Publications","Atmospheric Chemistry and Physics","1680-7324",NA,"1680-7324",NA,"https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"lu",2017,1530,"10.5194/acp-17-10937-2017",FALSE,"Copernicus Publications","Atmospheric Chemistry and Physics","1680-7324",NA,"1680-7324",NA,"https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"lu",2017,1440,"10.5194/acp-17-11025-2017",FALSE,"Copernicus Publications","Atmospheric Chemistry and Physics","1680-7324",NA,"1680-7324",NA,"https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"lu",2017,1530,"10.5194/bg-14-1703-2017",FALSE,"Copernicus Publications","Biogeosciences","1726-4189",NA,"1726-4189",NA,"https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"lu",2017,1170,"10.5194/bg-14-1527-2017",FALSE,"Copernicus Publications","Biogeosciences","1726-4189",NA,"1726-4189",NA,"https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"lu",2017,2340,"10.5194/bg-14-2571-2017",FALSE,"Copernicus Publications","Biogeosciences","1726-4189",NA,"1726-4189",NA,"https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"lu",2017,1440,"10.5194/bg-14-4045-2017",FALSE,"Copernicus Publications","Biogeosciences","1726-4189",NA,"1726-4189",NA,"https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"lu",2017,1980,"10.5194/bg-14-4023-2017",FALSE,"Copernicus Publications","Biogeosciences","1726-4189",NA,"1726-4189",NA,"https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
