institution	period	euro	doi	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	url
su	2017	1921	10.1088/1361-6455/aa52e1	TRUE	IOP Publishing	Journal of Physics B				
kth	2017	1950	10.1088/1361-6560/aa591d	TRUE	IOP Publishing	Phsics in Medicine and Biology				
kth	2017	1729	10.1088/1361-6463/aa65ed	TRUE	IOP Publishing	Journal of Physics D				
uu	2017	1921	10.1088/1402-4896/aa694e	TRUE	IOP Publishing	Physica Scripta				
lu	2017	1950	10.1088/1361-6528/aa6aee	TRUE	IOP Publishing	Nanotechnology				
hb	2017	1950	10.1088/1361-665x/aa6f25	TRUE	IOP Publishing	Smart Materials and Structures				
umu	2017	2268	10.1088/1361-6560/aa6e1b	TRUE	IOP Publishing	Physics in Medicine and Biology				
uu	2017	1921	10.1088/1752-7163/aa720b	TRUE	IOP Publishing	Journal of Breath Research				
su	2017	2268	10.1088/1751-8121/aa8125	TRUE	IOP Publishing	Journal of Physics A				
uu	2017	1755	10.1088/1752-7163/aa7957	TRUE	IOP Publishing	Journal of Breath Research				
