"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"uu",2014,321,"10.1159/000362868",FALSE,"Karger","Case Reports in Neurology","1662-680X",NA,"1662-680X",NA,NA,TRUE,"24987361","PMC4067733",NA,NA,TRUE
"uu",2016,321,"10.1159/000444874",FALSE,"Karger","Case Reports in Neurology","1662-680X",NA,"1662-680X",NA,NA,TRUE,"27065427","PMC4821142",NA,NA,TRUE
"umu",2014,755,"10.1159/000358121",FALSE,"Karger","Cerebrovascular Diseases Extra","1664-5456",NA,"1664-5456",NA,NA,TRUE,"24715896","PMC3975210",NA,NA,TRUE
"ki",2014,755,"10.1159/000360415",FALSE,"Karger","Dementia and Geriatric Cognitive Disorders Extra","1664-5464",NA,"1664-5464",NA,NA,TRUE,"24847345","PMC4024511",NA,NA,TRUE
"gu",2014,755,"10.1159/000362164",FALSE,"Karger","Dementia and Geriatric Cognitive Disorders Extra","1664-5464",NA,"1664-5464",NA,NA,TRUE,"25254036","PMC4164083",NA,NA,TRUE
"ki",2014,755,"10.1159/000363500",FALSE,"Karger","Dementia and Geriatric Cognitive Disorders Extra","1664-5464",NA,"1664-5464",NA,NA,TRUE,"25298777","PMC4176467",NA,NA,TRUE
"umu",2014,755,"10.1159/000364816",FALSE,"Karger","Dementia and Geriatric Cognitive Disorders Extra","1664-5464",NA,"1664-5464",NA,NA,TRUE,"25177334","PMC4132238",NA,NA,TRUE
"ki",2014,755,"10.1159/000365091",FALSE,"Karger","Nephron Extra","1664-5529",NA,"1664-5529",NA,NA,TRUE,"25404935","PMC4202611",NA,NA,TRUE
"gu",2014,755,"10.1159/000366119",FALSE,"Karger","Dementia and Geriatric Cognitive Disorders Extra","1664-5464",NA,"1664-5464",NA,NA,TRUE,"25493088","PMC4255994",NA,NA,TRUE
"ki",2014,755,"10.1159/000366270",FALSE,"Karger","Dementia and Geriatric Cognitive Disorders Extra","1664-5464",NA,"1664-5464",NA,NA,TRUE,"25538726","PMC4264484",NA,NA,TRUE
"su",2014,755,"10.1159/000369132",FALSE,"Karger","Dementia and Geriatric Cognitive Disorders Extra","1664-5464",NA,"1664-5464",NA,NA,TRUE,"25759713","PMC4282043",NA,NA,TRUE
"lu",2015,755,"10.1159/000377710",FALSE,"Karger","Cerebrovascular Diseases Extra","1664-5456",NA,"1664-5456",NA,NA,TRUE,"26120319","PMC4478329",NA,NA,TRUE
"umu",2015,755,"10.1159/000381535",FALSE,"Karger","Dementia and Geriatric Cognitive Disorders Extra","1664-5464",NA,"1664-5464",NA,NA,TRUE,"26078750","PMC4463780",NA,NA,TRUE
"liu",2015,755,"10.1159/000440816",FALSE,"Karger","Nephron Extra","1664-5529",NA,"1664-5529",NA,NA,TRUE,"26648973","PMC4662277",NA,NA,TRUE
"ki",2015,755,"10.1159/000441942",FALSE,"Karger","Dementia and Geriatric Cognitive Disorders Extra","1664-5464",NA,"1664-5464",NA,NA,TRUE,"26955384","PMC4777933",NA,NA,TRUE
"umu",2015,1585,"10.1159/000369726",FALSE,"Karger","Cellular Physiology and Biochemistry","1421-9778","1015-8987","1421-9778",NA,NA,TRUE,"25613309",NA,NA,NA,TRUE
"uu",2014,0,"10.1159/000365274",FALSE,"Karger","Audiology and Neurotology Extra","1664-5537",NA,"1664-5537",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"gu",2014,0,"10.1159/000369918",FALSE,"Karger","Audiology and Neurotology Extra","1664-5537",NA,"1664-5537",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"gu",2015,0,"10.1159/000441128",FALSE,"Karger","Medical Principles and Practice","1011-7571","1011-7571","1423-0151",NA,NA,TRUE,"26698595",NA,NA,NA,FALSE
