doi	institution	journal_full_title	journal_discipline	journal_ISSN	journal_eISSN	year	publisher
10.1007/s11049-017-9398-4	lu	Natural Language & Linguistic Theory	Linguistics	0167-806X	1573-0859	2018	Springer
10.1007/s10680-018-9465-5	umu	European Journal of Population	Social Sciences	0168-6577	1572-9885	2018	Springer
10.1007/s00159-017-0106-5	uu	The Astronomy and Astrophysics Review	Physics	0935-4956	1432-0754	2018	Springer
10.1007/s11666-017-0684-9	hv	Journal of Thermal Spray Technology	Materials Science	1059-9630	1544-1016	2018	Springer
10.1007/s10439-017-1976-4	cth	Annals of Biomedical Engineering	Biomedicine	0090-6964	1573-9686	2018	Springer
10.1007/s13324-018-0211-2	su	Analysis and Mathematical Physics	Mathematics	1664-2368	1664-235X	2018	Springer
10.1007/s00268-018-4460-x	ki	World Journal of Surgery	Medicine & Public Health	0364-2313	1432-2323	2018	Springer
10.1007/s12685-017-0209-y	uu	Water History	Environment	1877-7236	1877-7244	2018	Springer
10.1007/s12186-017-9196-5	kau	Vocations and Learning	Education	1874-785X	1874-7868	2018	Springer
10.1007/s11217-018-9597-4	lu	Studies in Philosophy and Education	Education	0039-3746	1573-191X	2018	Springer
10.1007/s10677-018-9862-1	lu	Ethical Theory and Moral Practice	Philosophy	1386-2820	1572-8447	2018	Springer
10.1007/s40194-018-0548-z	hv	Welding in the World	Materials Science	0043-2288	1878-6669	2018	Springer
10.1007/s10344-018-1164-3	slu	European Journal of Wildlife Research	Life Sciences	1612-4642	1439-0574	2018	Springer
10.1007/s00382-018-4095-5	su	Climate Dynamics	Earth Sciences	0930-7575	1432-0894	2018	Springer
10.1007/s11657-018-0421-0	umu	Archives of Osteoporosis	Medicine & Public Health	1862-3522	1862-3514	2018	Springer
10.1007/s10853-017-1968-7	kth	Journal of Materials Science	Materials Science	0022-2461	1573-4803	2018	Springer
10.1007/s10853-018-2036-7	kth	Journal of Materials Science	Materials Science	0022-2461	1573-4803	2018	Springer
10.1007/s10798-017-9438-8	kth	International Journal of Technology and Design Education	Education	0957-7572	1573-1804	2018	Springer
10.1007/s00277-018-3245-5	lu	Annals of Hematology	Medicine & Public Health	0939-5555	1432-0584	2018	Springer
10.1007/s00424-017-2096-6	ki	Pfl?gers Archiv - European Journal of Physiology	Biomedicine	0031-6768	1432-2013	2018	Springer
10.1007/s00125-017-4521-y	slu	Diabetologia	Medicine & Public Health	0012-186X	1432-0428	2018	Springer
10.1007/s00382-018-4074-x	gu	Climate Dynamics	Earth Sciences	0930-7575	1432-0894	2018	Springer
10.1007/s12035-017-0844-4	uu	Molecular Neurobiology	Biomedicine	0893-7648	1559-1182	2018	Springer
10.1007/s00232-017-0010-y	lnu	The Journal of Membrane Biology	Life Sciences	0022-2631	1432-1424	2018	Springer
10.1007/s12220-018-9985-6	cth	The Journal of Geometric Analysis	Mathematics	1050-6926	1559-002X	2018	Springer
10.1007/s11695-017-3099-2	oru	Obesity Surgery	Medicine & Public Health	0960-8923	1708-0428	2018	Springer
10.1007/s10552-017-0999-3	lu	Cancer Causes & Control	Biomedicine	0957-5243	1573-7225	2018	Springer
10.1007/s00894-017-3572-9	kth	Journal of Molecular Modeling	Chemistry	1610-2940	0948-5023	2018	Springer
10.1007/s10032-017-0293-7	bth	International Journal on Document Analysis and Recognition (IJDAR)	Computer Science	1433-2833	1433-2825	2018	Springer
10.1007/s10295-017-2000-6	cth	Journal of Industrial Microbiology & Biotechnology	Life Sciences	1367-5435	1476-5535	2018	Springer
10.1007/s10008-017-3862-2	kth	Journal of Solid State Electrochemistry	Chemistry	1432-8488	1433-0768	2018	Springer
10.1007/s00264-017-3711-z	gu	International Orthopaedics	Medicine & Public Health	0341-2695	1432-5195	2018	Springer
10.1007/s12549-017-0310-3	nrm	Palaeobiodiversity and Palaeoenvironments	Earth Sciences	1867-1594	1867-1608	2018	Springer
10.1007/s11367-018-1436-x	cth	The International Journal of Life Cycle Assessment	Environment	0948-3349	1614-7502	2018	Springer
10.1007/s12020-018-1526-3	ki	Endocrine	Medicine & Public Health	1355-008X	1559-0100	2018	Springer
10.1007/s10596-017-9713-5	su	Computational Geosciences	Earth Sciences	1420-0597	1573-1499	2018	Springer
10.1007/s10530-018-1665-8	slu	Biological Invasions	Life Sciences	1387-3547	1573-1464	2018	Springer
10.1007/s12187-017-9515-2	gu	Child Indicators Research	Social Sciences	1874-897X	1874-8988	2018	Springer
10.1007/s10611-017-9766-3	gu	"Crime, Law and Social Change"	Criminology and Criminal Justice	0925-4994	1573-0751	2018	Springer
10.1007/s00300-018-2258-9	su	Polar Biology	Life Sciences	0722-4060	1432-2056	2018	Springer
10.1007/s10096-017-3172-8	uu	European Journal of Clinical Microbiology & Infectious Diseases	Biomedicine	0934-9723	1435-4373	2018	Springer
10.1007/s00125-017-4528-4	ki	Diabetologia	Medicine & Public Health	0012-186X	1432-0428	2018	Springer
10.1007/s40368-017-0317-5	ki	European Archives of Paediatric Dentistry	Dentistry	1818-6300	1996-9805	2018	Springer
10.1007/s00125-018-4550-1	gu	Diabetologia	Medicine & Public Health	0012-186X	1432-0428	2018	Springer
10.1007/s13595-017-0680-8	slu	Annals of Forest Science	Life Sciences	1286-4560	1297-966X	2018	Springer
10.1007/s10029-018-1734-z	umu	Hernia	Medicine & Public Health	1265-4906	1248-9204	2018	Springer
10.1007/s11666-017-0682-y	cth	Journal of Thermal Spray Technology	Materials Science	1059-9630	1544-1016	2018	Springer
10.1007/s11666-017-0683-x	hv	Journal of Thermal Spray Technology	Materials Science	1059-9630	1544-1016	2018	Springer
10.1007/s11625-017-0524-3	lu	Sustainability Science	Environment	1862-4065	1862-4057	2018	Springer
10.1007/s40831-017-0156-y	cth	Journal of Sustainable Metallurgy	Environment	2199-3823	2199-3831	2018	Springer
10.1007/s00348-017-2478-8	kth	Experiments in Fluids	Engineering	0723-4864	1432-1114	2018	Springer
10.1007/s00234-017-1971-3	lu	Neuroradiology	Medicine & Public Health	0028-3940	1432-1920	2018	Springer
