"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"kth",2016,2200,"10.1007/s11249-016-0716-5",TRUE,"Springer","Tribology Letters","1023-8883","1023-8883","1573-2711",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"lu",2016,2200,"10.1007/s11434-016-1146-3",TRUE,"Springer","Science Bulletin","2095-9273","2095-9273","2095-9281",NA,"http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,"27635282","PMC5002044",NA,NA,FALSE
"umu",2016,2200,"10.1007/s00249-016-1158-6",TRUE,"Springer","European Biophysics Journal","0175-7571","0175-7571","1432-1017",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,"27461369","PMC5346443",NA,NA,FALSE
"kth",2016,2200,"10.1007/s11663-016-0760-4",TRUE,"Springer","Metallurgical and Materials Transactions B","1073-5615","1073-5615","1543-1916",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"su",2016,2200,"10.1007/s10726-016-9494-6",TRUE,"Springer","Group Decision and Negotiation","0926-2644","0926-2644","1572-9907",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"gu",2016,2200,"10.1007/s40141-016-0128-3",TRUE,"Springer","Current Physical Medicine and Rehabilitation Reports","2167-4833",NA,"2167-4833",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"mdh",2016,2200,"10.1007/s10823-016-9296-y",TRUE,"Springer","Journal of Cross-Cultural Gerontology","0169-3816","0169-3816","1573-0719",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"lu",2016,2200,"10.1007/s10071-016-1016-z",TRUE,"Springer","Animal Cognition","1435-9448","1435-9448","1435-9456",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"cth",2016,2200,"10.1007/s10107-016-1055-x",TRUE,"Springer","Mathematical Programming","0025-5610","0025-5610","1436-4646",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"ltu",2016,2200,"10.1007/s11249-016-0727-2",TRUE,"Springer","Tribology Letters","1023-8883","1023-8883","1573-2711",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"gu",2016,2200,"10.1007/s11252-016-0581-x",TRUE,"Springer","Urban Ecosystems","1083-8155","1083-8155","1573-1642",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
