institution,period,euro,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,issn_l,license_ref,indexed_in_crossref,pmid,pmcid,ut,url,doaj
bth,2016,2200,10.1007/s11187-016-9801-2,TRUE,Springer,Small Business Economics,0921-898X,0921-898X,1573-0913,NA,http://creativecommons.org/licenses/by/4.0,TRUE,NA,NA,NA,NA,FALSE
cth,2013,413,10.1080/21663831.2013.844737,FALSE,Taylor & Francis,Materials Research Letters,2166-3831,NA,2166-3831,NA,NA,TRUE,NA,NA,NA,NA,FALSE
cth,2014,2429,10.1080/00207543.2014.980456,TRUE,Taylor & Francis,International Journal of Production Research,0020-7543,0020-7543,1366-588X,NA,NA,TRUE,NA,NA,NA,NA,FALSE
cth,2014,2429,10.1080/01490451.2013.879508,TRUE,Taylor & Francis,Geomicrobiology Journal,0149-0451,0149-0451,1521-0529,NA,NA,TRUE,NA,NA,NA,NA,FALSE
cth,2014,2429,10.1080/13669877.2014.889194,TRUE,Taylor & Francis,Journal of Risk Research,1366-9877,1366-9877,1466-4461,NA,NA,TRUE,NA,NA,NA,NA,FALSE
cth,2014,3040,10.3109/14992027.2014.996826,TRUE,Taylor & Francis,International Journal of Audiology,1499-2027,1499-2027,1708-8186,NA,NA,TRUE,25705995,PMC4487578,NA,NA,FALSE
cth,2016,1169,10.1080/23311916.2016.1239516,FALSE,Taylor & Francis,Cogent Engineering,2331-1916,NA,2331-1916,NA,NA,TRUE,NA,NA,NA,NA,TRUE
cth,2016,2132,10.1080/10643389.2016.1149903,TRUE,Taylor & Francis,Critical Reviews in Environmental Science and Technology,1064-3389,1064-3389,1547-6537,NA,NA,TRUE,NA,NA,NA,NA,FALSE
cth,2016,2132,10.1080/17445760.2016.1241880,TRUE,Taylor & Francis,"International Journal of Parallel, Emergent and Distributed Systems",1744-5760,1744-5760,1744-5779,NA,NA,TRUE,NA,NA,NA,NA,FALSE
cth,2016,2132,10.1080/19376812.2015.1130636,TRUE,Taylor & Francis,African Geographical Review,1937-6812,1937-6812,2163-2642,NA,NA,TRUE,NA,NA,NA,NA,FALSE
cth,2016,2200,10.1007/s00023-016-0531-4,TRUE,Springer,Annales Henri Poincaré,1424-0637,1424-0637,1424-0661,NA,http://creativecommons.org/licenses/by/4.0,TRUE,NA,NA,NA,NA,FALSE
cth,2016,2200,10.1007/s00190-016-0974-x,TRUE,Springer,Journal of Geodesy,0949-7714,0949-7714,1432-1394,NA,http://creativecommons.org/licenses/by/4.0,TRUE,NA,NA,NA,NA,FALSE
cth,2016,2200,10.1007/s00707-016-1754-7,TRUE,Springer,Acta Mechanica,0001-5970,0001-5970,1619-6937,NA,http://creativecommons.org/licenses/by/4.0,TRUE,NA,NA,NA,NA,FALSE
cth,2016,2200,10.1007/s00766-016-0259-1,TRUE,Springer,Requirements Engineering,0947-3602,0947-3602,1432-010X,NA,http://creativecommons.org/licenses/by/4.0,TRUE,NA,NA,NA,NA,FALSE
cth,2016,2200,10.1007/s00766-016-0261-7,TRUE,Springer,Requirements Engineering,0947-3602,0947-3602,1432-010X,NA,http://creativecommons.org/licenses/by/4.0,TRUE,NA,NA,NA,NA,FALSE
cth,2016,2200,10.1007/s10064-016-0962-7,TRUE,Springer,Bulletin of Engineering Geology and the Environment,1435-9529,1435-9529,1435-9537,NA,http://creativecommons.org/licenses/by/4.0,TRUE,NA,NA,NA,NA,FALSE
cth,2016,2200,10.1007/s10107-016-1055-x,TRUE,Springer,Mathematical Programming,0025-5610,0025-5610,1436-4646,NA,http://creativecommons.org/licenses/by/4.0,TRUE,NA,NA,NA,NA,FALSE
cth,2016,2200,10.1007/s10295-016-1814-y,TRUE,Springer,Journal of Industrial Microbiology & Biotechnology,1367-5435,1367-5435,1476-5535,NA,http://creativecommons.org/licenses/by/4.0,TRUE,27565672,NA,NA,NA,FALSE
cth,2016,2200,10.1007/s10472-016-9532-8,TRUE,Springer,Annals of Mathematics and Artificial Intelligence,1012-2443,1012-2443,1573-7470,NA,http://creativecommons.org/licenses/by/4.0,TRUE,NA,NA,NA,NA,FALSE
cth,2016,2200,10.1007/s10494-016-9760-3,TRUE,Springer,"Flow, Turbulence and Combustion",1386-6184,1386-6184,1573-1987,NA,http://creativecommons.org/licenses/by/4.0,TRUE,NA,NA,NA,NA,FALSE
cth,2016,2200,10.1007/s10534-016-9976-7,TRUE,Springer,BioMetals,0966-0844,0966-0844,1572-8773,NA,http://creativecommons.org/licenses/by/4.0,TRUE,27744583,PMC5285417,NA,NA,FALSE
cth,2016,2200,10.1007/s10543-016-0635-8,TRUE,Springer,BIT Numerical Mathematics,0006-3835,0006-3835,1572-9125,NA,http://creativecommons.org/licenses/by/4.0,TRUE,NA,NA,NA,NA,FALSE
cth,2016,2200,10.1007/s10570-016-1080-1,TRUE,Springer,Cellulose,0969-0239,0969-0239,1572-882X,NA,http://creativecommons.org/licenses/by/4.0,TRUE,NA,NA,NA,NA,FALSE
cth,2016,2200,10.1007/s10664-016-9482-0,TRUE,Springer,Empirical Software Engineering,1382-3256,1382-3256,1573-7616,NA,http://creativecommons.org/licenses/by/4.0,TRUE,NA,NA,NA,NA,FALSE
cth,2016,2200,10.1007/s10811-016-0957-6,TRUE,Springer,Journal of Applied Phycology,0921-8971,0921-8971,1573-5176,NA,http://creativecommons.org/licenses/by/4.0,TRUE,28344391,PMC5346136,NA,NA,FALSE
cth,2016,2200,10.1007/s10948-016-3666-0,TRUE,Springer,Journal of Superconductivity and Novel Magnetism,1557-1939,1557-1939,1557-1947,NA,http://creativecommons.org/licenses/by/4.0,TRUE,NA,NA,NA,NA,FALSE
cth,2016,2200,10.1007/s10948-016-3851-1,TRUE,Springer,Journal of Superconductivity and Novel Magnetism,1557-1939,1557-1939,1557-1947,NA,http://creativecommons.org/licenses/by/4.0,TRUE,NA,NA,NA,NA,FALSE
cth,2016,2200,10.1007/s11044-016-9542-7,TRUE,Springer,Multibody System Dynamics,1384-5640,1384-5640,1573-272X,NA,http://creativecommons.org/licenses/by/4.0,TRUE,NA,NA,NA,NA,FALSE
cth,2016,2200,10.1007/s11081-016-9342-1,TRUE,Springer,Optimization and Engineering,1389-4420,1389-4420,1573-2924,NA,http://creativecommons.org/licenses/by/4.0,TRUE,NA,NA,NA,NA,FALSE
cth,2016,2200,10.1007/s11241-016-9258-z,TRUE,Springer,Real-Time Systems,0922-6443,0922-6443,1573-1383,NA,http://creativecommons.org/licenses/by/4.0,TRUE,NA,NA,NA,NA,FALSE
cth,2016,2200,10.1007/s11367-016-1182-x,TRUE,Springer,The International Journal of Life Cycle Assessment,0948-3349,0948-3349,1614-7502,NA,http://creativecommons.org/licenses/by/4.0,TRUE,NA,NA,NA,NA,FALSE
cth,2016,2200,10.1007/s11517-016-1578-6,TRUE,Springer,Medical & Biological Engineering & Computing,0140-0118,0140-0118,1741-0444,NA,http://creativecommons.org/licenses/by/4.0,TRUE,NA,NA,NA,NA,FALSE
cth,2016,2200,10.1007/s12528-016-9127-8,TRUE,Springer,Journal of Computing in Higher Education,1042-1726,1042-1726,1867-1233,NA,http://creativecommons.org/licenses/by/4.0,TRUE,NA,NA,NA,NA,FALSE
cth,2016,2200,10.1007/s13399-016-0228-4,TRUE,Springer,Biomass Conversion and Biorefinery,2190-6815,2190-6815,2190-6823,NA,http://creativecommons.org/licenses/by/4.0,TRUE,NA,NA,NA,NA,FALSE
