institution	period	euro	doi	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	url
du	2017	1957	10.2147/JPR.S125074	FALSE	Dove Medical Press	Journal of Pain Research			1178-7090	https://www.dovepress.com/a-9-year-follow-up-of-a-self-management-group-intervention-for-persist-peer-reviewed-article-JPR
du	2017	1486	10.23865/njlr.v3.479	FALSE	Cappelen Damm Akademisk AS * Nordic Open Access Scholarly Publishing	Nordic Journal of Literacy Research			2464-1596	https://nordicliteracy.net/index.php/njlr/article/view/479
du	2017	1967	10.1080/2156857X.2016.1156015	TRUE	Routledge	Nordic Social Work Research		2156-857X	2156-8588	http://www.tandfonline.com/doi/full/10.1080/2156857X.2016.1156015
du	2017	1210	10.2147/OAJSM.S116672	FALSE	Dove Medical Press	Open Access Journal of Sports Medicine			1179-1543	https://www.dovepress.com/aerobic-power-and-lean-mass-are-indicators-of-competitive-sprint-perfo-peer-reviewed-article-OAJSM
du	2017	3325	10.1111/jan.13281	TRUE	Wiley	Journal of Advanced Nursing		0309-2402	1365-2648	http://onlinelibrary.wiley.com/doi/10.1111/jan.13281/abstract
du	2017	1338	10.3390/ma10030221	FALSE	MDPI	Materials			1996-1944	http://www.mdpi.com/1996-1944/10/3/221
du	2017	1600	10.23865/njlr.v3.472	FALSE	Cappelen Damm Akademisk AS * Nordic Open Access Scholarly Publishing	Nordic Journal of Literacy Research			2464-1596	https://nordicliteracy.net/index.php/njlr/article/view/472
du	2017	2053	10.1080/13691058.2017.1310297	TRUE	Routledge	Culture, Health & Sexuality		1369-1058	1464-5351	http://www.tandfonline.com/doi/full/10.1080/13691058.2017.1310297
du	2017	1329	10.3390/ma10050453	FALSE	MDPI					
du	2017	1150	10.3390/ijerph14050512	TRUE	MDPI					
du	2017	1955	10.1080/03004430.2017.1324433	TRUE	Taylor & Francis					
du	2017	2650	10.1111/ecc.12728	TRUE	Wiley					
du	2017	2103	10.1080/13510347.2017.1334643	TRUE	Taylor & Francis					
du	2017	2e3	10.1016/j.nepr.2017.05.007	TRUE	Elsevier					
du	2017	2626	10.1016/j.archger.2017.06.002	TRUE	Elsevier					
du	2017	1201	10.1080/2331186X.2017.1349562	FALSE	cogent OA					
du	2017	3670	10.1111/jan.13358	TRUE	Wiley					
du	2017	1313	10.1371/journal.pone.0177477	FALSE	PLOS					
du	2017	1300	10.1080/17482631.2017.1347013	FALSE	Taylor & Francis					
du	2017	2150	10.1080/1600910X.2017.1370004	TRUE	Taylor & Francis					
du	2017	2150	10.1080/03004430.2017.1372758	TRUE	Taylor & Francis					
du	2017	205	10.18848/2325-1581/CGP/v11i03/1-17	TRUE	CGPublisher					
du	2017	489	10.5539/gjhs.v9n12p56	FALSE	Canadian Center of Science and Education					
du	2017	1820	10.1136/bmjopen-2017-017600	FALSE	BMJ Publishing Group					
du	2017	1500	10.1111/hsc.12518	TRUE	Wiley					
du	2017	2400	10.1136/bmjdrc-2017-000432	FALSE	BMJ Publishing Group					
du	2017	2150	10.1080/09638288.2017.1406008	TRUE	Taylor & Francis					
du	2017	867	10.1155/2018/8720643	FALSE	Hindawi	Advances in Operations Research		1687-9147	1687-9155	https://www.hindawi.com/journals/aor/aip/8720643/
du	2017	1650	10.1109/JBHI.2017.2777926	TRUE	ieee					
