institution	period	euro	doi	is_hybrid	publisher
du	2018	2370	10.1080/13607863.2016.1247425	TRUE	
du	2018	2008	10.1016/j.archger.2017.11.004	TRUE	
du	2018	2500	10.1111/apa.14257	TRUE	
du	2018	1330	10.1163/2212943X-00603004	TRUE	
du	2018	1015	10.1016/j.heliyon.2018.e00660	FALSE	
du	2018	1870	10.1017/S0007123418000017	TRUE	
du	2018	636	10.1016/j.amper.2018.03.001	FALSE	
du	2018	1504	10.1002/nop2.159	FALSE	
du	2018	4375	10.1111/jan.13690	TRUE	
du	2018	3350	10.1111/mcn.12618	TRUE	
du	2018	3093	10.1016/j.matchar.2018.04.035	TRUE	
du	2018	3140	10.1016/j.matchar.2017.11.046	TRUE	
du	2018	335	10.1177/1403494817728668	TRUE	
du	2018	1800	10.1186/s12955-018-0967-y	FALSE	
du	2018	2750	10.1111/1475-6773.13001	TRUE	
du	2018	1400	10.1080/16549716.2018.1490106	FALSE	
du	2018	2190	10.1016/j.archger.2018.08.007	TRUE	
du	2018	1539	10.1016/j.tmp.2018.09.002	TRUE	
du	2018	1745	10.1186/s12978-018-0612-6	FALSE	
du	2018	2182	10.1186/s12884-018-2089-2	FALSE	
