institution	period	euro	doi	is_hybrid	publisher
du	2020	1724.8319999999999	10.1049/iet-its.2019.0468	TRUE	
du	2020	1411.92	10.3390/en13010080	FALSE	
du	2020	1259.28	10.1080/17482631.2020.1735092	FALSE	
du	2020	3088.098	10.1097/mej.0000000000000692	TRUE	
du	2020	1659.96	10.3390/ijerph17051715	FALSE	
du	2020	1676.7504	10.2340/16501977-2648	FALSE	
du	2020	2335.5828	10.1016/j.archger.2020.104032	TRUE	
du	2020	1765.377	10.3390/su12114703	FALSE	
du	2020	1582.7814	10.1371/journal.pone.0233181	FALSE	
du	2020	1478.7	10.1016/j.tmp.2020.100650	TRUE	
du	2020	1905.138	10.1155/2021/8887328	FALSE	
du	2020	919.4652	10.3390/buildings10090148	FALSE	
du	2020	932.3442	10.1016/j.linged.2019.100775	TRUE	
du	2020	1647.081	10.3390/su12177194	FALSE	
du	2020	2391.1056	10.1093/jrs/feaa096	TRUE	
du	2020	2175.5969999999998	10.1136/bmjopen-2020-038966	FALSE	
