"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"du",2020,1724.8319999999999,"10.1049/iet-its.2019.0468",TRUE,"Institution of Engineering and Technology (IET)","IET Intelligent Transport Systems","1751-956X","1751-956X","1751-9578",NA,"http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,FALSE
"du",2020,1411.92,"10.3390/en13010080",FALSE,"MDPI AG","Energies","1996-1073",NA,"1996-1073",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"du",2020,1259.28,"10.1080/17482631.2020.1735092",FALSE,"Informa UK Limited","International Journal of Qualitative Studies on Health and Well-being","1748-2631",NA,"1748-2631",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"32212959","PMC7170273",NA,NA,TRUE
"du",2020,3088.098,"10.1097/mej.0000000000000692",TRUE,"Ovid Technologies (Wolters Kluwer Health)","European Journal of Emergency Medicine","0969-9546","0969-9546",NA,NA,NA,TRUE,"32852925","PMC7448834",NA,NA,FALSE
"du",2020,1659.96,"10.3390/ijerph17051715",FALSE,"MDPI AG","International Journal of Environmental Research and Public Health","1660-4601",NA,"1660-4601",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"32150995","PMC7084863",NA,NA,TRUE
"du",2020,1676.7504,"10.2340/16501977-2648",FALSE,"Medical Journals Sweden AB","Journal of Rehabilitation Medicine","1650-1977","1650-1977",NA,NA,NA,TRUE,"31995224",NA,NA,NA,TRUE
"du",2020,2335.5828,"10.1016/j.archger.2020.104032",TRUE,"Elsevier BV","Archives of Gerontology and Geriatrics","0167-4943","0167-4943",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"32330743",NA,NA,NA,FALSE
"du",2020,1765.377,"10.3390/su12114703",FALSE,"MDPI AG","Sustainability","2071-1050",NA,"2071-1050",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"du",2020,1582.7814,"10.1371/journal.pone.0233181",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"32413062","PMC7228110",NA,NA,TRUE
"du",2020,1478.7,"10.1016/j.tmp.2020.100650",TRUE,"Elsevier BV","Tourism Management Perspectives","2211-9736","2211-9736",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"du",2020,1905.138,"10.1155/2021/8887328",FALSE,"Hindawi Publishing Corporation","Advances in Civil Engineering","1687-8094","1687-8086","1687-8094",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"du",2020,919.4652,"10.3390/buildings10090148",FALSE,"MDPI AG","Buildings","2075-5309",NA,"2075-5309",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"du",2020,932.3442,"10.1016/j.linged.2019.100775",TRUE,"Elsevier BV","Linguistics and Education","0898-5898","0898-5898",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"du",2020,1647.081,"10.3390/su12177194",FALSE,"MDPI AG","Sustainability","2071-1050",NA,"2071-1050",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"du",2020,2391.1056,"10.1093/jrs/feaa096",TRUE,"Oxford University Press (OUP)","Journal of Refugee Studies","0951-6328","0951-6328","1471-6925",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"du",2020,2175.5969999999998,"10.1136/bmjopen-2020-038966",FALSE,"BMJ","BMJ Open","2044-6055","2044-6055","2044-6055",NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"33203629","PMC7674110",NA,NA,TRUE
