"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"gih",2018,2500,"10.1111/hir.12229",TRUE,"Wiley","Health Information & Libraries Journal","1471-1834",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"30006988",NA,NA,NA,FALSE
"gih",2018,1343,"10.1371/journal.pone.0201014",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"30071032","PMC6071990",NA,NA,TRUE
"gih",2018,2800,"10.1111/sms.13328",TRUE,"Wiley","Scandinavian Journal of Medicine & Science in Sports","0905-7188",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"30351472",NA,NA,NA,FALSE
"gih",2018,1364,"10.1161/jaha.118.010108",FALSE,"Wiley","Journal of the American Heart Association","2047-9980",NA,"2047-9980",NA,NA,TRUE,"30561263","PMC6405601",NA,NA,TRUE
"gih",2018,2637,"10.3389/fpsyg.2018.02612",FALSE,"Frontiers","Frontiers in Psychology","1664-1078",NA,"1664-1078",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"30619011","PMC6306454",NA,NA,TRUE
"gih",2018,2250,"10.1186/s12889-018-6329-1",FALSE,"BioMed Central","BMC Public Health","1471-2458",NA,"1471-2458",NA,NA,TRUE,"30611226","PMC6321678",NA,NA,TRUE
"gih",2018,1348,"10.3390/ijerph15040792",FALSE,"MDPI","International Journal of Environmental Research and Public Health","1660-4601",NA,"1660-4601",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"29670047","PMC5923834",NA,NA,TRUE
"gih",2018,1810,"10.1123/jpah.2017-0083",TRUE,"Human Kinetics","Journal of Physical Activity and Health","1543-3080","1543-3080","1543-5474",NA,NA,TRUE,"29706117",NA,NA,NA,FALSE
"gih",2018,1479,"10.1192/bjo.2018.45",FALSE,"Cambridge University Press (CUP)","British Journal of Psychiatry Open","2056-4724",NA,"2056-4724",NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"30140446","PMC6094184",NA,NA,TRUE
"gih",2018,1355,"10.1371/journal.pone.0207573",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"30444927","PMC6239310",NA,NA,TRUE
