institution	period	euro	doi	is_hybrid	publisher
gih	2019	2198.576	10.1186/s12889-018-6329-1	FALSE	BioMed Central
gih	2019	1746.6832	10.1186/s40795-019-0279-6	FALSE	BioMed Central
gih	2019	1806.1552	10.1186/s12889-019-6589-4	FALSE	BioMed Central
gih	2019	2584.672	10.1016/j.ypmed.2019.105799	TRUE	Elsevier
gih	2019	3033.1664	10.1111/sms.13581	TRUE	Wiley
gih	2019	1240.9823999999999	10.3390/ijerph16234721	FALSE	MDPI AG
gih	2019	1724.4048	10.3390/ijerph16183370	FALSE	MDPI AG
gih	2019	2524.4447999999998	10.1111/apa.14884	TRUE	Wiley
gih	2019	411.3952	10.3389/fpsyg.2019.02721	FALSE	Frontiers Media
gih	2019	827.3216	10.3390/ijerph16234766	FALSE	MDPI AG
gih	2019	1458.5744	10.1371/journal.pone.0219741	FALSE	Public Library of Science (PLoS)
gih	2019	1660.8736	10.3390/ijerph16245136	FALSE	MDPI AG
