institution	period	euro	doi	is_hybrid	publisher
gih	2020	1529.9298	10.1371/journal.pone.0232210	FALSE	Public Library of Science (PLoS)
gih	2020	1597.0914	10.3389/fpsyg.2020.00999	FALSE	Frontiers
gih	2020	2179.7946	10.1186/s12889-020-09433-7	FALSE	BioMed Central
gih	2020	2209.6548	10.1186/s12889-020-09755-6	FALSE	BioMed Central
gih	2020	2209.6548	10.1186/s12889-020-09801-3	FALSE	BioMed Central
gih	2020	1571.4288	10.3390/ijerph17238864	FALSE	MDPI
gih	2020	1670.8355999999999	10.3390/ijerph17020628	FALSE	MDPI
gih	2020	2095.2702	10.3390/ijerph17176214	FALSE	MDPI
gih	2020	2546.7984	10.3389/fnhum.2020.00273	FALSE	Frontiers
gih	2020	1764.7092	10.3389/fspor.2020.00016	FALSE	Frontiers
gih	2020	2215.0926	10.3389/fphys.2020.01080	FALSE	Frontiers
gih	2020	2203.9308	10.3389/fphys.2020.585490	FALSE	Frontiers
gih	2020	1640.3075999999999	10.3389/fspor.2020.00065	FALSE	Frontiers
gih	2020	1003.608	10.15761/cmi.1000197	FALSE	open access text
gih	2020	1706.706	10.1136/bmjopen-2020-037659	FALSE	BMJ
gih	2020	1162.7352	10.1016/j.jtrangeo.2020.102740	TRUE	Elsevier
gih	2020	1414.1142	10.1371/journal.pone.0237388	FALSE	Public Library of Science (PLoS)
