institution	period	euro	doi	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	url
gu	2016	1422.5	10.1371/journal.pone.0164435	FALSE						
gu	2016	1422.5	10.1371/journal.pone.0167529	FALSE						
gu	2016	1422.5	10.1371/journal.pone.0166918	FALSE						
gu	2016	1422.5	10.1371/journal.pone.0152899	FALSE						
gu	2016	1422.5	10.1371/journal.pone.0166251	FALSE						
gu	2016	1422.5	10.1371/journal.pone.0167287	FALSE						
gu	2016	2140.89	10.1371/journal.pgen.1005982	FALSE						
gu	2016	1422.5	10.1371/journal.pone.0166469	FALSE						
gu	2016	1422.5	10.1371/journal.pone.0168128	FALSE						
gu	2016	713.63	10.1080/15548627.2015.1132134	TRUE						
gu	2016	713.63	10.1080/15592294.2016.1138195	TRUE						
gu	2016	746.93	10.1080/21624054.2016.1206171	TRUE						
gu	2016	1701.30	10.1080/00219266.2016.1233130	TRUE						
gu	2016	2275	10.1093/rpd/ncw046	TRUE						
gu	2016	2275	10.1093/rheumatology/kew192	TRUE						
gu	2016	2450	10.1093/hmg/ddw341	TRUE						
gu	2016	2130	10.1093/nar/gkw674	FALSE						
gu	2016	2250	10.1093/molbev/msw066	TRUE						
gu	2016	2550	10.1093/eurheartj/ehw221	TRUE						
gu	2016	2275	10.1093/rpd/ncw041	TRUE						
gu	2016	2130	10.1093/nar/gkw468	FALSE						
gu	2016	354	10.1177/2333393615599168	FALSE						
gu	2016	2851	10.1177/0010414015626445	TRUE						
gu	2016	354	10.1177/2333393616630672	FALSE						
gu	2016	1338.81	10.1016/j.pmedr.2016.04.010	FALSE						
gu	2016	1082.35	10.1016/j.ssmph.2016.08.004	FALSE						
gu	2016	1740.45	10.1016/j.vaccine.2016.04.055	TRUE						
gu	2016	981.79	10.1016/j.giq.2016.01.010	TRUE						
gu	2016	2231.35	10.1016/j.ijrobp.2016.05.007	TRUE						
gu	2016	223	10.1016/j.dib.2015.12.003	FALSE						
gu	2016	446.27	10.1016/j.dib.2016.05.065	FALSE						
gu	2016	541.18	10.1016/j.amper.2016.10.001	FALSE						
gu	2016	0	10.1515/nsad-2016-0020	FALSE						
gu	2016	0	10.4309/jgi.2016.34.2	FALSE						
gu	2016	1788	10.3389/fimmu.2016.00001	FALSE						
gu	2016	1341	10.3389/fmars.2016.00011	FALSE						
