"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"gu",2016,1422.5,"10.1371/journal.pone.0164435",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"27760182","PMC5070875",NA,NA,TRUE
"gu",2016,1422.5,"10.1371/journal.pone.0167529",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"27907124","PMC5132201",NA,NA,TRUE
"gu",2016,1422.5,"10.1371/journal.pone.0166918",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"27973542","PMC5156420",NA,NA,TRUE
"gu",2016,1422.5,"10.1371/journal.pone.0152899",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"27054573","PMC4824445",NA,NA,TRUE
"gu",2016,1422.5,"10.1371/journal.pone.0166251",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"27861529","PMC5115717",NA,NA,TRUE
"gu",2016,1422.5,"10.1371/journal.pone.0167287",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"27907047","PMC5131947",NA,NA,TRUE
"gu",2016,2140.89,"10.1371/journal.pgen.1005982",FALSE,"Public Library of Science (PLoS)","PLOS Genetics","1553-7404",NA,"1553-7404",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"27082444","PMC4833288",NA,NA,TRUE
"gu",2016,1422.5,"10.1371/journal.pone.0166469",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"27851775","PMC5112775",NA,NA,TRUE
"gu",2016,1422.5,"10.1371/journal.pone.0168128",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"27977802","PMC5157998",NA,NA,TRUE
"gu",2016,713.63,"10.1080/15548627.2015.1132134",TRUE,"Informa UK Limited","Autophagy","1554-8627","1554-8627","1554-8635",NA,NA,TRUE,"26727396","PMC4835980",NA,NA,FALSE
"gu",2016,713.63,"10.1080/15592294.2016.1138195",TRUE,"Informa UK Limited","Epigenetics","1559-2294","1559-2294","1559-2308",NA,NA,TRUE,"26786290","PMC4846113",NA,NA,FALSE
