institution	period	euro	doi	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	url
gu	2016	1927,88	10.1016/j.chiabu.2016.06.001	TRUE						
gu	2016	1160	10.1002/ece3.2318	FALSE						
gu	2016	947	10.1002/2015WR018375	TRUE						
gu	2016	2 368,66	10.1002/pro.3046	TRUE						
gu	2016	2 842,39	10.1002/dys.1545	TRUE						
gu	2016	4462,7	10.1016/j.cmet.2016.05.001	TRUE						
gu	2016	3201,96	10.1016/j.bbadis.2016.11.033	TRUE						
gu	2016	2976,47	10.1016/j.ijcard.2016.06.037	TRUE						
gu	2016	3571,76	10.1016/j.rmed.2016.10.005	TRUE						
gu	2016	3355,3	10.1016/j.apergo.2016.06.012	TRUE						
gu	2016	2796,08	10.1016/j.jcis.2016.09.005	TRUE						
gu	2016	3427,45	10.1016/j.rse.2016.11.013	TRUE						
gu	2016	3123,89	10.1016/j.biomaterials.2016.01.034	TRUE						
gu	2016	3480,91	10.1016/j.cocis.2016.02.005	TRUE						
gu	2016	2976,47	10.1016/j.ijcard.2016.07.060	TRUE						
gu	2016	2750	10.1007/s00198-016-3643-2	TRUE						
gu	2016	2200	10.1007/s10113-015-0895-x	TRUE						
gu	2016	2750	10.1007/s00198-015-3445-y	TRUE						
gu	2016	2750	10.1007/s12678-016-0310-5	TRUE						
gu	2016	2454,48	10.1016/j.psyneuen.2015.11.021	TRUE						
gu	2016	2345,1	10.1016/j.yhbeh.2016.07.008	TRUE						
gu	2016	2345,1	10.1016/j.jelechem.2016.11.011	TRUE						
gu	2016	1927,88	10.1016/j.worlddev.2016.03.006	TRUE						
gu	2016	2320,6	10.1016/j.bbr.2016.04.015	TRUE						
gu	2016	2345,1	10.1016/j.neuropharm.2016.07.039	TRUE						
gu	2016	2705,88	10.1016/j.csr.2016.09.005	TRUE						
gu	2016	2231,35	10.1016/j.jacl.2016.02.015	TRUE						
gu	2016	2800	10.1038/tp.2016.104	FALSE						
gu	2016	2800	10.1038/tp.2016.12	FALSE						
gu	2016	3300	10.1038/npjpcrm.2015.82	FALSE						
gu	2016	1982	10.1038/ncomms11050	FALSE						
gu	2016	3700	10.1038/ncomms11161	FALSE						
gu	2016	3700	10.1038/ncomms11447	FALSE						
gu	2016	2900	10.1038/npp.2016.118	TRUE						
gu	2016	3700	10.1038/ncomms12689	FALSE						
gu	2016	4440	10.1038/ncomms12698	FALSE						
