"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"gu",2016,1927.88,"10.1016/j.chiabu.2016.06.001",TRUE,"Elsevier","Child Abuse & Neglect","0145-2134","0145-2134",NA,NA,"http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,"27286134",NA,NA,NA,FALSE
"gu",2016,1160,"10.1002/ece3.2318",FALSE,"Wiley","Ecology and Evolution","2045-7758",NA,NA,NA,"http://doi.wiley.com/10.1002/tdm_license_1",TRUE,NA,NA,NA,NA,TRUE
"gu",2016,947,"10.1002/2015WR018375",TRUE,"Wiley","Water Resources Research","0043-1397",NA,NA,NA,"http://doi.wiley.com/10.1002/tdm_license_1",TRUE,NA,NA,NA,NA,FALSE
"gu",2016,2368.66,"10.1002/pro.3046",TRUE,"Wiley","Protein Science","0961-8368",NA,NA,NA,"http://doi.wiley.com/10.1002/tdm_license_1",TRUE,"27643892","PMC5119558",NA,NA,FALSE
"gu",2016,2842.39,"10.1002/dys.1545",TRUE,"Wiley","Dyslexia","1076-9242",NA,NA,NA,"http://doi.wiley.com/10.1002/tdm_license_1",TRUE,"27892641",NA,NA,NA,FALSE
"gu",2016,4462.7,"10.1016/j.cmet.2016.05.001",TRUE,"Elsevier","Cell Metabolism","1550-4131","1550-4131",NA,NA,"http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,"27304513","PMC4911343",NA,NA,FALSE
"gu",2016,3201.96,"10.1016/j.bbadis.2016.11.033",TRUE,"Elsevier","Biochimica et Biophysica Acta (BBA) - Molecular Basis of Disease","0925-4439","0925-4439",NA,NA,"http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,"27915033",NA,NA,NA,FALSE
"gu",2016,2976.47,"10.1016/j.ijcard.2016.06.037",TRUE,"Elsevier","International Journal of Cardiology","0167-5273","0167-5273",NA,NA,"http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,"27376234",NA,NA,NA,FALSE
"gu",2016,3571.76,"10.1016/j.rmed.2016.10.005",TRUE,"Elsevier","Respiratory Medicine","0954-6111","0954-6111",NA,NA,"http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,"27817808",NA,NA,NA,FALSE
"gu",2016,3355.3,"10.1016/j.apergo.2016.06.012",TRUE,"Elsevier","Applied Ergonomics","0003-6870","0003-6870",NA,NA,"http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,"27633215",NA,NA,NA,FALSE
