institution	period	euro	doi	is_hybrid	publisher
gu	2018	0	10.1177/2325967118813904	NO	
gu	2018	0	10.1177/2325967118764317	NO	
gu	2018	0	10.1177/2396941518764527	NO	
gu	2018	0	10.1177/2055207618807603	NO	
gu	2018	119.25	10.25046/aj030234	NO	
gu	2018	176.75	10.3390/jcm7120526	NO	
gu	2018	209.5011065937387	10.1177/2333393618807380	NO	
gu	2018	271.0218686322111	10.3897/rio.4.e30729	NO	
gu	2018	313.54919223531937	10.1038/s41598-018-32686-7	NO	
gu	2018	419.92356215936894	10.7150/jgen.27637	NO	
gu	2018	460	10.16910/jemr.11.3.1	NO	
gu	2018	478.31661255569526	10.3390/microorganisms6020055	NO	
gu	2018	500	10.1057/s41599-018-0084-x	NO	
gu	2018	566.1752805483245	10.5334/cstp.101	NO	
gu	2018	572.8177678980569	10.2174/1874613601812010174	NO	
gu	2018	600.4738366141156	10.1016/j.bjid.2018.08.005	NO	
gu	2018	601.2655142492224	10.1080/2331186X.2018.1516499	NO	
gu	2018	657.375179151189	10.1155/2018/3153250	NO	
gu	2018	668.0735519221581	10.1155/2018/9858252	NO	
gu	2018	716.5111585597707	10.1186/s13256-017-1365-5	NO	
gu	2018	734.0431132820497	10.1080/2331186X.2017.1419419	NO	
gu	2018	751.6062671229538	10.1177/2050312118782262	NO	
gu	2018	770	10.5194/acp-18-14939-2018	NO	
gu	2018	841.55	10.3390/nu10060745	NO	
gu	2018	872.824592705256	10.1177/1609406918809303	NO	
gu	2018	875.47	10.3390/cells7100167	NO	
gu	2018	878.0728694414381	10.1155/2018/9418692	NO	
gu	2018	900	10.17645/si.v6i4.1512	NO	
gu	2018	988.9525870894146	10.3389/fcimb.2018.00034	NO	
gu	2018	990	10.5194/cp-14-1097-2018	NO	
gu	2018	1e3	10.1002/ehf2.12395	NO	
gu	2018	1078.4833328458471	10.1186/s40634-018-0120-1	NO	
gu	2018	1104.65	10.1016/j.ssmph.2018.06.009	NO	
gu	2018	1148.5760527265104	10.1371/journal.pone.0193059	NO	
gu	2018	1158.6884670508057	10.1080/2331205X.2018.1484602	NO	
gu	2018	1167.44	10.1186/s41747-018-0055-4	NO	
gu	2018	1169.78	10.3390/su10051463	NO	
gu	2018	1172.6091237922528	10.1136/bmjsem-2018-000394	NO	
gu	2018	1181.71	10.3390/ijerph15122692	NO	
gu	2018	1184.6330522487738	10.1002/ece3.3657	NO	
gu	2018	1186.357210408806	10.1525/elementa.149	NO	
gu	2018	1187.5369270818098	10.1371/journal.pone.0192036	NO	
gu	2018	1191.8667797634716	10.1371/journal.pone.0186178	NO	
gu	2018	1193.57	10.3390/nu10111629	NO	
gu	2018	1196.44	10.3390/su11010031	NO	
gu	2018	1205.5534431152319	10.1371/journal.pone.0194538	NO	
