"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"gu",2020,1346,"10.1016/j.apal.2020.102792",TRUE,"Elsevier","Annals of Pure and Applied Logic","0168-0072","0168-0072",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"gu",2020,509.53,"10.5324/njsts.v8i1.3320",FALSE,"Norwegian University of Science and Technology (NTNU) Library","Nordic Journal of Science and Technology Studies","1894-4647",NA,"1894-4647",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE
"gu",2020,3171.95,"10.1136/medethics-2020-106644",TRUE,"BMJ","Journal of Medical Ethics","0306-6800","0306-6800","1473-4257",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"33154090","PMC7848061",NA,NA,FALSE
"gu",2020,1510.18,"10.1371/journal.pone.0236009",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"32658934","PMC7357785",NA,NA,TRUE
"gu",2020,1652.14,"10.3390/su12229561",FALSE,"MDPI","Sustainability","2071-1050",NA,"2071-1050",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"gu",2020,1752.59,"10.1075/lcs.19014.mil",TRUE,"John Benjamins Publishing Company","Language, Culture and Society","2543-3164","2543-3164","2543-3156",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"gu",2020,3014.26,"10.1080/18902138.2020.1714315",TRUE,"Taylor & Francis","NORMA","1890-2138","1890-2138","1890-2146",NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"gu",2020,1615.79,"10.3389/fevo.2020.00120",FALSE,"Frontiers","Frontiers in Ecology and Evolution","2296-701X",NA,"2296-701X",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"gu",2020,2345.41,"10.1016/j.respol.2020.104114",TRUE,"Elsevier","Research Policy","0048-7333","0048-7333",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"gu",2020,1384.92,"10.3390/su122410567",FALSE,"MDPI","Sustainability","2071-1050",NA,"2071-1050",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"gu",2020,1115.8,"10.1016/j.jtrangeo.2020.102777",TRUE,"Elsevier","Journal of Transport Geography","0966-6923","0966-6923",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"32834671","PMC7305894",NA,NA,FALSE
"gu",2020,2181.99,"10.1016/j.landusepol.2020.104830",TRUE,"Elsevier","Land Use Policy","0264-8377","0264-8377",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"gu",2020,761.29,"10.3389/fsoc.2019.00084",FALSE,"Frontiers","Frontiers in Sociology","2297-7775",NA,"2297-7775",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"33869405","PMC8022606",NA,NA,TRUE
"gu",2020,1713.1,"10.3390/su12062404",FALSE,"MDPI","Sustainability","2071-1050",NA,"2071-1050",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"gu",2020,2158.81,"10.3389/fpsyg.2020.606218",FALSE,"Frontiers","Frontiers in Psychology","1664-1078",NA,"1664-1078",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"33365004","PMC7750528",NA,NA,TRUE
"gu",2020,2897.2,"10.1108/jica-01-2020-0001",TRUE,"Emerald","Journal of Integrated Care","1476-9018","1476-9018",NA,NA,"https://www.emerald.com/insight/site-policies",TRUE,NA,NA,NA,NA,FALSE
"gu",2020,2630.94,"10.1108/jica-06-2020-0042",TRUE,"Emerald","Journal of Integrated Care","1476-9018","1476-9018",NA,NA,"https://www.emerald.com/insight/site-policies",TRUE,NA,NA,NA,NA,FALSE
"gu",2020,2158.81,"10.3389/fphys.2019.01351",FALSE,"Frontiers","Frontiers in Physiology","1664-042X",NA,"1664-042X",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"31798458","PMC6863777",NA,NA,TRUE
"gu",2020,1984.89,"10.1163/19426720-02601007",TRUE,"Brill","Global Governance: A Review of Multilateralism and International Organizations","1075-2846",NA,"1075-2846",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"gu",2020,2899.11,"10.5547/01956574.42.2.fbor",TRUE,"International Association for Energy Economics (IAEE)","The Energy Journal","0195-6574","0195-6574",NA,NA,NA,TRUE,NA,NA,NA,NA,FALSE
"gu",2020,2181.03,"10.1016/j.worlddev.2020.105333",TRUE,"Elsevier","World Development","0305-750X","0305-750X",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"gu",2020,2245.62,"10.1098/rsif.2020.0204",TRUE,"The Royal Society","Journal of The Royal Society Interface","1742-5689","1742-5689","1742-5662",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"32693742","PMC7423443",NA,NA,FALSE
"gu",2020,2224.82,"10.3389/fphys.2020.00954",FALSE,"Frontiers","Frontiers in Physiology","1664-042X",NA,"1664-042X",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"32922308","PMC7456839",NA,NA,TRUE
"gu",2020,3772.21,"10.1111/ele.13451",TRUE,"Wiley","Ecology Letters","1461-023X","1461-023X","1461-0248",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31943670","PMC7079157",NA,NA,FALSE
"gu",2020,2042.13,"10.1098/rspb.2020.1162",TRUE,"The Royal Society","Proceedings of the Royal Society B: Biological Sciences","0962-8452","0962-8452","1471-2954",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"32693723","PMC7423665",NA,NA,FALSE
"gu",2020,1843.22,"10.1194/jlr.ra119000316",FALSE,"Elsevier","The Journal of Lipid Research","0022-2275","0022-2275",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31857389","PMC6997604",NA,NA,TRUE
"gu",2020,2226.16,"10.1128/mcb.00346-19",TRUE,"American Society for Microbiology","Molecular and Cellular Biology","0270-7306","0270-7306","1098-5549",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"31932483","PMC7076255",NA,NA,FALSE
"gu",2020,2172.74,"10.1016/j.bmc.2019.115231",TRUE,"Elsevier","Bioorganic & Medicinal Chemistry","0968-0896","0968-0896",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"31848116",NA,NA,NA,FALSE
"gu",2020,1153.48,"10.1117/1.jbo.25.7.071204",FALSE,"Society of Photo-optical Instrumentation Engineers (SPIE)","Journal of Biomedical Optics","1083-3668",NA,NA,NA,NA,TRUE,"32172545","PMC7070082",NA,NA,TRUE
"gu",2020,2496.71,"10.1063/1.5126921",FALSE,"AIP Publishing","Structural Dynamics","2329-7778",NA,"2329-7778",NA,NA,TRUE,"32266303","PMC7113034",NA,NA,TRUE
"gu",2020,2269.76,"10.7554/elife.53514",FALSE,"eLife Sciences Publications","eLife","2050-084X",NA,"2050-084X",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"32228856","PMC7164956",NA,NA,TRUE
"gu",2020,542.54,"10.1016/j.mex.2020.100816",TRUE,"Elsevier","MethodsX","2215-0161","2215-0161",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"32195136","PMC7078375",NA,NA,TRUE
"gu",2020,1420.98,"10.1021/acs.jpca.9b10970",TRUE,"American Chemical Society (ACS)","The Journal of Physical Chemistry A","1089-5639","1089-5639","1520-5215",NA,NA,TRUE,"32281376",NA,NA,NA,FALSE
"gu",2020,1955.32,"10.1116/6.0000340",TRUE,"American Vacuum Society","Biointerphases","1934-8630","1934-8630","1559-4106",NA,NA,TRUE,"32859133",NA,NA,NA,FALSE
"gu",2020,2400.55,"10.1186/s13008-020-00066-1",FALSE,"Springer","Cell Division","1747-1028",NA,"1747-1028",NA,"https://creativecommons.org/licenses/by/4.0",TRUE,"32612670","PMC7322915",NA,NA,TRUE
"gu",2020,1058.18,"10.3389/fgene.2020.00172",FALSE,"Frontiers","Frontiers in Genetics","1664-8021",NA,"1664-8021",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"32265978","PMC7096549",NA,NA,TRUE
"gu",2020,2034.6,"10.3389/fbioe.2020.00162",FALSE,"Frontiers","Frontiers in Bioengineering and Biotechnology","2296-4185",NA,"2296-4185",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"32195241","PMC7064641",NA,NA,TRUE
"gu",2020,2045.95,"10.3389/fmars.2019.00709",FALSE,"Frontiers","Frontiers in Marine Science","2296-7745",NA,"2296-7745",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"gu",2020,1557.02,"10.1002/lno.11420",TRUE,"Wiley","Limnology and Oceanography","0024-3590","0024-3590","1939-5590",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"gu",2020,2198.68,"10.1016/j.ibiod.2020.104913",TRUE,"Elsevier","International Biodeterioration & Biodegradation","0964-8305","0964-8305",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"gu",2020,778.65,"10.1016/j.envint.2020.105511",FALSE,"Elsevier","Environment International","0160-4120","0160-4120",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"32278193",NA,NA,NA,TRUE
"gu",2020,2839.96,"10.1016/j.marpolbul.2020.110962",TRUE,"Elsevier","Marine Pollution Bulletin","0025-326X","0025-326X",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"32469791",NA,NA,NA,FALSE
"gu",2020,1793.33,"10.1016/j.marpol.2020.104031",TRUE,"Elsevier","Marine Policy","0308-597X","0308-597X",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"gu",2020,1062.57,"10.1578/am.46.6.2020.603",TRUE,"Aquatic Mammals Journal","Aquatic Mammals","0167-5427","0167-5427",NA,NA,NA,TRUE,NA,NA,NA,NA,FALSE
"gu",2020,1842.65,"10.3389/fenvs.2020.00151",FALSE,"Frontiers","Frontiers in Environmental Science","2296-665X",NA,"2296-665X",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"gu",2020,2264.22,"10.3389/fmars.2020.575183",FALSE,"Frontiers","Frontiers in Marine Science","2296-7745",NA,"2296-7745",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"gu",2020,2158.81,"10.3389/fmars.2020.572680",FALSE,"Frontiers","Frontiers in Marine Science","2296-7745",NA,"2296-7745",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"gu",2020,2158.81,"10.3389/fmars.2020.590258",FALSE,"Frontiers","Frontiers in Marine Science","2296-7745",NA,"2296-7745",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"gu",2020,2440.33,"10.3389/fphys.2020.00001",FALSE,"Frontiers","Frontiers in Physiology","1664-042X",NA,"1664-042X",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"32038307","PMC6987452",NA,NA,TRUE
"gu",2020,1541.76,"10.3390/ijms21041264",FALSE,"MDPI","International Journal of Molecular Sciences","1422-0067",NA,"1422-0067",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"32070057","PMC7072945",NA,NA,TRUE
"gu",2020,0,"10.1080/26415275.2020.1714445",FALSE,"Taylor & Francis","Biomaterial Investigations in Dentistry","2641-5275",NA,"2641-5275",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"32083253","PMC7006738",NA,NA,TRUE
"gu",2020,821.58,"10.3390/sports8010002",FALSE,"MDPI","Sports","2075-4663",NA,"2075-4663",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"31881684","PMC7022577",NA,NA,TRUE
"gu",2020,3144,"10.1016/j.ijcard.2020.01.016",TRUE,"Elsevier","International Journal of Cardiology","0167-5273","0167-5273",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"31959410",NA,NA,NA,FALSE
"gu",2020,801.36,"10.26717/bjstr.2020.24.004114",FALSE,"Biomedical Research Network","Biomedical Journal of Scientific & Technical Research","2574-1241",NA,"2574-1241",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"gu",2020,1789.51,"10.1080/16549716.2020.1717409",FALSE,"Taylor & Francis","Global Health Action","1654-9716","1654-9716","1654-9880",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31983317","PMC7034491",NA,NA,TRUE
"gu",2020,1607.87,"10.1177/2333794x20908762",FALSE,"SAGE Publications","Global Pediatric Health","2333-794X","2333-794X","2333-794X",NA,"https://creativecommons.org/licenses/by-nc/4.0/",TRUE,"32284958","PMC7139177",NA,NA,TRUE
"gu",2020,1799.63,"10.2147/jmdh.s231442",FALSE,"Informa UK Limited","Journal of Multidisciplinary Healthcare","1178-2390",NA,"1178-2390",NA,"http://creativecommons.org/licenses/by-nc/3.0/",TRUE,"32431507","PMC7201006",NA,NA,TRUE
"gu",2020,1785.7,"10.3390/ijerph17093044",FALSE,"MDPI","International Journal of Environmental Research and Public Health","1660-4601",NA,"1660-4601",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"32349375","PMC7246493",NA,NA,TRUE
"gu",2020,2810.96,"10.1016/j.ijnurstu.2020.103634",TRUE,"Elsevier","International Journal of Nursing Studies","0020-7489","0020-7489",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"32531569",NA,NA,NA,FALSE
"gu",2020,1444.45,"10.1080/17482631.2020.1848025",FALSE,"Taylor & Francis","International Journal of Qualitative Studies on Health and Well-being","1748-2631",NA,"1748-2631",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"33256567","PMC7717870",NA,NA,TRUE
"gu",2020,1979.65,"10.1080/17482631.2019.1704484",FALSE,"Taylor & Francis","International Journal of Qualitative Studies on Health and Well-being","1748-2631",NA,"1748-2631",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31858891","PMC6968519",NA,NA,TRUE
"gu",2020,1330.73,"10.3390/antibiotics9030123",FALSE,"MDPI","Antibiotics","2079-6382",NA,"2079-6382",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"32183280","PMC7148499",NA,NA,TRUE
"gu",2020,1474.88,"10.1080/16549716.2020.1715324",FALSE,"Taylor & Francis","Global Health Action","1654-9716","1654-9716","1654-9880",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31996102","PMC7034485",NA,NA,TRUE
"gu",2020,1307.36,"10.1080/2162402x.2019.1684126",FALSE,"Taylor & Francis","OncoImmunology","2162-402X",NA,"2162-402X",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"32002296","PMC6959433",NA,NA,TRUE
"gu",2020,3192.94,"10.1016/j.envpol.2020.114200",FALSE,"Elsevier","Environmental Pollution","0269-7491","0269-7491",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"32220750",NA,NA,NA,FALSE
"gu",2020,2508.83,"10.3389/fcimb.2020.00222",FALSE,"Frontiers","Frontiers in Cellular and Infection Microbiology","2235-2988",NA,"2235-2988",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"32509595","PMC7248185",NA,NA,TRUE
"gu",2020,1466.97,"10.3390/microorganisms8060893",FALSE,"MDPI","Microorganisms","2076-2607",NA,"2076-2607",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"32545759","PMC7355845",NA,NA,TRUE
"gu",2020,2264.22,"10.3389/fimmu.2020.581301",FALSE,"Frontiers","Frontiers in Immunology","1664-3224",NA,"1664-3224",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"33193386","PMC7606378",NA,NA,TRUE
