"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"gu",2017,1700,"10.1155/2017/1809592",FALSE,"Hindawi Publishing Corporation","Oxidative Medicine and Cellular Longevity","1942-0900","1942-0900","1942-0994",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"28194255","PMC5286466",NA,NA,TRUE
"gu",2017,1063,"10.1155/2017/4262053",FALSE,"Hindawi Publishing Corporation","International Journal of Dentistry","1687-8728","1687-8728","1687-8736",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"28912812","PMC5585662",NA,NA,TRUE
"gu",2017,0,"10.1155/2017/6925215",FALSE,"Hindawi Publishing Corporation","Advances in Materials Science and Engineering","1687-8434","1687-8434","1687-8442",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"gu",2017,1276,"10.1177/2041731417738145",FALSE,"SAGE Publications","Journal of Tissue Engineering","2041-7314","2041-7314","2041-7314",NA,"http://journals.sagepub.com/page/policies/text-and-data-mining-license",TRUE,"29118967","PMC5669317",NA,NA,TRUE
"gu",2017,0,"10.1177/2056305117696522",FALSE,"SAGE Publications","Social Media + Society","2056-3051","2056-3051","2056-3051",NA,"http://journals.sagepub.com/page/policies/text-and-data-mining-license",TRUE,NA,NA,NA,NA,TRUE
"gu",2017,1760,"10.1177/1474515117715843",TRUE,"SAGE Publications","European Journal of Cardiovascular Nursing","1474-5151","1474-5151","1873-1953",NA,"http://journals.sagepub.com/page/policies/text-and-data-mining-license",TRUE,"28639841","PMC5751854",NA,NA,FALSE
"gu",2017,0,"10.1177/1455072517707887",FALSE,"SAGE Publications","Nordic Studies on Alcohol and Drugs","1455-0725","1455-0725","1458-6126",NA,"http://journals.sagepub.com/page/policies/text-and-data-mining-license",TRUE,NA,NA,NA,NA,TRUE
"gu",2017,0,"10.1177/2053168016686915",FALSE,"SAGE Publications","Research & Politics","2053-1680","2053-1680","2053-1680",NA,"http://journals.sagepub.com/page/policies/text-and-data-mining-license",TRUE,NA,NA,NA,NA,TRUE
"gu",2017,2565,"10.1177/2325957417729752",TRUE,"SAGE Publications","Journal of the International Association of Providers of AIDS Care (JIAPAC)","2325-9582","2325-9582","2325-9582",NA,"http://journals.sagepub.com/page/policies/text-and-data-mining-license",TRUE,"28874069",NA,NA,NA,TRUE
"gu",2017,1822,"10.1177/1363460717715032",FALSE,"SAGE Publications","Sexualities","1363-4607","1363-4607","1461-7382",NA,"http://journals.sagepub.com/page/policies/text-and-data-mining-license",TRUE,NA,NA,NA,NA,FALSE
