institution,period,sek,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url
gu,2021,14203,10.3389/fbuil.2021.688836,FALSE,Frontiers,,,,,
gu,2021,14066,10.3389/fcell.2021.671780,FALSE,Frontiers,,,,,
gu,2021,21739,10.3389/fcimb.2020.620681,FALSE,Frontiers,,,,,
gu,2021,22626,10.3389/fendo.2021.737893,FALSE,Frontiers,,,,,
gu,2021,24171,10.3389/fendo.2021.760541,FALSE,Frontiers,,,,,
gu,2021,19176,10.3389/fenvs.2021.680430,FALSE,Frontiers,,,,,
gu,2021,6170,10.3389/fevo.2021.652492,FALSE,Frontiers,,,,,
gu,2021,8886,10.3389/ffgc.2021.710574,FALSE,Frontiers,,,,,
gu,2021,21739,10.3389/fimmu.2020.569883,FALSE,Frontiers,,,,,
gu,2021,22615,10.3389/fimmu.2021.604812,FALSE,Frontiers,,,,,
gu,2021,22615,10.3389/fimmu.2021.647873,FALSE,Frontiers,,,,,
gu,2021,22429,10.3389/fimmu.2021.654872,FALSE,Frontiers,,,,,
gu,2021,22718,10.3389/fimmu.2021.714821,FALSE,Frontiers,,,,,
gu,2021,22626,10.3389/fimmu.2021.750448,FALSE,Frontiers,,,,,
gu,2021,24171,10.3389/fimmu.2021.768198,FALSE,Frontiers,,,,,
gu,2021,24171,10.3389/fimmu.2021.796072,FALSE,Frontiers,,,,,
gu,2021,21739,10.3389/fmars.2020.578178,FALSE,Frontiers,,,,,
gu,2021,22052,10.3389/fmars.2021.688406,FALSE,Frontiers,,,,,
gu,2021,22796,10.3389/fmars.2021.697430,FALSE,Frontiers,,,,,
gu,2021,18349,10.3389/fmed.2020.594622,FALSE,Frontiers,,,,,
gu,2021,22718,10.3389/fmed.2021.723914,FALSE,Frontiers,,,,,
gu,2021,22429,10.3389/fmicb.2021.672910,FALSE,Frontiers,,,,,
gu,2021,25328,10.3389/fmicb.2021.704802,FALSE,Frontiers,,,,,
gu,2021,23245,10.3389/fmolb.2021.755577,FALSE,Frontiers,,,,,
gu,2021,22626,10.3389/fncel.2021.743093,FALSE,Frontiers,,,,,
gu,2021,21739,10.3389/fneur.2020.617740,FALSE,Frontiers,,,,,
gu,2021,22753,10.3389/fneur.2021.649749,FALSE,Frontiers,,,,,
gu,2021,23245,10.3389/fneur.2021.732939,FALSE,Frontiers,,,,,
gu,2021,22626,10.3389/fneur.2021.736684,FALSE,Frontiers,,,,,
gu,2021,23245,10.3389/fneur.2021.755790,FALSE,Frontiers,,,,,
gu,2021,22626,10.3389/fnhum.2021.742105,FALSE,Frontiers,,,,,
gu,2021,22231,10.3389/fnins.2021.633018,FALSE,Frontiers,,,,,
gu,2021,24171,10.3389/fnins.2021.774050,FALSE,Frontiers,,,,,
gu,2021,18765,10.3389/fnut.2021.617344,FALSE,Frontiers,,,,,
gu,2021,20402,10.3389/fnut.2021.756485,FALSE,Frontiers,,,,,
gu,2021,22718,10.3389/fonc.2021.748229,FALSE,Frontiers,,,,,
gu,2021,24171,10.3389/fonc.2021.792878,FALSE,Frontiers,,,,,
gu,2021,22429,10.3389/fped.2021.675775,FALSE,Frontiers,,,,,
gu,2021,24171,10.3389/fped.2021.780680,FALSE,Frontiers,,,,,
gu,2021,21739,10.3389/fphar.2020.629026,FALSE,Frontiers,,,,,
gu,2021,22753,10.3389/fphar.2021.650298,FALSE,Frontiers,,,,,
gu,2021,13829,10.3389/fphys.2021.686251,FALSE,Frontiers,,,,,
gu,2021,22615,10.3389/fpls.2021.642199,FALSE,Frontiers,,,,,
gu,2021,22052,10.3389/fpls.2021.683690,FALSE,Frontiers,,,,,
gu,2021,7341,10.3389/fpos.2021.711185,FALSE,Frontiers,,,,,
gu,2021,7784,10.3389/fpos.2021.739616,FALSE,Frontiers,,,,,
gu,2021,22629,10.3389/fpsyg.2020.606218,FALSE,,,,,,
gu,2021,22231,10.3389/fpsyg.2021.625996,FALSE,Frontiers,,,,,
gu,2021,22429,10.3389/fpsyg.2021.654615,FALSE,Frontiers,,,,,
gu,2021,23245,10.3389/fpsyg.2021.723027,FALSE,Frontiers,,,,,
gu,2021,23245,10.3389/fpsyg.2021.739764,FALSE,Frontiers,,,,,
gu,2021,24171,10.3389/fpsyg.2021.752707,FALSE,Frontiers,,,,,
gu,2021,13829,10.3389/fpsyt.2021.647450,FALSE,Frontiers,,,,,
gu,2021,22429,10.3389/fpsyt.2021.673089,FALSE,Frontiers,,,,,
gu,2021,22718,10.3389/fpsyt.2021.705090,FALSE,Frontiers,,,,,
gu,2021,22626,10.3389/fpsyt.2021.767075,FALSE,Frontiers,,,,,
gu,2021,22626,10.3389/fpsyt.2021.770955,FALSE,Frontiers,,,,,
gu,2021,19008,10.3389/fpubh.2021.599921,FALSE,Frontiers,,,,,
gu,2021,18765,10.3389/fpubh.2021.611559,FALSE,Frontiers,,,,,
gu,2021,23245,10.3389/fpubh.2021.713711,FALSE,Frontiers,,,,,
gu,2021,22626,10.3389/fpubh.2021.765261,FALSE,Frontiers,,,,,
gu,2021,15568,10.3389/fragi.2021.724794,FALSE,Frontiers,,,,,
gu,2021,9422,10.3389/frai.2021.767971,FALSE,Frontiers,,,,,
gu,2021,7101,10.3389/fsoc.2021.654909,FALSE,Frontiers,,,,,
gu,2021,5735,10.3389/fsoc.2021.781057,FALSE,Frontiers,,,,,
gu,2021,8869,10.3389/fspas.2021.641067,FALSE,Frontiers,,,,,
gu,2021,9061,10.3389/fspas.2021.738264,FALSE,Frontiers,,,,,
gu,2021,14682,10.3389/fspor.2021.688383,FALSE,Frontiers,,,,,
