institution	period	euro	doi	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	url
gu	2016	0	10.1186/s12884-016-1127-1	FALSE						
gu	2016	0	10.1186/s12884-016-1178-3	FALSE						
gu	2016	0	10.1186/s40176-016-0061-3	FALSE						
gu	2016	0	10.1186/s40536-016-0020-8	FALSE						
gu	2016	0	10.1186/s40536-016-0027-1	FALSE						
gu	2016	1044	10.1186/s40658-016-0137-4	FALSE						
gu	2016	1307	10.1186/s12987-016-0037-y	FALSE						
gu	2016	1345.5	10.1371/journal.pone.0145890	FALSE						
gu	2016	1345.5	10.1371/journal.pone.0147152	FALSE						
gu	2016	1345.5	10.1371/journal.pone.0149456	FALSE						
gu	2016	1345.5	10.1371/journal.pone.0152198	FALSE						
gu	2016	1345.5	10.1371/journal.pone.0153888	FALSE						
gu	2016	1345.5	10.1371/journal.pone.0155164	FALSE						
gu	2016	1345.5	10.1371/journal.pone.0157160	FALSE						
gu	2016	1345.5	10.1371/journal.pone.0157504	FALSE						
gu	2016	1345.5	10.1371/journal.pone.0158973	FALSE						
gu	2016	1345.5	10.1371/journal.pone.0159105	FALSE						
gu	2016	1345.5	10.1371/journal.pone.0165914	FALSE						
gu	2016	1345.5	10.1371/journal.pone.0167800	FALSE						
gu	2016	1345.5	10.1371/journal.pone.0167965	FALSE						
gu	2016	1482	10.1186/s12859-016-1144-0	FALSE						
gu	2016	1482	10.1186/s12874-016-0167-6	FALSE						
gu	2016	1482	10.1186/s12879-016-1628-6	FALSE						
gu	2016	1482	10.1186/s12884-016-0969-x	FALSE						
gu	2016	1482	10.1186/s12885-016-2196-2	FALSE						
gu	2016	1482	10.1186/s12890-016-0306-1	FALSE						
gu	2016	1482	10.1186/s12891-016-0911-4	FALSE						
gu	2016	1482	10.1186/s12891-016-0960-8	FALSE						
gu	2016	1482	10.1186/s12891-016-1112-x	FALSE						
gu	2016	1482	10.1186/s12891-016-1154-0	FALSE						
gu	2016	1482	10.1186/s12891-016-1262-x	FALSE						
gu	2016	1482	10.1186/s12891-016-1315-1	FALSE						
gu	2016	1482	10.1186/s12891-016-1354-7	FALSE						
gu	2016	1482	10.1186/s12894-016-0168-0	FALSE						
gu	2016	1482	10.1186/s12898-016-0067-y	FALSE						
gu	2016	1482	10.1186/s12944-016-0342-0	FALSE						
gu	2016	1482	10.1186/s12947-016-0091-2	FALSE						
gu	2016	1482	10.1186/s40795-016-0094-2	FALSE						
gu	2016	1503	10.1186/s13195-016-0208-8	FALSE						
gu	2016	1692	10.1186/s40168-016-0199-5	FALSE						
gu	2016	1743	10.1186/s12884-016-0836-9	FALSE						
gu	2016	1743	10.1186/s13102-016-0054-9	FALSE						
gu	2016	1743	10.1186/s40842-016-0026-8	FALSE						
gu	2016	1801	10.1186/s13054-015-1181-5	FALSE						
gu	2016	1801	10.1186/s13075-016-0917-1	FALSE						
gu	2016	1893	10.1186/s13075-016-1062-6	FALSE						
gu	2016	1893	10.1186/s13075-016-1073-3	FALSE						
gu	2016	2025	10.1371/journal.pgen.1006000	FALSE						
gu	2016	2025	10.1371/journal.pntd.0004312	FALSE						
gu	2016	2610	10.1371/journal.pmed.1002156	FALSE						
gu	2016	752	10.1186/s40064-016-2015-x	FALSE						
gu	2017	1345.5	10.1371/journal.pone.0169759	FALSE						
gu	2017	1345.5	10.1371/journal.pone.0170613	FALSE						
gu	2017	1345.5	10.1371/journal.pone.0170754	FALSE						
gu	2017	1345.5	10.1371/journal.pone.0171222	FALSE						
gu	2017	1345.5	10.1371/journal.pone.0171461	FALSE						
gu	2017	1345.5	10.1371/journal.pone.0171797	FALSE						
gu	2017	1345.5	10.1371/journal.pone.0172896	FALSE						
gu	2017	1345.5	10.1371/journal.pone.0173463	FALSE						
gu	2017	1345.5	10.1371/journal.pone.0173492	FALSE						
gu	2017	1345.5	10.1371/journal.pone.0173654	FALSE						
gu	2017	2025	10.1371/journal.pgen.1006628	FALSE						
gu	2017	2500	10.1111/joim.12587	TRUE						
