institution	period	euro	doi	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	url
gu	2017	2500	10.1002/jbmr.3123	TRUE						
gu	2017	1794	10.1016/j.adro.2017.05.002	FALSE						
gu	2017	2332	10.1016/j.bbr.2017.02.037	TRUE						
gu	2017	673	10.1016/j.bbrep.2017.02.011	FALSE						
gu	2017	2255	10.1016/j.cardfail.2016.12.011	TRUE						
gu	2017	2243	10.1016/j.cardfail.2017.05.005	TRUE						
gu	2017	1346	10.1016/j.crm.2017.01.003	FALSE						
gu	2017	1794	10.1016/j.dadm.2017.04.006	TRUE						
gu	2017	451	10.1016/j.dib.2016.12.010	FALSE						
gu	2017	449	10.1016/j.dib.2017.04.054	FALSE						
gu	2017	2691	10.1016/j.ebiom.2017.03.023	FALSE						
gu	2017	920	10.1016/j.econlet.2017.01.002	TRUE						
gu	2017	449	10.1016/j.ejvssr.2017.03.001	FALSE						
gu	2017	2871	10.1016/j.envres.2017.05.036	TRUE						
gu	2017	2706	10.1016/j.healthpol.2016.12.010	TRUE						
gu	2017	2960	10.1016/j.ijcard.2017.05.013	TRUE						
gu	2017	3202	10.1016/j.jaut.2016.12.009	TRUE						
gu	2017	1804	10.1016/j.molmet.2016.12.001	FALSE						
gu	2017	2332	10.1016/j.physbeh.2017.02.011	TRUE						
gu	2017	2691	10.1016/j.resp.2017.05.003	TRUE						
gu	2017	1346	10.1016/j.ufug.2017.05.011	TRUE						
gu	2017	1305	10.1038/srep45778	FALSE						
gu	2017	2800	10.1038/tp.2017.70	FALSE						
gu	2017	2150	10.1080/2158379x.2017.1286084	TRUE						
gu	2017	2150	10.1080/21681805.2017.1326523	TRUE						
gu	2017	1133	10.1080/23311886.2017.1309108	FALSE						
gu	2017	800	10.1093/jhps/hnx016	FALSE						
gu	2017	1519	10.1103/physrevfluids.2.063301	TRUE						
gu	2017	1562	10.1111/jeb.13124	TRUE						
gu	2017	2532	10.1111/nph.14629	TRUE						
gu	2017	1013	10.1155/2017/7560141	FALSE						
gu	2017	1055	10.1155/2017/9618306	FALSE						
gu	2017	352	10.1177/2158244017706596	FALSE						
gu	2017	884	10.1177/2325967117711890	TRUE						
gu	2017	1874	10.1186/s12866-016-0922-1	FALSE						
gu	2017	1872	10.1186/s12866-017-0967-9	FALSE						
gu	2017	1548	10.1186/s12868-016-0332-1	FALSE						
gu	2017	1499	10.1186/s12879-016-2149-z	FALSE						
gu	2017	1493	10.1186/s12884-017-1363-z	FALSE						
gu	2017	2105	10.1186/s12889-017-4222-y	FALSE						
gu	2017	1458	10.1186/s12889-017-4388-3	FALSE						
gu	2017	1941	10.1186/s12902-017-0191-5	FALSE						
gu	2017	1493	10.1186/s12913-017-2192-5	FALSE						
gu	2017	1749	10.1186/s12931-017-0607-9	FALSE						
gu	2017	1497	10.1186/s12943-017-0642-7	FALSE						
gu	2017	1793	10.1186/s12966-017-0464-4	FALSE						
gu	2017	1677	10.1186/s13023-017-0584-6	FALSE						
gu	2017	1896	10.1186/s13054-017-1675-4	FALSE						
gu	2017	1898	10.1186/s13075-017-1223-2	FALSE						
gu	2017	1898	10.1186/s13075-017-1224-1	FALSE						
gu	2017	1604	10.1186/s13089-017-0066-z	FALSE						
gu	2017	1702	10.1186/s13148-017-0333-7	FALSE						
gu	2017	1715	10.1186/s13229-017-0120-5	FALSE						
gu	2017	833	10.1186/s13362-017-0036-x	FALSE						
gu	2017	1611	10.1186/s13550-016-0247-y	FALSE						
gu	2017	1899	10.1371/journal.pgen.1006506	FALSE						
gu	2017	1899	10.1371/journal.pgen.1006617	FALSE						
gu	2017	1899	10.1371/journal.pgen.1006773	FALSE						
gu	2017	1899	10.1371/journal.pntd.0005044	FALSE						
gu	2017	1139	10.1371/journal.pone.0147082	FALSE						
gu	2017	1262	10.1371/journal.pone.0174974	FALSE						
gu	2017	1262	10.1371/journal.pone.0175190	FALSE						
gu	2017	1262	10.1371/journal.pone.0175638	FALSE						
gu	2017	1262	10.1371/journal.pone.0175737	FALSE						
gu	2017	1262	10.1371/journal.pone.0176795	FALSE						
gu	2017	1262	10.1371/journal.pone.0177714	FALSE						
gu	2017	1262	10.1371/journal.pone.0178877	FALSE						
gu	2017	1262	10.1371/journal.pone.0179658	FALSE						
gu	2017	785	10.3390/ijms18020309	FALSE						
gu	2017	1410	10.3390/rs9050422	FALSE						
gu	2017	1371	10.3390/su9050679	FALSE						
gu	2017	1469	10.3389/fgene.2017.00001	FALSE						
gu	2017	1469	10.3389/fmars.2017.00027	FALSE						
gu	2017	2174	10.3389/fpsyg.2017.00377	FALSE						
gu	2017	2592	10.18632/oncotarget.14826	FALSE						
gu	2017	1055	10.1155/2017/5974590	FALSE						
gu	2017	1188	10.2340/00015555-2598	FALSE						
gu	2017	2093	10.2147/ndt.s132546	FALSE						
gu	2017	906	10.1021/acsomega.7b00010	FALSE						
gu	2017	906	10.1021/acsomega.6b00467	FALSE						
gu	2017	1537	10.1136/bmjopen-2016-014783	FALSE						
gu	2017	3950	10.1530/joe-17-0018	TRUE						
gu	2017	3095	10.1200/jco.2017.72.7263	TRUE						
gu	2017	1303	10.1021/acs.biochem.7b00429	TRUE						
gu	2017	373	10.3897/bdj.5.e12731	FALSE						
gu	2017	1559	10.1186/s12912-017-0206-6	FALSE						
gu	2017	1398	10.1038/srep39097	FALSE						
gu	2017	1165	10.1038/srep40726	FALSE						
gu	2017	4743	10.15252/embr.201643458	TRUE						
gu	2017	3325	10.1111/dme.13292	TRUE						
gu	2017	2523	10.1002/jbmr.3057	TRUE						
gu	2017	3406	10.1111/bcp.13206	TRUE						
gu	2017	2523	10.1002/jbmr.3088	TRUE						
gu	2017	1657	10.1002/brb3.716	FALSE						
gu	2017	3448	10.1002/aur.1777	TRUE						
gu	2017	1235	10.1002/ece3.2712	FALSE						
gu	2017	1216	10.14814/phy2.13334	FALSE						
gu	2017	2730	10.1111/cpf.12323	TRUE						
gu	2017	3974	10.1111/mec.14207	TRUE						
gu	2017	2523	10.1111/eos.12364	TRUE						
gu	2017	3280	10.1111/trf.14204	TRUE						
gu	2017	3461	10.1002/pds.4281	TRUE						
gu	2017	2522	10.1111/1365-2745.12753	TRUE						
gu	2017	1330	10.2340/00015555-2758	FALSE						
gu	2017	582	10.2340/00015555-2857	FALSE						
gu	2017	1334	10.1186/s12913-017-2470-2	FALSE						
gu	2017	1616	10.1186/s12883-017-0877-3	FALSE						
gu	2017	1343	10.1186/s13195-017-0313-3	FALSE						
gu	2017	841	10.1007/s13244-017-0583-0	FALSE						
gu	2017	735	10.1186/s13256-017-1365-5	FALSE						
gu	2017	2093	10.2147/cia.s143994	FALSE						
gu	2017	2960	10.1016/j.ijcard.2017.08.069	TRUE						
gu	2017	1973	10.1016/j.bbrc.2017.08.113	TRUE						
gu	2017	2512	10.1016/j.neuropharm.2017.10.002	TRUE						
gu	2017	1247	10.1016/j.ejro.2017.10.001	FALSE						
gu	2017	2781	10.1016/j.envsoft.2017.09.020	TRUE						
gu	2017	2871	10.1016/j.jenvman.2017.09.071	TRUE						
gu	2017	453	10.1016/j.bonr.2016.03.002	FALSE						
gu	2017	1710	10.3389/fimmu.2017.01133	FALSE						
gu	2017	1731	10.3389/fimmu.2017.01370	FALSE						
gu	2017	1771	10.3389/fimmu.2017.01945	FALSE						
gu	2017	2164	10.3389/fpsyg.2017.01154	FALSE						
gu	2017	1554	10.3389/fgene.2017.00161	FALSE						
gu	2017	627	10.1155/2018/2379536	FALSE						
gu	2017	1408	10.3390/ijerph14080839	FALSE						
gu	2017	1337	10.3390/ijerph14080899	FALSE						
gu	2017	715	10.3390/cancers9110149	FALSE						
gu	2017	1188	10.3390/nu8100655	FALSE						
gu	2017	2275	10.1093/femsre/fux053	TRUE						
gu	2017	1251	10.1371/journal.pone.0190171	FALSE						
gu	2017	1222	10.1371/journal.pone.0186388	FALSE						
gu	2017	1222	10.1371/journal.pone.0186178	FALSE						
gu	2017	1299	10.1371/journal.pone.0181192	FALSE						
gu	2017	1252	10.1371/journal.pone.0189141	FALSE						
gu	2017	404	10.1177/0046958017727107	FALSE						
gu	2017	1315	10.1080/17482631.2017.1337459	FALSE						
gu	2017	1508	10.1136/bmjopen-2017-016369	FALSE						
gu	2017	3059	10.1111/bjh.14772	TRUE						
gu	2017	3137	10.1242/dev.146829	TRUE						
gu	2017	1618	10.1186/s12888-017-1332-0	FALSE						
gu	2017	2990	10.1038/leu.2017.151	TRUE						
gu	2017	2198	10.1159/000477341	TRUE						
gu	2017	3139	10.1016/j.ijpharm.2017.06.011	TRUE						
gu	2017	1265	10.1021/acs.jnatprod.7b00255	TRUE						
gu	2017	1510	10.2147/copd.s136308	FALSE						
gu	2017	759	10.1149/2.0731709jes	TRUE						
gu	2017	3700	10.1038/s41467-017-00300-5	FALSE						
gu	2017	1931	10.1017/neu.2017.23	TRUE						
gu	2017	1223	10.1525/elementa.148	FALSE						
gu	2017	270	10.11646/phytotaxa.311.3.10	TRUE						
gu	2017	3000	10.1002/chem.201701589	TRUE						
gu	2017	1261	10.1371/journal.pone.0177738	FALSE						
gu	2017	1703	10.2147/ndt.s143234	FALSE						
gu	2017	1225	10.1371/journal.pone.0181084	FALSE						
gu	2017	1225	10.1371/journal.pone.0179657	FALSE						
