"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"gu",2017,2500,"10.1002/jbmr.3123",TRUE,"Wiley-Blackwell","Journal of Bone and Mineral Research","0884-0431",NA,NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28276592",NA,NA,NA,FALSE
"gu",2017,1794,"10.1016/j.adro.2017.05.002",FALSE,"Elsevier BV","Advances in Radiation Oncology","2452-1094","2452-1094",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"29114602","PMC5605311",NA,NA,TRUE
"gu",2017,2332,"10.1016/j.bbr.2017.02.037",TRUE,"Elsevier BV","Behavioural Brain Research","0166-4328","0166-4328",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28389340",NA,NA,NA,FALSE
"gu",2017,673,"10.1016/j.bbrep.2017.02.011",FALSE,"Elsevier BV","Biochemistry and Biophysics Reports","2405-5808","2405-5808",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28955737","PMC5614655",NA,NA,TRUE
"gu",2017,2255,"10.1016/j.cardfail.2016.12.011",TRUE,"Elsevier BV","Journal of Cardiac Failure","1071-9164","1071-9164",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28069474",NA,NA,NA,FALSE
"gu",2017,2243,"10.1016/j.cardfail.2017.05.005",TRUE,"Elsevier BV","Journal of Cardiac Failure","1071-9164","1071-9164",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28506731",NA,NA,NA,FALSE
"gu",2017,1346,"10.1016/j.crm.2017.01.003",FALSE,"Elsevier BV","Climate Risk Management","2212-0963","2212-0963",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,TRUE
"gu",2017,1794,"10.1016/j.dadm.2017.04.006",TRUE,"Elsevier BV","Alzheimer's & Dementia: Diagnosis, Assessment & Disease Monitoring","2352-8729","2352-8729",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28560310","PMC5443895",NA,NA,FALSE
"gu",2017,451,"10.1016/j.dib.2016.12.010",FALSE,"Elsevier BV","Data in Brief","2352-3409","2352-3409",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"28018948","PMC5167239",NA,NA,TRUE
"gu",2017,449,"10.1016/j.dib.2017.04.054",FALSE,"Elsevier BV","Data in Brief","2352-3409","2352-3409",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"28580406","PMC5447383",NA,NA,TRUE
"gu",2017,2691,"10.1016/j.ebiom.2017.03.023",FALSE,"Elsevier BV","EBioMedicine","2352-3964","2352-3964",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28336389","PMC5405166",NA,NA,TRUE
"gu",2017,920,"10.1016/j.econlet.2017.01.002",TRUE,"Elsevier BV","Economics Letters","0165-1765","0165-1765",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"gu",2017,449,"10.1016/j.ejvssr.2017.03.001",FALSE,"Elsevier BV","EJVES Short Reports","2405-6553","2405-6553",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28856332","PMC5576227",NA,NA,TRUE
"gu",2017,2871,"10.1016/j.envres.2017.05.036",TRUE,"Elsevier BV","Environmental Research","0013-9351","0013-9351",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28600978",NA,NA,NA,FALSE
"gu",2017,2706,"10.1016/j.healthpol.2016.12.010",TRUE,"Elsevier BV","Health Policy","0168-8510","0168-8510",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28094050",NA,NA,NA,FALSE
"gu",2017,2960,"10.1016/j.ijcard.2017.05.013",TRUE,"Elsevier BV","International Journal of Cardiology","0167-5273","0167-5273",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28784449",NA,NA,NA,FALSE
"gu",2017,3202,"10.1016/j.jaut.2016.12.009",TRUE,"Elsevier BV","Journal of Autoimmunity","0896-8411","0896-8411",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28082047",NA,NA,NA,FALSE
"gu",2017,1804,"10.1016/j.molmet.2016.12.001",FALSE,"Elsevier BV","Molecular Metabolism","2212-8778","2212-8778",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28180059","PMC5279903",NA,NA,TRUE
"gu",2017,2332,"10.1016/j.physbeh.2017.02.011",TRUE,"Elsevier BV","Physiology & Behavior","0031-9384","0031-9384",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28213203",NA,NA,NA,FALSE
"gu",2017,2691,"10.1016/j.resp.2017.05.003",TRUE,"Elsevier BV","Respiratory Physiology & Neurobiology","1569-9048","1569-9048",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28502893",NA,NA,NA,FALSE
