institution	period	euro	doi	is_hybrid	publisher
hb	2018	1456	10.1002/mbo3.627	FALSE	Wiley
hb	2018	1212	10.1186/s40694-018-0050-9	FALSE	BioMed Central
hb	2018	1364	10.15376/biores.13.3.4986-4997	FALSE	North Carolina State University
hb	2018	2500	10.1002/asi.24043	TRUE	Wiley
hb	2018	1800	10.1186/s12896-018-0444-z	FALSE	BioMed Central
hb	2018	2603	10.1111/scs.12607	TRUE	Wiley
hb	2018	855	10.3390/ma11081341	FALSE	MDPI
hb	2018	442	10.1039/c8ra05856c	FALSE	Royal Society of Chemistry (RSC)
hb	2018	1249	10.3390/su10093296	FALSE	MDPI
hb	2018	1831	10.1155/2018/6235165	FALSE	Hindawi Publishing Corporation
hb	2018	531	10.4172/2165-7866.1000242	FALSE	Longdom Publishing
hb	2018	950	10.1016/j.jretconser.2018.11.006	TRUE	Elsevier
hb	2018	1365	10.15376/biores.14.1.464-485	FALSE	North Carolina State University
hb	2018	1370	10.1186/s12872-018-0957-3	FALSE	Springer
hb	2018	1995	10.1186/s41077-019-0090-0	FALSE	Springer
hb	2018	1104	10.1016/j.heliyon.2018.e00893	FALSE	Elsevier
hb	2018	1384	10.3390/molecules23123380	FALSE	MDPI
hb	2018	1203	10.1002/nop2.275	FALSE	Wiley
hb	2018	1945	10.1186/s13049-018-0579-x	FALSE	BioMed Central
