"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"hb",2018,1456,"10.1002/mbo3.627",FALSE,"Wiley","MicrobiologyOpen","2045-8827",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"29633573","PMC6079171",NA,NA,TRUE
"hb",2018,1212,"10.1186/s40694-018-0050-9",FALSE,"BioMed Central","Fungal Biology and Biotechnology","2054-3085",NA,"2054-3085",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"29619233","PMC5880086",NA,NA,TRUE
"hb",2018,1364,"10.15376/biores.13.3.4986-4997",FALSE,"North Carolina State University",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"hb",2018,2500,"10.1002/asi.24043",TRUE,"Wiley","Journal of the Association for Information Science and Technology","2330-1635",NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,NA,NA,FALSE
"hb",2018,1800,"10.1186/s12896-018-0444-z",FALSE,"BioMed Central","BMC Biotechnology","1472-6750",NA,"1472-6750",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"30119626","PMC6098641",NA,NA,TRUE
"hb",2018,2603,"10.1111/scs.12607",TRUE,"Wiley","Scandinavian Journal of Caring Sciences","0283-9318","0283-9318","1471-6712",NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"30252151",NA,NA,NA,FALSE
"hb",2018,855,"10.3390/ma11081341",FALSE,"MDPI","Materials","1996-1944",NA,"1996-1944",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"30072666","PMC6119998",NA,NA,TRUE
"hb",2018,442,"10.1039/c8ra05856c",FALSE,"Royal Society of Chemistry (RSC)","RSC Advances","2046-2069",NA,"2046-2069",NA,"http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"hb",2018,1249,"10.3390/su10093296",FALSE,"MDPI","Sustainability","2071-1050",NA,"2071-1050",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"hb",2018,1831,"10.1155/2018/6235165",FALSE,"Hindawi Publishing Corporation","International Journal of Polymer Science","1687-9422","1687-9422","1687-9430",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"hb",2018,531,"10.4172/2165-7866.1000242",FALSE,"Longdom Publishing","Journal of Information Technology & Software Engineering","2165-7866",NA,"2165-7866",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"hb",2018,950,"10.1016/j.jretconser.2018.11.006",TRUE,"Elsevier","Journal of Retailing and Consumer Services","0969-6989","0969-6989",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"hb",2018,1365,"10.15376/biores.14.1.464-485",FALSE,"North Carolina State University",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"hb",2018,1370,"10.1186/s12872-018-0957-3",FALSE,"Springer Nature","BMC Cardiovascular Disorders","1471-2261",NA,"1471-2261",NA,NA,TRUE,"30486789","PMC6260754",NA,NA,TRUE
"hb",2018,1995,"10.1186/s41077-019-0090-0",FALSE,"Springer","Advances in Simulation","2059-0628",NA,"2059-0628",NA,NA,TRUE,"30783539","PMC6375122",NA,NA,TRUE
"hb",2018,1104,"10.1016/j.heliyon.2018.e00893",FALSE,"Elsevier","Heliyon","2405-8440","2405-8440",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"30426099","PMC6222077",NA,NA,TRUE
"hb",2018,1384,"10.3390/molecules23123380",FALSE,"MDPI","Molecules","1420-3049",NA,"1420-3049",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"30572677","PMC6320847",NA,NA,TRUE
"hb",2018,1203,"10.1002/nop2.275",FALSE,"Wiley","Nursing Open","2054-1058","2054-1058","2054-1058",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31367394","PMC6650661",NA,NA,TRUE
"hb",2018,1945,"10.1186/s13049-018-0579-x",FALSE,"BioMed Central","Scandinavian Journal of Trauma, Resuscitation and Emergency Medicine","1757-7241",NA,"1757-7241",NA,NA,TRUE,"30587210","PMC6307253",NA,NA,TRUE
