institution,period,euro,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url
hh,2020,467,10.3390/e23050529,FALSE,MDPI,Entropy,,1099-4300,1099-4300,
hh,2020,408.6,10.4236/ce.2020.1112206,FALSE,Scientific Research Publishing,Creative Education,,2151-4755,2151-4771,
hh,2020,940,10.3390/cryptography4010005,FALSE,MDPI,Cryptography,,,2410-387X,
hh,2020,1419,10.3390/en13071846,FALSE,MDPI,Energies,,1996-1073,1996-1073,
hh,2020,792.2,10.3389/fsoc.2020.563204,FALSE,Frontiers Media S.A.,Frontiers in Sociology,,,2297-7775,
hh,2020,2760,10.1016/j.energy.2019.116727,TRUE,Elsevier,Energy,,0360-5442,1873-6785,
hh,2020,1575.72,10.3390/app10227995,FALSE,MDPI,Applied Sciences,,,2076-3417,
hh,2020,2303.91,10.2196/17201,FALSE,"J M I R Publications, Inc.",Journal of Medical Internet Research,,1438-8871,1438-8871,
hh,2020,2309.06,10.2196/17673,FALSE,"J M I R Publications, Inc.",Journal of Medical Internet Research,,1438-8871,1438-8871,
hh,2020,2930,10.1016/j.scitotenv.2020.137002,TRUE,Elsevier,Science of the Total Environment,,0048-9697,1879-1026,
hh,2020,834,10.3390/sports8110146,FALSE,MDPI,Sports,,,2075-4663,
hh,2020,2670,10.1016/j.ijmedinf.2020.104092,TRUE,Elsevier,International Journal of Medical Informatics,,1386-5056,1872-8243,
hh,2020,1454.66,10.1109/ACCESS.2020.3001062,FALSE,IEEE,IEEE Access,,,2169-3536,
hh,2020,958,10.3390/app10010069,FALSE,MDPI,Applied Sciences,,,2076-3417,
hh,2020,1303,10.3390/healthcare8030314,FALSE,MDPI,Healthcare,,,2227-9032,
hh,2020,1673,10.3390/app11010039,FALSE,MDPI,Applied Sciences,,,2076-3417,
hh,2019,3703,10.1016/j.apenergy.2019.113409,TRUE,Elsevier,Applied Energy,,0306-2619,1872-9118,
hh,2019,1980,10.1016/j.micpro.2019.102908,TRUE,Elsevier,Microprocessors and microsystems,,0141-9331,1872-9436,
hh,2019,1469,10.3390/s19214729,FALSE,MDPI,Sensors,,1424-8220,1424-8220,
hh,2019,1647.66,10.2196/12447,FALSE,"J M I R Publications, Inc.",JMIR Research Protocols,,1929-0748,1929-0748,
hh,2019,943.72,10.1155/2020/9345360,FALSE,Hindawi Publishing Corporation,Journal of Robotics,,1687-9600,1687-9619,
hh,2019,2278.53,10.2196/14271,FALSE,"J M I R Publications, Inc.",Journal of Medical Internet Research,,1438-8871,1438-8871,
hh,2019,1731.67,10.2196/14493,FALSE,"J M I R Publications, Inc.",JMIR Formative Research,,,2561-326X,
hh,2019,1747.34,10.2196/14157,FALSE,"J M I R Publications, Inc.",JMIR Research Protocols,,1929-0748,1929-0748,
hh,2019,126.68,10.1111/apa.14902,TRUE,Wiley-Blackwell,Acta Paediatrica,,0803-5253,1651-2227,
hh,2019,316.62,10.26803/ijlter.18.10.15,TRUE,Tresorix Ltd,"International Journal of Learning, Teaching and Educational Research",,1694-2493,1694-2116,
hh,2019,2720,10.1016/j.energy.2019.03.189,TRUE,Elsevier,Energy,,0360-5442,1873-6785,
hh,2019,324.45,10.1111/apa.14572,TRUE,Wiley-Blackwell Publishing Inc.,Acta Paediatrica,,0803-5253,1651-2227,
hh,2019,2070,10.1016/j.jsams.2018.12.017,TRUE,Elsevier,Journal of Science and Medicine in Sport,,1440-2440,1878-1861,
hh,2019,1339,10.3390/en12071276,FALSE,MDPI,Energies,,1996-1073,1996-1073,
hh,2019,1659,10.3390/s19194279,FALSE,MDPI,Sensors,,1424-8220,1424-8220,
hh,2019,2410,10.1016/j.jbi.2019.103256,TRUE,Academic Press,Journal of Biomedical Informatics,,1532-0464,1532-0480,
hh,2019,2370,10.1186/s13075-018-1797-3,FALSE,BioMed Central,Arthritis Research & Therapy,,1478-6354,1478-6362,
hh,2019,242.61,10.9790/9622-09110101091,FALSE,International Journal of Engineering Research and Applications,International Journal of Engineering Research and Applications,,2248-9622,2248-9622,
hh,2019,176,10.3390/robotics8010021,FALSE,MDPI,Robotics,,,2218-6581,
hh,2019,471.91,10.4236/ce.2019.107108,FALSE,Scientific Research Publishing,Creative Education,,2151-4755,2151-4771,
hh,2019,1660.59,10.3390/ijerph16224543,FALSE,MDPI,International Journal of Environmental Research and Public Health,,1661-7827,1660-4601,
hh,2019,1588,10.3390/en12040690,FALSE,MDPI,Energies,,1996-1073,1996-1073,
hh,2019,1193.12,10.1080/23311886.2019.1622484,FALSE,Cogent OA,Cogent Social Sciences,,,2331-1886,
