"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"hh",2020,467,"10.3390/e23050529",FALSE,"MDPI","Entropy","1099-4300","1099-4300","1099-4300",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"33923125","PMC8145138",NA,NA,TRUE
"hh",2020,408.6,"10.4236/ce.2020.1112206",FALSE,"Scientific Research Publishing","Creative Education","2151-4755","2151-4755","2151-4771",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"hh",2020,940,"10.3390/cryptography4010005",FALSE,"MDPI","Cryptography","2410-387X",NA,"2410-387X",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"hh",2020,1419,"10.3390/en13071846",FALSE,"MDPI","Energies","1996-1073","1996-1073","1996-1073",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"hh",2020,792.2,"10.3389/fsoc.2020.563204",FALSE,"Frontiers","Frontiers in Sociology","2297-7775",NA,"2297-7775",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"33869497","PMC8022530",NA,NA,TRUE
"hh",2020,2760,"10.1016/j.energy.2019.116727",TRUE,"Elsevier","Energy","0360-5442","0360-5442","1873-6785",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"hh",2020,1575.72,"10.3390/app10227995",FALSE,"MDPI","Applied Sciences","2076-3417",NA,"2076-3417",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"hh",2020,2303.91,"10.2196/17201",FALSE,"JMIR Publications","Journal of Medical Internet Research","1438-8871","1438-8871","1438-8871",NA,NA,TRUE,"32271148","PMC7180506",NA,NA,TRUE
"hh",2020,2309.06,"10.2196/17673",FALSE,"JMIR Publications","Journal of Medical Internet Research","1438-8871","1438-8871","1438-8871",NA,NA,TRUE,"32720907","PMC7420525",NA,NA,TRUE
"hh",2020,2930,"10.1016/j.scitotenv.2020.137002",TRUE,"Elsevier","Science of the Total Environment","0048-9697","0048-9697","1879-1026",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"32036131",NA,NA,NA,FALSE
"hh",2020,834,"10.3390/sports8110146",FALSE,"MDPI","Sports","2075-4663",NA,"2075-4663",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"33153168","PMC7692734",NA,NA,TRUE
