institution	period	euro	doi	is_hybrid	publisher
hhs	2019	3136.912	10.1111/jpim.12492	TRUE	Wiley
hhs	2019	1191.9888	10.1016/j.jcorpfin.2019.04.009	TRUE	Elsevier
hhs	2019	1944.8288	10.1016/j.infoandorg.2019.04.004	TRUE	Elsevier
hhs	2019	2501.7888	10.1108/jbim-11-2017-0299	TRUE	Emerald
hhs	2019	3216.4912	10.1108/imr-03-2018-0107	TRUE	Emerald
hhs	2019	1849.768	10.1371/journal.pone.0225826	FALSE	Public Library of Science (PLoS)
hhs	2019	3145.0304	10.1177/0170840618782280	TRUE	SAGE Publications
hhs	2019	711.1152	10.1177/1350508418812585	TRUE	SAGE Publications
hhs	2019	3478.4512	10.1177/0007650319825876	TRUE	SAGE Publications
hhs	2019	1552.9744	10.1016/j.jfineco.2019.04.008	TRUE	Elsevier
hhs	2019	3455.1344	10.1001/jamanetworkopen.2019.19713	FALSE	American Medical Association (AMA)
