"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"hhs",2019,3136.912,"10.1111/jpim.12492",TRUE,"Wiley","Journal of Product Innovation Management","0737-6782","0737-6782","1540-5885",NA,"http://doi.wiley.com/10.1002/tdm_license_1.1",TRUE,NA,NA,NA,NA,FALSE
"hhs",2019,1191.9888,"10.1016/j.jcorpfin.2019.04.009",TRUE,"Elsevier","Journal of Corporate Finance","0929-1199","0929-1199",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"hhs",2019,1944.8288,"10.1016/j.infoandorg.2019.04.004",TRUE,"Elsevier","Information and Organization","1471-7727","1471-7727",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"hhs",2019,2501.7888,"10.1108/jbim-11-2017-0299",TRUE,"Emerald","Journal of Business & Industrial Marketing","0885-8624","0885-8624",NA,NA,"https://www.emerald.com/insight/site-policies",TRUE,NA,NA,NA,NA,FALSE
"hhs",2019,3216.4912,"10.1108/imr-03-2018-0107",TRUE,"Emerald","International Marketing Review","0265-1335","0265-1335",NA,NA,"http://www.emeraldinsight.com/page/tdm",TRUE,NA,NA,NA,NA,FALSE
"hhs",2019,1849.768,"10.1371/journal.pone.0225826",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31805105","PMC6894796",NA,NA,TRUE
"hhs",2019,3145.0304,"10.1177/0170840618782280",TRUE,"SAGE Publications","Organization Studies","0170-8406","0170-8406","1741-3044",NA,"http://journals.sagepub.com/page/policies/text-and-data-mining-license",TRUE,NA,NA,NA,NA,FALSE
"hhs",2019,711.1152,"10.1177/1350508418812585",TRUE,"SAGE Publications","Organization","1350-5084","1350-5084","1461-7323",NA,"http://journals.sagepub.com/page/policies/text-and-data-mining-license",TRUE,NA,NA,NA,NA,FALSE
"hhs",2019,3478.4512,"10.1177/0007650319825876",TRUE,"SAGE Publications","Business & Society","0007-6503","0007-6503","1552-4205",NA,"http://journals.sagepub.com/page/policies/text-and-data-mining-license",TRUE,NA,NA,NA,NA,FALSE
"hhs",2019,1552.9744,"10.1016/j.jfineco.2019.04.008",TRUE,"Elsevier","Journal of Financial Economics","0304-405X","0304-405X",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"hhs",2019,3455.1344,"10.1001/jamanetworkopen.2019.19713",FALSE,"American Medical Association (AMA)","JAMA Network Open","2574-3805",NA,"2574-3805",NA,NA,TRUE,"32191328","PMC7082720",NA,NA,TRUE
