"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"hig",2019,1812.0457600000002,"10.1044/2019_jslhr-s-19-0012",TRUE,"American Speech Language Hearing Association","Journal of Speech, Language, and Hearing Research","1092-4388","1092-4388","1558-9102",NA,NA,TRUE,"31619115",NA,NA,NA,FALSE
"hig",2019,1161.628816,"10.1136/bmjopen-2018-025103",FALSE,"BMJ","BMJ Open","2044-6055","2044-6055","2044-6055",NA,NA,TRUE,"31110088","PMC6530365",NA,NA,TRUE
"hig",2019,1904.89288,"10.1136/bmjopen-2018-022006",FALSE,"BMJ","BMJ Open","2044-6055","2044-6055","2044-6055",NA,NA,TRUE,"30898794","PMC6475446",NA,NA,TRUE
"hig",2019,1591.420688,"10.1016/j.peh.2019.100147",TRUE,"Elsevier BV","Performance Enhancement & Health","2211-2669","2211-2669",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"hig",2019,2649.730592,"10.1016/j.ergon.2019.04.002",TRUE,"Elsevier BV","International Journal of Industrial Ergonomics","0169-8141","0169-8141",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"hig",2019,1578.251888,"10.1016/j.jenvp.2019.101341",TRUE,"Elsevier BV","Journal of Environmental Psychology","0272-4944","0272-4944",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"hig",2019,2731.116608,"10.1016/j.ergon.2019.05.007",TRUE,"Elsevier BV","International Journal of Industrial Ergonomics","0169-8141","0169-8141",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"hig",2019,1223.0228,"10.1016/j.landurbplan.2019.03.015",TRUE,"Elsevier BV","Landscape and Urban Planning","0169-2046","0169-2046",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"hig",2019,2725.092944,"10.1016/j.ergon.2019.05.006",TRUE,"Elsevier BV","International Journal of Industrial Ergonomics","0169-8141","0169-8141",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"hig",2019,1902.57536,"10.1016/j.jenvp.2019.05.005",TRUE,"Elsevier BV","Journal of Environmental Psychology","0272-4944","0272-4944",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"hig",2019,2204.569456,"10.1016/j.nepr.2019.05.004",TRUE,"Elsevier BV","Nurse Education in Practice","1471-5953","1471-5953",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"31128519",NA,NA,NA,FALSE
"hig",2019,2264.2972800000002,"10.1108/lhs-09-2018-0046",TRUE,"Emerald","Leadership in Health Services","1751-1879","1751-1879",NA,NA,"https://www.emerald.com/insight/site-policies",TRUE,"31612787","PMC7324079",NA,NA,FALSE
"hig",2019,1464.346016,"10.3389/fpsyg.2019.00348",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"30886596","PMC6409851",NA,NA,TRUE
"hig",2019,1340.3742719999998,"10.1155/2019/9816098",FALSE,"Hindawi Publishing Corporation","Mathematical Problems in Engineering","1024-123X","1024-123X","1563-5147",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"hig",2019,2316.020928,"10.1109/tsp.2019.2935896",FALSE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Transactions on Signal Processing","1053-587X","1053-587X","1941-0476",NA,NA,TRUE,NA,NA,NA,NA,FALSE
