institution,period,euro,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url
hig,2021,1495.21,10.3390/su13031133,FALSE,,,,,,
hig,2021, 911.20,10.3390/en14071974,FALSE,,,,,,
hig,2021,2709.74,10.1108/MIP-10-2019-0527,TRUE,,,,,,
hig,2021,1153.62,10.3390/buildings11080370,FALSE,,,,,,
hig,2021, 910.29,10.17645/up.v6i3.4073,FALSE,,,,,,
hig,2021,1153.62,10.3390/buildings11080345,FALSE,,,,,,
hig,2021,1307.69,10.3390/jimaging7050078,FALSE,,,,,,
hig,2021,1139.38,10.3390/buildings11050215,FALSE,,,,,,
hig,2021,1952.58,10.1155/2021/5291528,FALSE,,,,,,
hig,2021,1796.60,10.1155/2021/5521713,FALSE,,,,,,
hig,2021,1565.63,10.3390/su132212417,FALSE,,,,,,
hig,2021,1519.71,10.3390/electronics10121375,FALSE,,,,,,
hig,2021,1060.17,10.1080/2331186X.2021.1896425,FALSE,,,,,,
hig,2021,1910.55,10.3390/ijerph18041508,FALSE,,,,,,
hig,2021,1333.54,10.3357/AMHP.5798.2021,TRUE,,,,,,
hig,2021,1894.89,10.3390/ijerph182111456,FALSE,,,,,,
hig,2021,1483.51,10.26420/AustinJPublicHealthEpidemiol.2021.1092,FALSE,,,,,,
hig,2021,1883.47,10.3390/ijerph18136998,FALSE,,,,,,
hig,2021,1097.62,10.5334/aogh.3231,FALSE,,,,,,
hig,2021,1140.88,10.3390/ijgi10050326,FALSE,,,,,,
hig,2021,1140.32,10.3390/pharmacy9020070,FALSE,,,,,,
hig,2021,1647.80,10.3390/en14216925,FALSE,,,,,,
hig,2021,1466.85,10.3390/land10050494,FALSE,,,,,,
hig,2021, 988.37,10.3390/socsci10100401,FALSE,,,,,,
hig,2021, 910.29,10.17645/si.v10i1.4862,FALSE,,,,,,
hig,2021, 830.68,10.3390/socsci10030095,FALSE,,,,,,
hig,2021,2326.31,10.5271/sjweh.3979,FALSE,,,,,,
hig,2021,1894.89,10.3390/ijerph18189537,FALSE,,,,,,
hig,2021,1153.62,10.3390/sports9110152,FALSE,,,,,,
hig,2021,1827.93,10.2147/amep.s307169,TRUE,,,,,,
hig,2021,1490.07,10.1371/journal.pone.0260490,FALSE,,,,,,
hig,2021,1495.21,10.3390/su9040498,FALSE,,,,,,
hig,2021,1552.88,10.3390/su13084560,FALSE,,,,,,
hig,2021,1565.97,10.3390/su132011326,FALSE,,,,,,
hig,2021,1153.62,10.3390/bs11100131,FALSE,,,,,,
hig,2021,1647.80,10.3390/en14227584,FALSE,,,,,,
hig,2021,1482.55,10.3390/sym13101884,FALSE,,,,,,
