institution,period,sek,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url
hig,2021,17900,10.1111/scs.12955,TRUE,,,,,,
hig,2021,17900,10.1111/scs.12910,TRUE,,,,,,
hig,2021,24436,10.3389/fpsyg.2021.702398,FALSE,,,,,,
hig,2021,22799.01,10.1080/1364436X.2020.1860913,TRUE,,,,,,
hig,2021,7250,10.3389/fbuil.2021.735221,FALSE,,,,,,
hig,2021,22799.01,10.1080/19317611.2020.1853301,TRUE,,,,,,
hig,2021,8615.24,10.3389/frsus.2021.684585,FALSE,,,,,,
hig,2021,22734.23,10.3389/fpsyg.2021.699410,FALSE,,,,,,
hig,2021,8980.38,10.3389/frsus.2021.620743,FALSE,,,,,,
hig,2021,23629,10.1002/bse.2699,TRUE,,,,,,
hig,2021,10666.21,10.1177/17298814211053534,FALSE,,,,,,
