institution	period	euro	doi	is_hybrid	publisher
his	2018	1370	10.1038/s41598-018-30721-1	FALSE	Springer Nature America
his	2017	1585.19	10.1152/physiolgenomics.00007.2017	TRUE	American Physiological Society
his	2018	842.26	10.19080/OAJT.2018.02.555597	FALSE	Juniper publishers
his	2017	846.35	10.12688/f1000research.12418.2	FALSE	F1000 Research Ltd
his	2017	1682.067	10.3389/fpsyg.2017.01701	FALSE	Frontiers Media SA
his	2017	1682.07	10.3389/fpsyg.2017.01796	FALSE	Frontiers Media SA
his	2017	1682.067	10.3389/fpsyg.2017.01962	FALSE	Frontiers Media SA
his	2018	835.98	10.1155/2018/8734540	FALSE	Hindawi Limited
his	2018	1470	10.1093/jpo/joy001	TRUE	Oxford University Press
his	2018	2497.552	10.1073/pnas.1800727115	TRUE	National Academy of Sciences
his	2017	1801.86	10.1177/1476750317723965	TRUE	SAGE Publication, Inc
his	2018	908.65	10.1155/2018/9618036	FALSE	Hindawi Limited
his	2017	1335	10.1080/21693277.2017.1374890	FALSE	Taylor & Francis
his	2018	1590.7	10.1016/j.trf.2018.05.009	TRUE	Elsevier LTD
his	2018	2651.16	10.1016/j.srhc.2018.07.001	TRUE	Elsevier LTD
his	2017	1937.65	10.1016/j.orhc.2017.10.003	TRUE	Elsevier LTD
his	2018	1328.517	10.1371/journal.pone.0200329	FALSE	PLOS
his	2017	1305	10.1038/s41598-017-11204-1	FALSE	Springer Nature
his	2017	1305	10.1038/s41598-017-16174-y	FALSE	Nature Publishing Group
his	2018	2083	10.1002/int.22034	TRUE	Wiley
his	2017	2500	10.1111/ijn.12603	TRUE	Wiley
his	2018	2083	10.1111/1468-5973.12230	TRUE	Wiley
his	2018	1500	10.1002/stem.2908	TRUE	AlphaMed Press
his	2018	608	10.1007/978-3-319-99771-1_22	TRUE	Springer
his	2017	2276.76	10.3389/fpsyg.2017.00036	FALSE	Frontiers Media S.A.
his	2017	1271.66	10.1371/journal.pone.0179613	FALSE	PLOS
his	2017	1318.47	10.1371/journal.pone.0170613	FALSE	PLOS
his	2017	630	10.1007/978-3-319-55783-0_2	TRUE	Springer, Cham
his	2017	1539.9	10.1016/j.phrs.2017.10.012	TRUE	Elsevier
his	2017	1817.42	10.1186/s12884-017-1411-8	FALSE	BMC (part of Springer Nature)
