"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"his",2018,1370,"10.1038/s41598-018-30721-1",FALSE,"Springer","Scientific Reports","2045-2322",NA,"2045-2322",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,"30143673","PMC6109051",NA,NA,TRUE
"his",2017,1585.19,"10.1152/physiolgenomics.00007.2017",TRUE,"American Physiological Society","Physiological Genomics","1094-8341","1094-8341","1531-2267",NA,NA,TRUE,"28698227",NA,NA,NA,FALSE
"his",2018,842.26,"10.19080/oajt.2018.02.555597",FALSE,"Juniper Publishers","Open Access Journal of Toxicology","2474-7599",NA,"2474-7599",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"his",2017,846.35,"10.12688/f1000research.12418.2",FALSE,"Faculty of 1000","F1000Research","2046-1402",NA,"2046-1402",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"29983910","PMC6020741",NA,NA,TRUE
"his",2017,1682.067,"10.3389/fpsyg.2017.01701",FALSE,"Frontiers","Frontiers in Psychology","1664-1078",NA,"1664-1078",NA,NA,TRUE,"29033880","PMC5626882",NA,NA,TRUE
"his",2017,1682.07,"10.3389/fpsyg.2017.01796",FALSE,"Frontiers","Frontiers in Psychology","1664-1078",NA,"1664-1078",NA,NA,TRUE,"29081760","PMC5645535",NA,NA,TRUE
"his",2017,1682.067,"10.3389/fpsyg.2017.01962",FALSE,"Frontiers","Frontiers in Psychology","1664-1078",NA,"1664-1078",NA,NA,TRUE,"29184519","PMC5694477",NA,NA,TRUE
"his",2018,835.98,"10.1155/2018/8734540",FALSE,"Hindawi Publishing Corporation","International Journal of Computer Games Technology","1687-7047","1687-7047","1687-7055",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"his",2018,1470,"10.1093/jpo/joy001",TRUE,"Oxford University Press (OUP)","Journal of Professions and Organization","2051-8803","2051-8803","2051-8811",NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"his",2018,2497.552,"10.1073/pnas.1800727115",TRUE,"National Academy of Sciences","Proceedings of the National Academy of Sciences","0027-8424","0027-8424","1091-6490",NA,NA,TRUE,"29946036","PMC6048496",NA,NA,FALSE
"his",2017,1801.86,"10.1177/1476750317723965",TRUE,"SAGE Publications","Action Research","1476-7503","1476-7503","1741-2617",NA,"http://journals.sagepub.com/page/policies/text-and-data-mining-license",TRUE,NA,NA,NA,NA,FALSE
