institution	period	euro	doi	is_hybrid	publisher
his	2019	1709.3952	10.1002/stem.2908	TRUE	Wiley
his	2019	903.912096	10.1155/2019/8731705	FALSE	Hindawi
his	2019	634.768256	10.1080/21693277.2019.1645628	FALSE	Taylor & Francis
his	2019	528.97417599999994	10.1080/21693277.2019.1669505	FALSE	Taylor & Francis
his	2019	302.290512	10.3390/educsci9010016	FALSE	MDPI
his	2019	2176.918752	10.1016/j.cose.2019.01.006	TRUE	Elsevier
his	2019	1495.721744	10.1109/ACCESS.2019.2903738	FALSE	Institute of Electrical and Electronics Engineers
his	2019	1243.954112	10.1002/nop2.264	FALSE	Wiley
his	2019	2075.051712	10.1111/scs.12730	TRUE	Wiley
his	2019	2181.643472	10.1002/acn3.50912	FALSE	Wiley
his	2019	1374.733984	10.1016/j.jss.2019.110452	TRUE	Elsevier
his	2019	1241.1608159999998	10.3390/s19132877	FALSE	MDPI
his	2019	1652.6164319999998	10.1080/16549716.2019.1670033	FALSE	Taylor & Francis
his	2019	1485.6785280000001	10.1109/TSE.2019.2919305	TRUE	Institute of Electrical and Electronics Engineers
his	2019	1543.2653599999999	10.1109/ACCESS.2019.2939724	FALSE	Institute of Electrical and Electronics Engineers
his	2019	1140.2576	10.1145/3340960	TRUE	Association for Computing Machinery
