"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"his",2019,903.912096,"10.1155/2019/8731705",FALSE,"Hindawi Publishing Corporation","Nursing Research and Practice","2090-1429","2090-1429","2090-1437",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31467709","PMC6699260",NA,NA,TRUE
"his",2019,634.768256,"10.1080/21693277.2019.1645628",FALSE,"Taylor & Francis","Production & Manufacturing Research","2169-3277",NA,"2169-3277",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"his",2019,528.9741759999999,"10.1080/21693277.2019.1669505",FALSE,"Taylor & Francis","Production & Manufacturing Research","2169-3277",NA,"2169-3277",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"his",2019,302.290512,"10.3390/educsci9010016",FALSE,"MDPI","Education Sciences","2227-7102",NA,"2227-7102",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"his",2019,2176.918752,"10.1016/j.cose.2019.01.006",TRUE,"Elsevier","Computers & Security","0167-4048","0167-4048",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"his",2019,1495.721744,"10.1109/access.2019.2903738",FALSE,"Institute of Electrical and Electronics Engineers (IEEE)","IEEE Access","2169-3536",NA,"2169-3536",NA,NA,TRUE,NA,NA,NA,NA,TRUE
"his",2019,1243.954112,"10.1002/nop2.264",FALSE,"Wiley","Nursing Open","2054-1058","2054-1058","2054-1058",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31367407","PMC6650684",NA,NA,TRUE
"his",2019,2075.051712,"10.1111/scs.12730",TRUE,"Wiley","Scandinavian Journal of Caring Sciences","0283-9318","0283-9318","1471-6712",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31250941",NA,NA,NA,FALSE
"his",2019,2181.643472,"10.1002/acn3.50912",FALSE,"Wiley","Annals of Clinical and Translational Neurology","2328-9503","2328-9503","2328-9503",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31560180","PMC6856620",NA,NA,TRUE
"his",2019,1374.733984,"10.1016/j.jss.2019.110452",TRUE,"Elsevier","Journal of Systems and Software","0164-1212","0164-1212",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"his",2019,1241.1608159999998,"10.3390/s19132877",FALSE,"MDPI","Sensors","1424-8220",NA,"1424-8220",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"31261716","PMC6650833",NA,NA,TRUE
"his",2019,1652.6164319999998,"10.1080/16549716.2019.1670033",FALSE,"Taylor & Francis","Global Health Action","1654-9716","1654-9716","1654-9880",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31573416","PMC6781231",NA,NA,TRUE
"his",2019,1485.6785280000001,"10.1109/tse.2019.2919305",TRUE,"Institute of Electrical and Electronics Engineers (IEEE)","IEEE Transactions on Software Engineering","0098-5589","0098-5589","1939-3520",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"his",2019,1543.2653599999999,"10.1109/access.2019.2939724",FALSE,"Institute of Electrical and Electronics Engineers (IEEE)","IEEE Access","2169-3536",NA,"2169-3536",NA,NA,TRUE,NA,NA,NA,NA,TRUE
"his",2019,1140.2576,"10.1145/3340960",TRUE,"Association for Computing Machinery (ACM)","ACM Computing Surveys (CSUR)","0360-0300","0360-0300","1557-7341",NA,NA,TRUE,NA,NA,NA,NA,FALSE
