institution	period	euro	doi	is_hybrid	publisher
his	2020	668.40579	10.1021/acsomega.9b03514	FALSE	American Chemical Society (ACS)
his	2020	2168.388576	10.1017/s1463423620000286	FALSE	Cambridge University Press (CUP)
his	2020	2909.470086	10.1016/j.jad.2020.04.023	TRUE	Elsevier
his	2020	1571.769378	10.1016/j.scaman.2020.101107	TRUE	Elsevier
his	2020	2214.821664	10.1016/j.patrec.2020.02.011	TRUE	Elsevier
his	2020	2022.487632	10.3389/fpubh.2020.00285	FALSE	Frontiers
his	2020	819.9114839999999	10.3389/fpubh.2020.00082	FALSE	Frontiers
his	2020	2022.487632	10.3389/fpubh.2020.575062	FALSE	Frontiers
his	2020	2366.156592	10.3389/fpsyg.2020.00987	FALSE	Frontiers
his	2020	846.6473339999999	10.1155/2020/8194389	FALSE	Hindawi Publishing Corporation
his	2020	1974.2047380000001	10.1109/access.2020.3021753	FALSE	Institute of Electrical & Electronics Engineers (IEEE)
his	2020	1267.55595	10.3233/jifs-189074	TRUE	IOS Press
his	2020	1669.18995	10.3390/ijms21020469	FALSE	MDPI
his	2020	1143.562662	10.3390/math8050813	FALSE	MDPI
his	2020	1890.1086839999998	10.3390/s20154284	FALSE	MDPI
his	2020	1689.449094	10.3390/su12166669	FALSE	MDPI
his	2020	1252.380672	10.1093/scan/nsaa071	FALSE	Oxford University Press (OUP)
his	2020	1529.726598	10.1371/journal.pone.0236939	FALSE	Public Library of Science (PLoS)
his	2020	3042.13428	10.1038/s41436-020-01028-2	TRUE	Springer
his	2020	1796.664384	10.1242/bio.052381	FALSE	The Company of Biologists
