"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"hv",2017,704.896,"10.2174/1874434601711010043",FALSE,"Bentham Science Publishers Ltd.","The Open Nursing Journal","1874-4346","1874-4346",NA,NA,NA,TRUE,"28567169","PMC5420171",NA,NA,FALSE
"hv",2017,800.882,"10.1177/2050312117700056",FALSE,"SAGE Publications","SAGE Open Medicine","2050-3121","2050-3121","2050-3121",NA,"http://journals.sagepub.com/page/policies/text-and-data-mining-license",TRUE,"28491304","PMC5406156",NA,NA,TRUE
"hv",2017,2443.387,"10.1016/j.measurement.2017.03.043",TRUE,"Elsevier BV","Measurement","0263-2241","0263-2241",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"hv",2017,1906.371,"10.1016/j.optlastec.2017.05.011",TRUE,"Elsevier BV","Optics & Laser Technology","0030-3992","0030-3992",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"hv",2017,1941.216,"10.1108/ijhma-08-2017-0070",TRUE,"Emerald","International Journal of Housing Markets and Analysis","1753-8270","1753-8270",NA,NA,"http://www.emeraldinsight.com/page/tdm",TRUE,NA,NA,NA,NA,FALSE
"hv",2017,1677.092,"10.3389/fpsyt.2017.00204",FALSE,"Frontiers Media SA","Frontiers in Psychiatry","1664-0640",NA,"1664-0640",NA,NA,TRUE,"29085307","PMC5650609",NA,NA,TRUE
"hv",2017,660.782,"10.4172/2472-1786.100053",FALSE,"OMICS Publishing Group","Journal of Childhood & Developmental Disorders","2472-1786",NA,"2472-1786",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"hv",2017,752.378,"10.3390/coatings7100162",FALSE,"MDPI AG","Coatings","2079-6412",NA,"2079-6412",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"hv",2017,271.942,"10.5430/jnep.v8n2p8",FALSE,"Sciedu Press","Journal of Nursing Education and Practice","1925-4059","1925-4040","1925-4059",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"hv",2017,2103.64,"10.1007/s12529-016-9623-2",TRUE,"Springer Nature","International Journal of Behavioral Medicine","1070-5503","1070-5503","1532-7558",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,"28124194","PMC5344936",NA,NA,FALSE
