institution	period	euro	doi	is_hybrid	publisher
hv	2018	2740	10.1016/j.psychres.2018.02.047	TRUE	
hv	2018	2386	10.1016/j.matdes.2018.02.011	TRUE	
hv	2018	3093	10.1016/j.matchar.2018.03.024	TRUE	
hv	2018	837.7	10.4236/ce.2018.910113	FALSE	
hv	2018	1166	10.3390/ma11060933	FALSE	
hv	2018	1944	10.1016/j.optlastec.2018.08.006	TRUE	
hv	2018	2009.5	10.3389/fpsyt.2018.00407	FALSE	
hv	2018	1105	10.1016/j.heliyon.2018.e00786	FALSE	
hv	2018	1510	10.1016/j.addma.2018.11.024	TRUE	
hv	2018	905.7	10.4236/ojn.2018.811061	FALSE	
hv	2018	1187.7	10.1080/2331186X.2018.1519143	FALSE	
hv	2019	2380	10.1515/jag-2019-0011	TRUE	
hv	2019	2590	10.1016/j.measurement.2019.06.033	TRUE	
hv	2019	1080	10.1016/j.heliyon.2019.e02578	FALSE	
hv	2019	2590	10.1016/j.measurement.2019.05.020	TRUE	
hv	2019	1548	10.1016/j.mtla.2019.100325	TRUE	
hv	2019	1270	10.3390/coatings9030171	FALSE	
hv	2019	686.153	10.3390/ma12121922	FALSE	
hv	2019	318	0.3390/technologies7040079	FALSE	
hv	2019	1222	10.3390/met9080881	FALSE	
hv	2019	1255	10.3390/ijerph16162829	FALSE	
hv	2019	1432	10.3390/ijerph16101773	FALSE	
hv	2019	400	10.3390/educsci9020080	FALSE	
hv	2019	1400	10.3390/su11195467	FALSE	
hv	2019	589	10.3390/coatings9090552	FALSE	
hv	2019	2102.998	10.1186/s12884-019-2365-9	FALSE	
hv	2019	835.416	10.1177/2050312119852527	FALSE	
hv	2019	1191	10.3390/app9061050	FALSE	
hv	2019	999	10.4236/ojn.2019.94036	FALSE	
hv	2019	2457.309	10.3389/fpsyg.2019.00442	FALSE	
hv	2019	2164.359	10.3389/fpsyt.2019.00406	FALSE	
hv	2019	2123	10.1111/hex.12971	FALSE	
hv	2019	801.6	10.1016/j.rinma.2019.100017	TRUE	
hv	2019	2081	10.1016/j.matdes.2019.108317	FALSE	
hv	2019	2900.483	10.1016/j.wear.2019.05.037	TRUE?	
hv	2019	2666.023	10.1016/j.jmapro.2018.12.023	TRUE?	
