"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"hv",2018,2740,"10.1016/j.psychres.2018.02.047",TRUE,"Elsevier BV","Psychiatry Research","0165-1781","0165-1781",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"29550718",NA,NA,NA,FALSE
"hv",2018,2386,"10.1016/j.matdes.2018.02.011",TRUE,"Elsevier BV","Materials & Design","0264-1275","0264-1275",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"hv",2018,3093,"10.1016/j.matchar.2018.03.024",TRUE,"Elsevier BV","Materials Characterization","1044-5803","1044-5803",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"hv",2018,837.7,"10.4236/ce.2018.910113",FALSE,"Scientific Research Publishing, Inc,","Creative Education","2151-4755","2151-4755","2151-4771",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"hv",2018,1166,"10.3390/ma11060933",FALSE,"MDPI AG","Materials","1996-1944",NA,"1996-1944",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"29865160","PMC6025556",NA,NA,TRUE
"hv",2018,1944,"10.1016/j.optlastec.2018.08.006",TRUE,"Elsevier BV","Optics & Laser Technology","0030-3992","0030-3992",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"hv",2018,2009.5,"10.3389/fpsyt.2018.00407",FALSE,"Frontiers Media SA","Frontiers in Psychiatry","1664-0640",NA,"1664-0640",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"30233428","PMC6129942",NA,NA,TRUE
"hv",2018,1105,"10.1016/j.heliyon.2018.e00786",FALSE,"Elsevier BV","Heliyon","2405-8440","2405-8440",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"30294690","PMC6168960",NA,NA,TRUE
"hv",2018,1510,"10.1016/j.addma.2018.11.024",TRUE,"Elsevier BV","Additive Manufacturing","2214-8604","2214-8604",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"hv",2018,905.7,"10.4236/ojn.2018.811061",FALSE,"Scientific Research Publishing, Inc,","Open Journal of Nursing","2162-5336","2162-5336","2162-5344",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
