"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"hv",2020,1646.5458059999999,"10.3390/ma13173770",FALSE,"MDPI AG","Materials","1996-1944",NA,"1996-1944",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"32859031","PMC7503919",NA,NA,TRUE
"hv",2020,271.248912,"10.34190/ejeg.18.1.003",FALSE,"Academic Conferences International Ltd","Electronic Journal of e-Government","1479-439X",NA,"1479-439X",NA,NA,TRUE,NA,NA,NA,NA,TRUE
"hv",2020,862.10595,"10.1016/j.mtcomm.2020.100958",TRUE,"Elsevier BV","Materials Today Communications","2352-4928","2352-4928",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"hv",2020,2719.584972,"10.1016/j.surfcoat.2020.125950",TRUE,"Elsevier BV","Surface and Coatings Technology","0257-8972","0257-8972",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"hv",2020,2831.558814,"10.1016/j.wear.2020.203284",TRUE,"Elsevier BV","Wear","0043-1648","0043-1648",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"hv",2020,2053.343808,"10.1097/ceh.0000000000000303",TRUE,"Ovid Technologies (Wolters Kluwer Health)","Journal of Continuing Education in the Health Professions","0894-1912","0894-1912",NA,NA,NA,TRUE,"33284172","PMC7707155",NA,NA,FALSE
"hv",2020,891.39852,"10.17645/pag.v8i3.3015",FALSE,"Cogitatio","Politics and Governance","2183-2463",NA,"2183-2463",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE
"hv",2020,371.476152,"10.26855/er.2020.03.004",FALSE,"Hill Publishing Group Inc.","The Educational Review, USA","2575-7938","2575-7938","2575-7946",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"hv",2020,379.600416,"10.26855/er.2020.05.001",FALSE,"Hill Publishing Group Inc.","The Educational Review, USA","2575-7938","2575-7938","2575-7946",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"hv",2020,2440.496088,"10.3389/fpsyt.2020.00136",FALSE,"Frontiers Media SA","Frontiers in Psychiatry","1664-0640",NA,"1664-0640",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"32256394","PMC7093576",NA,NA,TRUE
"hv",2020,961.194114,"10.3389/frobt.2020.00046",FALSE,"Frontiers Media SA","Frontiers in Robotics and AI","2296-9144",NA,"2296-9144",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"33501214","PMC7805844",NA,NA,TRUE
"hv",2020,1869.92417142,"10.3390/ijerph17228514",FALSE,"MDPI AG","International Journal of Environmental Research and Public Health","1660-4601",NA,"1660-4601",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"33212944","PMC7698355",NA,NA,TRUE
"hv",2020,1839.5028,"10.3390/ijerph18020659",FALSE,"MDPI AG","International Journal of Environmental Research and Public Health","1660-4601",NA,"1660-4601",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"33466716","PMC7828818",NA,NA,TRUE
"hv",2020,1625.9976,"10.3390/ma13225198",FALSE,"MDPI AG","Materials","1996-1944",NA,"1996-1944",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"33213052","PMC7698544",NA,NA,TRUE
"hv",2020,271.248912,"10.3390/met10010096",TRUE,"MDPI AG","Metals","2075-4701",NA,"2075-4701",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"hv",2020,1409.6304,"10.3390/met10040519",FALSE,"MDPI AG","Metals","2075-4701",NA,"2075-4701",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"hv",2020,1326.361464,"10.3390/met10080996",FALSE,"MDPI AG","Metals","2075-4701",NA,"2075-4701",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"hv",2020,1176.219036,"10.3390/su12041298",FALSE,"MDPI AG","Sustainability","2071-1050",NA,"2071-1050",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"hv",2020,1333.59183,"10.3390/su12166391",FALSE,"MDPI AG","Sustainability","2071-1050",NA,"2071-1050",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
