"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"su",2017,1921,"10.1088/1361-6455/aa52e1",TRUE,"IOP Publishing","Journal of Physics B: Atomic, Molecular and Optical Physics","0953-4075","0953-4075","1361-6455",NA,"http://iopscience.iop.org/info/page/text-and-data-mining",TRUE,NA,NA,NA,NA,FALSE
"kth",2017,1950,"10.1088/1361-6560/aa591d",TRUE,"IOP Publishing","Physics in Medicine and Biology","0031-9155","0031-9155","1361-6560",NA,"http://iopscience.iop.org/info/page/text-and-data-mining",TRUE,"28081009",NA,NA,NA,FALSE
"kth",2017,1729,"10.1088/1361-6463/aa65ed",TRUE,"IOP Publishing","Journal of Physics D: Applied Physics","0022-3727","0022-3727","1361-6463",NA,"http://iopscience.iop.org/info/page/text-and-data-mining",TRUE,NA,NA,NA,NA,FALSE
"uu",2017,1921,"10.1088/1402-4896/aa694e",TRUE,"IOP Publishing","Physica Scripta","0031-8949","0031-8949","1402-4896",NA,"http://iopscience.iop.org/info/page/text-and-data-mining",TRUE,NA,NA,NA,NA,FALSE
"lu",2017,1950,"10.1088/1361-6528/aa6aee",TRUE,"IOP Publishing","Nanotechnology","0957-4484","0957-4484","1361-6528",NA,"http://iopscience.iop.org/info/page/text-and-data-mining",TRUE,"28436381",NA,NA,NA,FALSE
"hb",2017,1950,"10.1088/1361-665x/aa6f25",TRUE,"IOP Publishing","Smart Materials and Structures","0964-1726","0964-1726","1361-665X",NA,"http://iopscience.iop.org/info/page/text-and-data-mining",TRUE,NA,NA,NA,NA,FALSE
"umu",2017,2268,"10.1088/1361-6560/aa6e1b",TRUE,"IOP Publishing","Physics in Medicine and Biology","0031-9155","0031-9155","1361-6560",NA,"http://iopscience.iop.org/info/page/text-and-data-mining",TRUE,"28561014",NA,NA,NA,FALSE
"uu",2017,1921,"10.1088/1752-7163/aa720b",TRUE,"IOP Publishing","Journal of Breath Research","1752-7163",NA,"1752-7163",NA,"http://iopscience.iop.org/info/page/text-and-data-mining",TRUE,"28660856",NA,NA,NA,FALSE
"su",2017,2268,"10.1088/1751-8121/aa8125",TRUE,"IOP Publishing","Journal of Physics A: Mathematical and Theoretical","1751-8113","1751-8113","1751-8121",NA,"http://iopscience.iop.org/info/page/text-and-data-mining",TRUE,NA,NA,NA,NA,FALSE
"uu",2017,1755,"10.1088/1752-7163/aa7957",TRUE,"IOP Publishing","Journal of Breath Research","1752-7163",NA,"1752-7163",NA,"http://iopscience.iop.org/info/page/text-and-data-mining",TRUE,"28612760",NA,NA,NA,FALSE
