institution	period	euro	doi	is_hybrid	publisher
kau	2014	989	10.3390/e16105198	FALSE	
kau	2014	1018	10.1371/journal.pone.0113675	FALSE	
kau	2014	1515	10.1186/2049-3258-73-4	FALSE	
kau	2014	1512	10.1016/j.eujim.2014.05.005	TRUE	
kau	2014	1888	10.1186/1477-7517-11-25	FALSE	
kau	2014	1833	10.1186/1472-6882-14-417	FALSE	
kau	2014	2263	10.1111/lnc3.12174	TRUE	
kau	2014	1251	10.3892/ijo.2014.2696	TRUE	
kau	2014	1119	10.2340/00015555-1941	FALSE	
kau	2015	273	10.19154/njwls.v5i2.4793	FALSE	
kau	2015	273	10.19154/njwls.v5i2.4791	FALSE	
kau	2015	1157	10.3390/su71115693	FALSE	
kau	2015	273	10.19154/njwls.v5i2.4795	FALSE	
kau	2015	2215	10.1016/j.comnet.2015.07.014	TRUE	
kau	2015	823	10.17645/mac.v3i3.305	FALSE	
kau	2015	273	10.19154/njwls.v5i2.4790	FALSE	
kau	2015	760	10.4172/2157-7595.1000219	FALSE	
kau	2015	1873	10.4172/2161-0711.1000386	FALSE	
kau	2015	1072	10.15376/biores.10.3.3934-3947	FALSE	
kau	2015	308	10.1063/1.4913701	TRUE	
kau	2015	616	10.1016/j.colcom.2015.01.001	TRUE	
kau	2016	276	10.19154/njwls.v5i4.4842	FALSE	
kau	2016	1088	10.15376/biores.11.3.5961-5973	FALSE	
kau	2016	276	10.19154/njwls.v6i2.4971	FALSE	
kau	2016	1743	10.1186/s12906-016-1089-x	FALSE	
kau	2016	833	10.17645/si.v4i3.481	FALSE	
kau	2016	2324	10.1016/j.drugpo.2016.03.007	TRUE	
kau	2016	989	10.15376/biores.11.2.3373-3383	FALSE	
kau	2016	673	10.17585/njlr.v2.230	FALSE	
kau	2016	931	10.2340/00015555-2480	FALSE	
kau	2017	722	10.1080/21693277.2017.1374886	FALSE	
kau	2017	2408	10.3892/ijo.2017.3996	TRUE	
kau	2017	1270	10.1109/ACCESS.2017.2765539	FALSE	
kau	2017	1387	10.3390/ijerph14060581	FALSE	
kau	2017	1165	10.15376/biores.13.1.1202-1222	FALSE	
kau	2017	1050	10.3183/NPPRJ-2017-32-01-p021-024	TRUE	
kau	2017	1555	10.1016/j.jbusres.2017.04.014	TRUE	
kau	2017	1506	10.1186/s12955-017-0755-0	FALSE	
kau	2017	3318	10.1016/j.envsci.2017.07.001	TRUE	
kau	2017	1648	10.1332/204674317X15015138368221	TRUE	
kau	2017	683	10.2174/1745017901713010001	FALSE	
kau	2017	2006	10.1111/scs.12473	TRUE	
kau	2017	1728	10.1016/j.jsr.2017.06.008	TRUE	
kau	2017	1469	10.1016/j.eujim.2017.04.011	TRUE	
kau	2017	2143	10.1136/jech-2017-209784	TRUE	
kau	2017	802	10.1186/s13705-017-0132-1	FALSE	
kau	2017	1161	10.3390/su9122275	FALSE	
kau	2017	1720	10.1186/s12954-017-0186-6	FALSE	
kau	2017	1555	10.1016/j.jaging.2017.07.001	TRUE	
kau	2017	2071	10.1080/10495142.2017.1326342	TRUE	
kau	2017	1965	10.1098/rsbl.2017.0208	TRUE	
kau	2017	2126	10.3389/fpsyg.2017.00066	FALSE	
kau	2017	1296	10.1016/j.jnc.2017.02.007	TRUE	
kau	2017	683	10.2174/1745017901713010115	FALSE	
kau	2017	2160	10.1016/j.drugpo.2017.11.003	TRUE	
kau	2017	1758	10.1177/0265532217690782	TRUE	
kau	2017	1033	10.23865/njlr.v3.471	FALSE	
kau	2017	2126	10.3389/fpsyg.2017.01970	FALSE	
kau	2017	1397	10.1136/bmjopen-2017-017245	FALSE	
kau	2017	2419	10.1016/j.appet.2017.08.024	TRUE	
kau	2018	174	10.14419/ijet.v7i2.8489	TRUE	
kau	2018	1238	10.3390/su10082738	FALSE	
kau	2018	1543	10.1002/nop2.153	FALSE	
kau	2018	974	10.1071/MF18065	TRUE	
kau	2018	1386	10.1371/journal.pone.0209840	FALSE	
kau	2018	923	10.17645/mac.v6i2.1311	FALSE	
kau	2018	3445	10.1016/j.chroma.2018.07.029	TRUE	
kau	2018	1283	10.1080/17482631.2018.1479586	FALSE	
kau	2018	1299	10.1371/journal.pone.0201290	FALSE	
kau	2018	765	10.2174/1745017901814010304	FALSE	
kau	2018	997	10.1016/j.jretconser.2018.07.004	TRUE	
kau	2018	1695	10.1109/LCOMM.2018.2871457	TRUE	
kau	2018	2853	10.1016/j.jcis.2017.12.051	TRUE	
kau	2018	1133	10.1016/j.ssmph.2018.08.006	FALSE	
kau	2018	2167	10.1017/S0144686X1800137X	TRUE	
kau	2018	2122	10.1016/j.ssci.2017.11.005	TRUE	
kau	2018	1299	10.1371/journal.pone.0204722	FALSE	
kau	2018	1197	10.1016/j.retrec.2018.06.002	TRUE	
kau	2018	927	10.1177/0950017018760212	TRUE	
kau	2018	927	10.1177/0038038515616352	TRUE	
kau	2018	3173	10.1016/j.resconrec.2017.10.037	TRUE	
kau	2018	1299	10.1371/journal.pone.0195626	FALSE	
kau	2018	1299	10.1371/journal.pone.0208393	FALSE	
kau	2018	2267	10.1016/j.nedt.2018.09.028	TRUE	
kau	2018	1393	10.3390/ijerph15020216	FALSE	
kau	2018	2052	10.5271/sjweh.3707	TRUE	
kau	2018	2565	10.1111/cobi.13067	TRUE	
kau	2018	1299	10.1371/journal.pone.0201155	FALSE	
kau	2018	1738	10.1142/S1363919618400091	TRUE	
kau	2018	1012	10.1016/j.pragma.2017.08.008	TRUE	
kau	2018	882	10.1016/j.mtcomm.2018.11.003	TRUE	
kau	2018	1632	10.1016/j.jslw.2018.05.003	TRUE	
kau	2018	1431	10.3390/ma11112068	FALSE	
