"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"kau",2014,989,"10.3390/e16105198",FALSE,"MDPI AG","Entropy","1099-4300",NA,"1099-4300",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"kau",2014,1018,"10.1371/journal.pone.0113675",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"25412343","PMC4239105",NA,NA,TRUE
"kau",2014,1515,"10.1186/2049-3258-73-4",FALSE,"Springer Science + Business Media","Archives of Public Health","2049-3258",NA,"2049-3258",NA,"http://www.springer.com/tdm",TRUE,"25973194","PMC4429322",NA,NA,TRUE
"kau",2014,1512,"10.1016/j.eujim.2014.05.005",TRUE,"Elsevier BV","European Journal of Integrative Medicine","1876-3820","1876-3820",NA,NA,"http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,FALSE
"kau",2014,1888,"10.1186/1477-7517-11-25",FALSE,"Springer Science + Business Media","Harm Reduction Journal","1477-7517","1477-7517",NA,NA,NA,TRUE,"25200686","PMC4160913",NA,NA,TRUE
"kau",2014,1833,"10.1186/1472-6882-14-417",FALSE,"Springer Science + Business Media","BMC Complementary and Alternative Medicine","1472-6882",NA,"1472-6882",NA,"http://creativecommons.org/licenses/by/2.0",TRUE,"25344737","PMC4219027",NA,NA,TRUE
"kau",2014,2263,"10.1111/lnc3.12174",TRUE,"Wiley-Blackwell","Language and Linguistics Compass","1749-818X",NA,NA,NA,"http://doi.wiley.com/10.1002/tdm_license_1.1",TRUE,NA,NA,NA,NA,FALSE
"kau",2014,1251,"10.3892/ijo.2014.2696",TRUE,"Spandidos Publications","International Journal of Oncology","1019-6439","1019-6439","1791-2423",NA,NA,TRUE,"25310018","PMC4238731",NA,NA,FALSE
"kau",2014,1119,"10.2340/00015555-1941",FALSE,"Acta Dermato-Venereologica","Acta Dermato Venereologica","0001-5555","0001-5555",NA,NA,NA,TRUE,"25117201",NA,NA,NA,TRUE
"kau",2015,273,"10.19154/njwls.v5i2.4793",FALSE,"Aarhus University Library","Nordic Journal of Working Life Studies","2245-0157","2245-0157",NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE
"kau",2015,273,"10.19154/njwls.v5i2.4791",FALSE,"Aarhus University Library","Nordic Journal of Working Life Studies","2245-0157","2245-0157",NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE
"kau",2015,1157,"10.3390/su71115693",FALSE,"MDPI AG","Sustainability","2071-1050",NA,"2071-1050",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"kau",2015,273,"10.19154/njwls.v5i2.4795",FALSE,"Aarhus University Library","Nordic Journal of Working Life Studies","2245-0157","2245-0157",NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE
