"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"kau",2020,1625.3298,"10.1002/nop2.461",FALSE,"Wiley-Blackwell","Nursing Open","2054-1058","2054-1058","2054-1058",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"33331694","PMC7938398",NA,NA,TRUE
"kau",2020,1845.8946,"10.1088/1748-9326/ab9ed0",FALSE,"IOP Publishing","Environmental Research Letters","1748-9326",NA,"1748-9326",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE
"kau",2020,1533.9366,"10.1016/j.envint.2019.105185",FALSE,"Elsevier BV","Environment International","0160-4120","0160-4120",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31668669",NA,NA,NA,TRUE
"kau",2020,2576.754,"10.2147/jmdh.s261768",FALSE,"Informa UK Limited","Journal of Multidisciplinary Healthcare","1178-2390",NA,"1178-2390",NA,"http://creativecommons.org/licenses/by-nc/3.0/",TRUE,"32884281","PMC7443398",NA,NA,TRUE
"kau",2020,2381.7563999999998,"10.1108/jet-07-2019-0033",TRUE,"Emerald","Journal of Enabling Technologies","2398-6263","2398-6263",NA,NA,"https://www.emerald.com/insight/site-policies",TRUE,NA,NA,NA,NA,FALSE
"kau",2020,1075.5396,"10.1016/j.ijdrr.2020.101590",TRUE,"Elsevier BV","International Journal of Disaster Risk Reduction","2212-4209","2212-4209",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"kau",2020,2826.8928,"10.1063/5.0018223",TRUE,"AIP Publishing","Review of Scientific Instruments","0034-6748","0034-6748","1089-7623",NA,NA,TRUE,"33514242",NA,NA,NA,FALSE
"kau",2020,1465.4394,"10.1371/journal.pone.0228659",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"32187199","PMC7080241",NA,NA,TRUE
"kau",2020,2610.621,"10.1111/josh.12904",TRUE,"Wiley-Blackwell","Journal of School Health","0022-4391","0022-4391","1746-1561",NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"32390172","PMC7383898",NA,NA,FALSE
"kau",2020,1240.1046,"10.3390/pr8030352",FALSE,"MDPI AG","Processes","2227-9717",NA,"2227-9717",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"kau",2020,3164.1318,"10.1016/j.chroma.2020.461076",TRUE,"Elsevier BV","Journal of Chromatography A","0021-9673","0021-9673",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"32291077",NA,NA,NA,FALSE
"kau",2020,1787.1281999999999,"10.3390/su12093563",FALSE,"MDPI AG","Sustainability","2071-1050",NA,"2071-1050",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
