institution	period	euro	doi	is_hybrid	publisher
ki	2020	2092.77705	10.7554/elife.61469	FALSE	
ki	2020	2150.013775	10.7554/elife.55212	FALSE	
ki	2020	2464.0738499999998	10.3892/ijo.2021.5167	TRUE	
ki	2020	1653.7691799999998	10.3390/vaccines8040681	FALSE	
ki	2020	1668.530563	10.3390/v12121423	FALSE	
ki	2020	1183.618499	10.3390/su12208475	FALSE	
ki	2020	1513.67664	10.3390/pharmaceutics12100997	FALSE	
ki	2020	1402.921996	10.3390/pathogens9110920	FALSE	
ki	2020	1664.083953	10.3390/nu12123823	FALSE	
ki	2020	1507.68296	10.3390/microorganisms8101546	FALSE	
ki	2020	1012.705211	10.3390/jcm9123812	FALSE	
ki	2020	2075.509219	10.3390/jcm9103206	FALSE	
ki	2020	1656.1977880000002	10.3390/ijms21239022	FALSE	
ki	2020	1656.1977880000002	10.3390/ijms21238990	FALSE	
ki	2020	2110.587815	10.3390/ijerph17228491	FALSE	
ki	2020	1181.506116	10.3390/healthcare8040454	FALSE	
ki	2020	1677.974501	10.3390/genes11101201	FALSE	
ki	2020	699.481916	10.3390/dj8040124	FALSE	
ki	2020	905.977814	10.3390/diagnostics10110966	FALSE	
ki	2020	1831.938129	10.3390/cells9122552	FALSE	
ki	2020	1819.848604	10.3390/cancers12123707	FALSE	
ki	2020	1662.850189	10.3390/biom10121661	FALSE	
ki	2020	1648.586982	10.3390/biom10121621	FALSE	
ki	2020	1491.528241	10.3390/biom10111483	FALSE	
ki	2020	2174.1957439999996	10.3389/fvets.2020.619030	FALSE	
ki	2020	1634.0104689999998	10.3389/froh.2020.609082	FALSE	
ki	2020	2063.11028	10.3389/fpubh.2020.605123	FALSE	
ki	2020	2271.664073	10.3389/fpsyg.2020.603986	FALSE	
ki	2020	2190.986805	10.3389/fpsyg.2020.600841	FALSE	
ki	2020	2221.160508	10.3389/fphar.2020.608136	FALSE	
ki	2020	2188.790744	10.3389/fonc.2020.624079	FALSE	
ki	2020	1650.8890999999999	10.3389/fnsyn.2020.545854	FALSE	
ki	2020	2195.998728	10.3389/fneur.2020.589471	FALSE	
ki	2020	1368.727857	10.3389/fimmu.2020.621225	FALSE	
ki	2020	204.235619	10.3389/fimmu.2020.588642	FALSE	
ki	2020	2260.245918	10.3389/fimmu.2020.583560	FALSE	
ki	2020	1438.497795	10.3389/fdgth.2020.606246	FALSE	
ki	2020	1634.6399999999999	10.2340/16501977-2748	FALSE	
ki	2020	1925.1388799999997	10.2147/jmdh.s277727	FALSE	
ki	2020	1856.769089	10.2147/clep.s285936	FALSE	
ki	2020	1865.0444539999999	10.2147/clep.s282475	FALSE	
ki	2020	2931.362938	10.18632/aging.202342	FALSE	
ki	2020	2931.693758	10.18632/aging.202177	FALSE	
ki	2020	2016.9122399999999	10.14573/altex.2003311	FALSE	
ki	2020	1375.8249190000001	10.1371/journal.pone.0242533	FALSE	
ki	2020	1418.028794	10.1371/journal.pone.0240804	FALSE	
ki	2020	1418.028794	10.1371/journal.pone.0240696	FALSE	
ki	2020	1461.2718329999998	10.1371/journal.pone.0239924	FALSE	
ki	2020	1334.369281	10.1371/journal.pone.0239838	FALSE	
ki	2020	1461.2718329999998	10.1371/journal.pone.0239724	FALSE	
ki	2020	1461.2718329999998	10.1371/journal.pone.0239611	FALSE	
ki	2020	1461.2718329999998	10.1371/journal.pone.0239161	FALSE	
ki	2020	1892.006284	10.1371/journal.pntd.0008863	FALSE	
ki	2020	2435.0881799999997	10.1371/journal.pmed.1003474	FALSE	
ki	2020	2932.611297	10.1249/mss.0000000000002490	TRUE	
ki	2020	3565.395036	10.1212/wnl.0000000000010993	TRUE	
ki	2020	2973.509406	10.1212/wnl.0000000000010874	TRUE	
ki	2020	2729.973344	10.1212/nxg.0000000000000526	FALSE	
ki	2020	2087.823507	10.1183/13993003.02120-2020	TRUE	
ki	2020	595.439999	10.1177/1178646920978241	FALSE	
ki	2020	3150.633353	10.1172/jci.insight.135418	FALSE	
ki	2020	2555.950348	10.1136/thoraxjnl-2020-215884	TRUE	
ki	2020	2944.899314	10.1136/jmedgenet-2020-107385	TRUE	
ki	2020	1253.568442	10.1136/esmoopen-2020-001032	FALSE	
ki	2020	1498.081396	10.1136/bmjopen-2020-040334	FALSE	
ki	2020	2080.34211	10.1136/bmjopen-2020-037488	FALSE	
ki	2020	3352.20879	10.1136/bmjgh-2020-003595	FALSE	
ki	2020	2414.063596	10.1097/olq.0000000000001318	TRUE	
ki	2020	2713.4148299999997	10.1097/mat.0000000000001242	TRUE	
ki	2020	2868.859364	10.1097/eja.0000000000001386	TRUE	
ki	2020	1061.593596	10.1097/ee9.0000000000000117	FALSE	
ki	2020	1261.5918	10.1097/cce.0000000000000308	FALSE	
