"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"ki",2021,2476.4967599999995,"10.1001/jamanetworkopen.2021.13014",FALSE,"American Medical Association (AMA)","JAMA Network Open","2574-3805",NA,"2574-3805",NA,NA,TRUE,"34156453","PMC8220491",NA,NA,TRUE
"ki",2021,2502.26094,"10.1001/jamanetworkopen.2021.14716",FALSE,"American Medical Association (AMA)","JAMA Network Open","2574-3805",NA,"2574-3805",NA,NA,TRUE,"34170304","PMC8233703",NA,NA,TRUE
"ki",2021,2498.94798,"10.1001/jamanetworkopen.2021.14904",FALSE,"American Medical Association (AMA)","JAMA Network Open","2574-3805",NA,"2574-3805",NA,NA,TRUE,"34190995","PMC8246315",NA,NA,TRUE
"ki",2021,2457.97968,"10.1001/jamanetworkopen.2021.18516",FALSE,"American Medical Association (AMA)","JAMA Network Open","2574-3805",NA,"2574-3805",NA,NA,TRUE,"34328501","PMC8325072",NA,NA,TRUE
"ki",2021,4199.9655999999995,"10.1001/jamapsychiatry.2021.0469",TRUE,"American Medical Association (AMA)","JAMA Psychiatry","2168-622X","2168-622X",NA,NA,NA,TRUE,"33978699","PMC8117054",NA,NA,FALSE
"ki",2021,1856.7513900000001,"10.1016/j.cub.2021.04.001",TRUE,"Elsevier BV","Current Biology","0960-9822","0960-9822",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"34102128",NA,NA,NA,FALSE
"ki",2021,3211.07662,"10.1016/j.jcmg.2021.02.021",TRUE,"Elsevier BV","JACC: Cardiovascular Imaging","1936-878X","1936-878X",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"33865778",NA,NA,NA,FALSE
"ki",2021,1097.765072,"10.1016/j.jlr.2021.100083",FALSE,"Elsevier BV","The Journal of Lipid Research","0022-2275","0022-2275",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"33939983","PMC8173310",NA,NA,TRUE
"ki",2021,4384.3476,"10.1016/s2215-0366(21)00171-1",TRUE,"Elsevier BV","The Lancet Psychiatry","2215-0366","2215-0366",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"ki",2021,4431.808709999999,"10.1038/s41379-021-00848-0",TRUE,"Springer Nature","Modern Pathology","0893-3952","0893-3952","1530-0285",NA,"https://creativecommons.org/licenses/by/4.0",TRUE,"34108637",NA,NA,NA,FALSE
"ki",2021,4971.179303999999,"10.1038/s41388-021-01825-2",TRUE,"Springer Nature","Oncogene","0950-9232","0950-9232","1476-5594",NA,"https://creativecommons.org/licenses/by/4.0",TRUE,"34021259",NA,NA,NA,FALSE
"ki",2021,4536.2931579999995,"10.1038/s41416-021-01383-0",TRUE,"Springer Nature","British Journal of Cancer","0007-0920","0007-0920","1532-1827",NA,"https://creativecommons.org/licenses/by/4.0",TRUE,"33837300","PMC8184856",NA,NA,FALSE
"ki",2021,4513.389364,"10.1038/s41467-021-24078-9",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723",NA,"https://creativecommons.org/licenses/by/4.0",TRUE,"34162869","PMC8222401",NA,NA,TRUE
