institution,period,euro,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url
ki,2021,2479.01,10.1001/jamanetworkopen.2021.13014,FALSE,,,,,,
ki,2021,2504.80,10.1001/jamanetworkopen.2021.14716,FALSE,,,,,,
ki,2021,2501.48,10.1001/jamanetworkopen.2021.14904,FALSE,,,,,,
ki,2021,2460.47,10.1001/jamanetworkopen.2021.18516,FALSE,,,,,,
ki,2021,4204.23,10.1001/jamapsychiatry.2021.0469,TRUE,,,,,,
ki,2021,1858.63,10.1016/j.cub.2021.04.001,TRUE,,,,,,
ki,2021,3214.33,10.1016/j.jcmg.2021.02.021,TRUE,,,,,,
ki,2021,1098.88,10.1016/j.jlr.2021.100083,FALSE,,,,,,
ki,2021,4388.79,10.1016/S2215-0366(21)00171-1,TRUE,,,,,,
ki,2021,4436.30,10.1038/s41379-021-00848-0,TRUE,,,,,,
ki,2021,4976.22,10.1038/s41388-021-01825-2,TRUE,,,,,,
ki,2021,4540.89,10.1038/s41416-021-01383-0,TRUE,,,,,,
ki,2021,4517.97,10.1038/s41467-021-24078-9,FALSE,,,,,,
ki,2021,1690.55,10.1038/s41598-021-83008-3,FALSE,,,,,,
ki,2021,1655.67,10.1073/pnas.2011574118,TRUE,,,,,,
ki,2021, 498.88,10.1080/02813432.2021.1928835,FALSE,,,,,,
ki,2021,1726.67,10.1080/1547691X.2021.1905754,FALSE,,,,,,
ki,2021,2203.69,10.1080/21505594.2021.1922010,FALSE,,,,,,
ki,2021, 718.26,10.1097/CCE.0000000000000495,FALSE,,,,,,
ki,2021,2996.25,10.1097/j.pain.0000000000002305,TRUE,,,,,,
ki,2021,3624.93,10.1097/j.pain.0000000000002309,TRUE,,,,,,
ki,2021,2874.13,10.1097/j.pain.0000000000002324,TRUE,,,,,,
ki,2021,3501.52,10.1097/j.pain.0000000000002387,TRUE,,,,,,
ki,2021,2878.96,10.1097/WCO.0000000000000959,TRUE,,,,,,
