institution,period,sek,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url
ki,2021,17291.28,10.1177/15579883211014774,FALSE,,,,,,
ki,2021,15624.18,10.3389/fcimb.2021.668637,FALSE,,,,,,
ki,2021,12752.7,10.3389/fendo.2021.652853,FALSE,,,,,,
ki,2021,25263.51,10.3389/fendo.2021.657698,FALSE,,,,,,
ki,2021,15863.57,10.3389/fgene.2021.680838,FALSE,,,,,,
ki,2021,24575.27,10.3389/fgene.2021.686666,FALSE,,,,,,
ki,2021,24697.11,10.3389/fgene.2021.687745,FALSE,,,,,,
ki,2021,24560.23,10.3389/fgene.2021.688526,FALSE,,,,,,
ki,2021,24697.11,10.3389/fimmu.2021.627986,FALSE,,,,,,
ki,2021,25686.24,10.3389/fimmu.2021.666114,FALSE,,,,,,
ki,2021,24404.47,10.3389/fimmu.2021.677550,FALSE,,,,,,
ki,2021,21317.76,10.3389/fimmu.2021.689472,FALSE,,,,,,
ki,2021,13860.67,10.3389/fmed.2021.651249,FALSE,,,,,,
ki,2021,24502.7,10.3389/fmicb.2021.667718,FALSE,,,,,,
ki,2021,24448.42,10.3389/fmicb.2021.696522,FALSE,,,,,,
ki,2021,18303.35,10.3389/fnagi.2021.644611,FALSE,,,,,,
ki,2021,24477.63,10.3389/fnagi.2021.656990,FALSE,,,,,,
ki,2021,15402.18,10.3389/fnagi.2021.667854,FALSE,,,,,,
ki,2021,16869.27,10.3389/fncel.2021.658662,FALSE,,,,,,
ki,2021,15628.99,10.3389/fncel.2021.680858,FALSE,,,,,,
ki,2021,24748.14,10.3389/fneur.2021.634065,FALSE,,,,,,
ki,2021,24330.72,10.3389/fnins.2021.656876,FALSE,,,,,,
ki,2021,25735.51,10.3389/fnins.2021.660726,FALSE,,,,,,
ki,2021,12539.86,10.3389/fnins.2021.673184,FALSE,,,,,,
ki,2021,15736.47,10.3389/fnins.2021.698633,FALSE,,,,,,
ki,2021,24697.11,10.3389/fonc.2021.640490,FALSE,,,,,,
ki,2021,24591.79,10.3389/fonc.2021.692834,FALSE,,,,,,
ki,2021,24991.52,10.3389/fphys.2021.676501,FALSE,,,,,,
ki,2021,22319.52,10.3389/fpsyg.2021.575100,FALSE,,,,,,
ki,2021,24484.12,10.3389/fpsyg.2021.580463,FALSE,,,,,,
ki,2021,6138.88,10.3389/fpsyt.2021.651083,FALSE,,,,,,
ki,2021,25441.39,10.3389/fpsyt.2021.658171,FALSE,,,,,,
ki,2021,15372.76,10.3389/fpsyt.2021.676962,FALSE,,,,,,
ki,2021,24762.6,10.3389/fpsyt.2021.682868,FALSE,,,,,,
ki,2021,4539.83,10.3389/ftox.2021.653386,FALSE,,,,,,
ki,2021,2026.86,,FALSE,Longdom Publishing SL,Internal Medicine,,,2165-8048,https://www.longdom.org/open-access/could-physical-activity-in-childhood-be-a-link-in-the-development-of-cardiovascular-diseases-in-people-born-extremely-preterm-a-sh-70815.html
