institution;period;sek;doi;is_hybrid;publisher;journal_full_title;issn;issn_print;issn_electronic;url
KI;2025;92628,53;10.1038/s44319-024-00299-z;FALSE ;;;;;;
KI;2025;59891,98;10.1073/pnas.2414230122;TRUE;;;;;;
KI;2025;59646,55;10.1007/s00134-025-07790-8;TRUE;;;;;;
KI;2025;59088,86;10.1093/eurheartj/ehae833;TRUE;;;;;;
KI;2025;57135;10.1101/gr.279510.124;TRUE;;;;;;
KI;2025;56982,78;10.1001/jamaoncol.2025.5511;TRUE;;;;;;
KI;2025;56368,08;10.1001/jamaneurol.2025.5379;TRUE;;;;;;
KI;2025;55676,69;10.1172/JCI180900;FALSE ;;;;;;
KI;2025;55128,35;10.1001/jamaoto.2025.0174;TRUE;;;;;;
KI;2025;55066,1;10.1172/JCI171077;FALSE ;;;;;;
KI;2025;54954,3;10.1111/pcmr.70050;TRUE;;;;;;
KI;2025;54210,82;10.1172/JCI177601;FALSE ;;;;;;
KI;2025;53676,9;10.1172/JCI190286;FALSE ;;;;;;
KI;2025;53437,31;10.1136/bjo-2025-327294;FALSE ;;;;;;
KI;2025;52633,36;10.1073/pnas.2426917122;TRUE;;;;;;
KI;2025;52404,92;10.1093/jnci/djaf188;FALSE ;;;;;;
KI;2025;52377,9;10.1073/pnas.2427211122;TRUE;;;;;;
KI;2025;52283,66;10.1161/STROKEAHA.124.048096;TRUE;;;;;;
KI;2025;52066,37;10.1097/UPJ.0000000000000860;TRUE;;;;;;
KI;2025;51571,06;10.1126/sciadv.aea4660;FALSE ;;;;;;
KI;2025;51284,78;10.1073/pnas.2503629122;TRUE;;;;;;
KI;2025;47917,2;10.1001/jamapsychiatry.2025.1281;TRUE;;;;;;
KI;2025;47736,63;10.1212/wnl.0000000000213771;TRUE;;;;;;
KI;2025;47586,7;10.1016/j.jacbts.2025.101322;FALSE;;;;;;
KI;2025;46946,64;10.1126/sciadv.ady8316;FALSE ;;;;;;
KI;2025;46716,4;10.1212/WNL.0000000000214614;TRUE;;;;;;
KI;2025;46498,96;10.1126/sciadv.adx9450;FALSE ;;;;;;
KI;2025;46143,3;10.1212/WNL.0000000000214446;TRUE;;;;;;
KI;2025;46064,02;10.1172/jci.insight.199679 ;FALSE ;;;;;;
KI;2025;45913,94;10.1126/sciadv.adx4577;FALSE ;;;;;;
KI;2025;44457,99;10.1136/spcare-2025-005618;TRUE;;;;;;
KI;2025;44455,79;10.1126/sciadv.adz0510;FALSE ;;;;;;
KI;2025;44238,65;10.1213/ane.0000000000007583;TRUE;;;;;;
KI;2025;42757,8;10.1126/sciadv.ads4371;FALSE ;;;;;;
KI;2025;42728,97;10.1126/sciadv.ads7525;FALSE ;;;;;;
KI;2025;41515,24;10.1161/ATVBAHA.125.323112;TRUE;;;;;;
KI;2025;40498,14;10.1161/CIRCGEN.124.005220;TRUE;;;;;;
KI;2025;40067,4;10.1128/mbio.02689-25;FALSE ;;;;;;
KI;2025;39445,95;10.1093/braincomms/fcaf299;FALSE ;;;;;;
KI;2025;39246,17;10.1093/braincomms/fcaf177;FALSE ;;;;;;
KI;2025;38729;10.1089/crispr.2025.0023;TRUE;;;;;;
