institution	period	euro	doi	is_hybrid
ki	2017	3498.53	10.1016/j.sbi.2017.03.006	FALSE
ki	2017	1076.47	10.1016/j.redox.2017.03.013	FALSE
ki	2017	3498.53	10.1016/j.conb.2017.10.005	TRUE
ki	2017	4485.3	10.1016/j.celrep.2017.05.067	FALSE
ki	2017	1291.76	10.1016/j.redox.2017.05.014	FALSE
ki	2017	1345.59	10.1016/j.redox.2017.06.013	FALSE
ki	2017	2242.65	10.1016/j.redox.2017.06.002	FALSE
ki	2017	3498.53	10.1016/j.conb.2017.11.004	TRUE
ki	2017	4485.3	10.1016/j.celrep.2017.05.030	FALSE
ki	2017	3139.71	10.1016/j.envint.2017.02.006	TRUE
ki	2017	3139.71	10.1016/j.envint.2017.02.004	TRUE
ki	2017	1390.44	10.1016/j.apergo.2017.02.004	TRUE
ki	2017	2780.88	10.1016/j.apergo.2017.02.012	TRUE
ki	2017	3139.71	10.1016/j.envint.2017.04.013	TRUE
ki	2017	2332.35	10.1016/j.tiv.2017.09.016	TRUE
ki	2017	2242.65	10.1016/j.ijheh.2017.11.003	TRUE
ki	2017	2691.18	10.1016/j.ebiom.2017.11.009	FALSE
ki	2017	1614.71	10.1016/j.ssci.2017.10.021	TRUE
ki	2017	2691.18	10.1016/j.healthpol.2017.04.013	TRUE
ki	2017	3139.71	10.1016/j.fertnstert.2017.05.010	TRUE
ki	2017	2870.59	10.1016/j.envres.2017.10.049	TRUE
ki	2017	3139.71	10.1016/j.taap.2017.11.009	TRUE
ki	2017	3184.56	10.1016/j.amjmed.2017.02.028	TRUE
ki	2017	448.53	10.1016/j.jsxm.2017.04.061	TRUE
ki	2017	2960.29	10.1016/j.jagp.2017.06.008	TRUE
ki	2017	1412.87	10.1016/j.nicl.2017.08.014	TRUE
ki	2017	2691.18	10.1016/j.jalz.2017.09.006	TRUE
ki	2017	4485.3	10.1016/j.celrep.2017.05.011	FALSE
ki	2017	4485.3	10.1016/j.cell.2017.05.033	TRUE
ki	2017	1973.53	10.1016/j.ydbio.2017.09.032	TRUE
ki	2017	2691.18	10.1053/j.gastro.2017.11.002	TRUE
ki	2017	2960.29	10.1016/j.jaci.2017.06.043	TRUE
ki	2017	2705.88	10.1053/j.ajkd.2016.10.036	TRUE
ki	2017	861.18	10.1016/j.jcte.2017.06.001	FALSE
ki	2017	1435.29	10.1016/j.ekir.2017.01.001	FALSE
ki	2017	2511.77	10.1016/j.cellsig.2017.10.008	TRUE
ki	2017	2976.47	10.1016/j.soard.2017.01.004	TRUE
ki	2017	4485.3	10.1016/j.immuni.2017.01.009	TRUE
ki	2017	4485.3	10.1016/j.celrep.2017.08.021	FALSE
ki	2017	2332.35	10.1016/j.jid.2017.08.003	TRUE
ki	2017	3139.71	10.1016/j.biomaterials.2017.03.025	TRUE
ki	2017	2691.18	10.1016/j.eurpsy.2017.04.005	TRUE
ki	2017	2466.91	10.1016/j.jaac.2017.05.001	TRUE
ki	2017	2591.18	10.1016/j.blre.2017.08.009	TRUE
ki	2017	672.79	10.1016/j.pvr.2017.05.002	FALSE
ki	2017	2511.77	10.1016/j.mce.2017.10.001	TRUE
ki	2017	1614.71	10.1016/j.jcrimjus.2017.01.002	TRUE
ki	2017	2511.77	10.1016/j.expneurol.2017.02.014	TRUE
ki	2017	2345.1	10.1016/j.bbr.2016.08.058	TRUE
ki	2017	2960.29	10.1016/j.jpain.2017.02.434	TRUE
ki	2017	2511.77	10.1016/j.neuroimage.2017.04.031	TRUE
ki	2017	2691.18	10.1016/j.jad.2017.06.013	TRUE
ki	2017	2960.29	10.1016/j.jpsychores.2017.08.009	TRUE
ki	2017	2099.12	10.1016/j.invent.2017.11.003	FALSE
ki	2017	1076.47	10.1016/j.conctc.2017.01.005	FALSE
ki	2017	1076.47	10.1016/j.pmedr.2017.02.024	FALSE
ki	2017	500	10.1016/j.pmedr.2017.02.009	FALSE
ki	2017	2691.18	10.1016/j.jalz.2017.05.004	TRUE
ki	2017	4485.3	10.1016/j.celrep.2017.07.004	FALSE
ki	2017	3229.41	10.1016/j.jamda.2017.08.014	TRUE
ki	2017	1973.53	10.1016/j.molmet.2017.11.001	FALSE
ki	2017	450.98	10.1016/j.scr.2016.12.006	FALSE
ki	2017	2870.58	10.1016/j.jid.2016.11.033	TRUE
ki	2017	1973.53	10.1016/j.yexcr.2017.02.035	TRUE
ki	2017	1082.35	10.1016/j.pmedr.2016.12.024	FALSE
ki	2017	2063.24	10.1016/j.vaccine.2017.01.055	TRUE
ki	2017	2691.18	10.1016/j.surg.2017.02.017	TRUE
ki	2017	1928.68	10.1016/j.cognition.2017.04.005	TRUE
ki	2017	1345	10.1016/j.redox.2017.03.013	FALSE
ki	2017	2691.18	10.1016/j.euroneuro.2017.03.007	TRUE
ki	2017	2691.18	10.1016/j.atherosclerosis.2017.09.031	TRUE
