"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"ki",2017,3498.53,"10.1016/j.sbi.2017.03.006",FALSE,"Elsevier BV","Current Opinion in Structural Biology","0959-440X","0959-440X",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"28349863",NA,NA,NA,FALSE
"ki",2017,1076.47,"10.1016/j.redox.2017.03.013",FALSE,"Elsevier BV","Redox Biology","2213-2317","2213-2317",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28319891","PMC5357678",NA,NA,TRUE
"ki",2017,3498.53,"10.1016/j.conb.2017.10.005",TRUE,"Elsevier BV","Current Opinion in Neurobiology","0959-4388","0959-4388",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"29126015",NA,NA,NA,FALSE
"ki",2017,4485.3,"10.1016/j.celrep.2017.05.067",FALSE,"Elsevier BV","Cell Reports","2211-1247","2211-1247",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28614715",NA,NA,NA,TRUE
"ki",2017,1291.76,"10.1016/j.redox.2017.05.014",FALSE,"Elsevier BV","Redox Biology","2213-2317","2213-2317",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28578274","PMC5458096",NA,NA,TRUE
"ki",2017,1345.59,"10.1016/j.redox.2017.06.013",FALSE,"Elsevier BV","Redox Biology","2213-2317","2213-2317",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28734244","PMC5520954",NA,NA,TRUE
"ki",2017,2242.65,"10.1016/j.redox.2017.06.002",FALSE,"Elsevier BV","Redox Biology","2213-2317","2213-2317",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28623824","PMC5473548",NA,NA,TRUE
"ki",2017,3498.53,"10.1016/j.conb.2017.11.004",TRUE,"Elsevier BV","Current Opinion in Neurobiology","0959-4388","0959-4388",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"29161639",NA,NA,NA,FALSE
"ki",2017,4485.3,"10.1016/j.celrep.2017.05.030",FALSE,"Elsevier BV","Cell Reports","2211-1247","2211-1247",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28591570","PMC5469938",NA,NA,TRUE
"ki",2017,3139.71,"10.1016/j.envint.2017.02.006",TRUE,"Elsevier BV","Environment International","0160-4120","0160-4120",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28274486",NA,NA,NA,TRUE
"ki",2017,3139.71,"10.1016/j.envint.2017.02.004",TRUE,"Elsevier BV","Environment International","0160-4120","0160-4120",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28216013",NA,NA,NA,TRUE
"ki",2017,1390.44,"10.1016/j.apergo.2017.02.004",TRUE,"Elsevier BV","Applied Ergonomics","0003-6870","0003-6870",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28411720",NA,NA,NA,FALSE
"ki",2017,2780.88,"10.1016/j.apergo.2017.02.012",TRUE,"Elsevier BV","Applied Ergonomics","0003-6870","0003-6870",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28274467",NA,NA,NA,FALSE
"ki",2017,3139.71,"10.1016/j.envint.2017.04.013",TRUE,"Elsevier BV","Environment International","0160-4120","0160-4120",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28500872","PMC5517297",NA,NA,TRUE
"ki",2017,2332.35,"10.1016/j.tiv.2017.09.016",TRUE,"Elsevier BV","Toxicology in Vitro","0887-2333","0887-2333",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28947239",NA,NA,NA,FALSE
