institution	period	euro	doi	is_hybrid
ki	2017	2450	10.1093/hmg/ddx146	TRUE
ki	2017	2450	10.1093/bioinformatics/btx225	TRUE
ki	2017	2130	10.1093/nar/gkx707	FALSE
ki	2017	2730	10.1093/cercor/bhx299	TRUE
ki	2017	2036.76	10.1093/annweh/wxw022	TRUE
ki	2017	2130	10.1093/nar/gkx339	FALSE
ki	2017	2940	10.1093/annweh/wxw022	TRUE
ki	2017	2390	10.1093/mutage/gex027	TRUE
ki	2017	2940	10.1093/ije/dyw357	TRUE
ki	2017	2600	10.1093/jamia/ocx038	TRUE
ki	2017	3120	10.1093/aje/kwx178	TRUE
ki	2017	3087.60	10.1093/bfgp/elx036	TRUE
ki	2017	3087.60	10.1093/ije/dyx208	TRUE
ki	2017	2573	10.1093/ije/dyx238	TRUE
ki	2017	2450	10.1093/chemse/bjx006	TRUE
ki	2017	2600	10.1093/cercor/bhx045	TRUE
ki	2017	2600	10.1093/aje/kwx170	TRUE
ki	2017	2438	10.1093/gerona/glx115	TRUE
ki	2017	2560	10.1093/gerona/glx178	TRUE
ki	2017	2730	10.1093/jnci/djx270	TRUE
ki	2017	2185	10.1093/nar/gkx111	FALSE
ki	2017	2444.16	10.1093/infdis/jix474	TRUE
ki	2017	3590.70	10.1093/cid/cix437	TRUE
ki	2017	2130	10.1093/nar/gkx006	FALSE
ki	2017	2925	10.1093/molehr/gax056	TRUE
ki	2017	1422	10.1093/scan/nsx070	TRUE
ki	2017	2390	10.1093/carcin/bgy059	TRUE
ki	2017	2130	10.1093/nar/gkx940	FALSE
ki	2017	2730	10.1093/cercor/bhx294	TRUE
ki	2017	2600	10.1093/cercor/bhx004	TRUE
ki	2017	2450	10.1093/occmed/kqx111	TRUE
ki	2017	3276	10.1093/cercor/bhy062	TRUE
ki	2017	2573	10.1093/intqhc/mzy001	TRUE
ki	2017	2730	10.1093/jnci/djy021	TRUE
ki	2017	2438	10.1093/humupd/dmx036	TRUE
ki	2017	2940	10.1093/bioinformatics/bty100	TRUE
ki	2017	2438	10.1093/toxsci/kfx289	TRUE
ki	2017	3481.20	10.1093/gerona/gly060	TRUE
