"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"ki",2017,2450,"10.1093/hmg/ddx146",TRUE,"Oxford University Press (OUP)","Human Molecular Genetics","0964-6906","0964-6906","1460-2083",NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"28430993","PMC5886115",NA,NA,FALSE
"ki",2017,2450,"10.1093/bioinformatics/btx225",TRUE,"Oxford University Press (OUP)","Bioinformatics","1367-4803","1367-4803","1460-2059",NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"28430858","PMC5870714",NA,NA,FALSE
"ki",2017,2130,"10.1093/nar/gkx707",FALSE,"Oxford University Press (OUP)","Nucleic Acids Research","0305-1048","0305-1048","1362-4962",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"28977490","PMC5737863",NA,NA,TRUE
"ki",2017,2730,"10.1093/cercor/bhx299",TRUE,"Oxford University Press (OUP)","Cerebral Cortex","1047-3211","1047-3211","1460-2199",NA,NA,TRUE,"29136105",NA,NA,NA,FALSE
"ki",2017,2036.76,"10.1093/annweh/wxw022",TRUE,"Oxford University Press (OUP)","Annals of Work Exposures and Health","2398-7308","2398-7308","2398-7316",NA,NA,TRUE,"28395344","PMC5388188",NA,NA,FALSE
"ki",2017,2130,"10.1093/nar/gkx339",FALSE,"Oxford University Press (OUP)","Nucleic Acids Research","0305-1048","0305-1048","1362-4962",NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"28460122","PMC5499639",NA,NA,TRUE
"ki",2017,2390,"10.1093/mutage/gex027",TRUE,"Oxford University Press (OUP)","Mutagenesis","0267-8357","0267-8357","1464-3804",NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"29529313",NA,NA,NA,FALSE
"ki",2017,2940,"10.1093/ije/dyw357",TRUE,"Oxford University Press (OUP)","International Journal of Epidemiology","0300-5771","0300-5771","1464-3685",NA,NA,TRUE,"28180256","PMC5837703",NA,NA,FALSE
"ki",2017,2600,"10.1093/jamia/ocx038",TRUE,"Oxford University Press (OUP)","Journal of the American Medical Informatics Association","1067-5027","1067-5027","1527-974X",NA,NA,TRUE,"28444384",NA,NA,NA,FALSE
"ki",2017,3120,"10.1093/aje/kwx178",TRUE,"Oxford University Press (OUP)","American Journal of Epidemiology","0002-9262","0002-9262","1476-6256",NA,NA,TRUE,"28633324","PMC5860633",NA,NA,FALSE
"ki",2017,3087.6,"10.1093/bfgp/elx036",TRUE,"Oxford University Press (OUP)","Briefings in Functional Genomics","2041-2649","2041-2649","2041-2657",NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"29106464","PMC6063300",NA,NA,FALSE
"ki",2017,3087.6,"10.1093/ije/dyx208",TRUE,"Oxford University Press (OUP)","International Journal of Epidemiology","0300-5771","0300-5771","1464-3685",NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"29040553","PMC5837783",NA,NA,FALSE
"ki",2017,2573,"10.1093/ije/dyx238",TRUE,"Oxford University Press (OUP)","International Journal of Epidemiology","0300-5771","0300-5771","1464-3685",NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"29161426","PMC5913654",NA,NA,FALSE
"ki",2017,2450,"10.1093/chemse/bjx006",TRUE,"Oxford University Press (OUP)","Chemical Senses","0379-864X","0379-864X","1464-3553",NA,NA,TRUE,"28334095","PMC5863552",NA,NA,FALSE
"ki",2017,2600,"10.1093/cercor/bhx045",TRUE,"Oxford University Press (OUP)","Cerebral Cortex","1047-3211","1047-3211","1460-2199",NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"28334149",NA,NA,NA,FALSE
"ki",2017,2600,"10.1093/aje/kwx170",TRUE,"Oxford University Press (OUP)","American Journal of Epidemiology","0002-9262","0002-9262","1476-6256",NA,NA,TRUE,"28535169","PMC5860481",NA,NA,FALSE
"ki",2017,2438,"10.1093/gerona/glx115",TRUE,"Oxford University Press (OUP)","The Journals of Gerontology Series A: Biological Sciences and Medical Sciences","1079-5006","1079-5006","1758-535X",NA,NA,TRUE,"28605455","PMC5861922",NA,NA,FALSE
"ki",2017,2560,"10.1093/gerona/glx178",TRUE,"Oxford University Press (OUP)","The Journals of Gerontology Series A: Biological Sciences and Medical Sciences","1079-5006","1079-5006","1758-535X",NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"28957993","PMC6132114",NA,NA,FALSE
"ki",2017,2730,"10.1093/jnci/djx270",TRUE,"Oxford University Press (OUP)","JNCI Journal of the National Cancer Institute","0027-8874","0027-8874","1460-2105",NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"29361175","PMC6037086",NA,NA,FALSE
"ki",2017,2185,"10.1093/nar/gkx111",FALSE,"Oxford University Press (OUP)","Nucleic Acids Research","0305-1048","0305-1048","1362-4962",NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"28334749","PMC5435994",NA,NA,TRUE
"ki",2017,2444.16,"10.1093/infdis/jix474",TRUE,"Oxford University Press (OUP)","Journal of Infectious Diseases","0022-1899","0022-1899","1537-6613",NA,NA,TRUE,"28968805","PMC5853514",NA,NA,FALSE
"ki",2017,3590.7,"10.1093/cid/cix437",TRUE,"Oxford University Press (OUP)","Clinical Infectious Diseases","1058-4838","1058-4838","1537-6591",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,"28510633","PMC5848256",NA,NA,FALSE
"ki",2017,2130,"10.1093/nar/gkx006",FALSE,"Oxford University Press (OUP)","Nucleic Acids Research","0305-1048","0305-1048","1362-4962",NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"28100699","PMC5389616",NA,NA,TRUE
