institution	period	euro	doi	is_hybrid
ki	2017	1751.24	10.1002/stem.2509	TRUE
ki	2017	2500	10.1111/febs.14010	TRUE
ki	2017	3300	10.15252/msb.20167374	FALSE
ki	2017	3300	10.15252/msb.20177834	FALSE
ki	2017	1205	10.14814/phy2.13261	FALSE
ki	2017	2327	10.1111/acel.12588	TRUE
ki	2017	3600	10.1111/cea.12911	TRUE
ki	2017	2306.25	10.1161/jaha.117.006778	FALSE
ki	2017	2500	10.1002/em.22163	TRUE
ki	2017	2500	10.1002/mds.27120	TRUE
ki	2017	2500	10.1111/risa.12929	TRUE
ki	2017	2306.25	10.1161/jaha.117.007123	FALSE
ki	2017	4070	10.1111/jgs.14868	TRUE
ki	2017	3125	10.1111/aogs.13157	TRUE
ki	2017	2603.75	10.1111/nin.12217	TRUE
ki	2017	2667	10.1111/1467-9566.12719	TRUE
ki	2017	3583	10.1002/jcc.24692	TRUE
ki	2017	3500	10.1111/joim.12594	TRUE
ki	2017	2817	10.1002/hep4.1124	TRUE
ki	2017	1364	10.1161/jaha.117.005858	FALSE
ki	2017	1845	10.1161/jaha.117.007742	FALSE
ki	2017	2500	10.1111/cpf.12429	TRUE
ki	2017	4271.25	10.1111/exd.13284	FALSE
ki	2017	3429	10.1002/pds.4372	TRUE
ki	2017	3083	10.1111/1471-0528.15034	TRUE
ki	2017	2348	10.1111/jcmm.13305	FALSE
ki	2017	3500	10.1002/jcp.25818	TRUE
ki	2017	1364	10.1161/jaha.117.006279	FALSE
ki	2017	1055.62	10.1111/jsr.12626	TRUE
ki	2017	2500	10.1111/acer.13568	TRUE
ki	2017	1553.6	10.1002/cjp2.74	FALSE
ki	2017	3500	10.1111/jcpe.12670	TRUE
ki	2017	2500	10.1111/tmi.12823	TRUE
ki	2017	1591	10.1002/sctm.17-0028	TRUE
ki	2017	1642	10.1002/brb3.845	FALSE
ki	2017	3667	10.1002/acr.23419	TRUE
ki	2017	1456	10.1002/mbo3.508	TRUE
ki	2017	3300	10.15252/emmm.201707661	TRUE
ki	2017	2500	10.1111/cpf.12449	TRUE
