"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"ki",2017,1751.24,"10.1002/stem.2509",TRUE,"Wiley-Blackwell","STEM CELLS","1066-5099",NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"27671847","PMC5599995",NA,NA,FALSE
"ki",2017,2500,"10.1111/febs.14010",TRUE,"Wiley-Blackwell","FEBS Journal","1742-464X","1742-464X","1742-4658",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"28075068",NA,NA,NA,FALSE
"ki",2017,3300,"10.15252/msb.20167374",FALSE,"EMBO","Molecular Systems Biology","1744-4292","1744-4292","1744-4292",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"28495919","PMC5448164",NA,NA,TRUE
"ki",2017,3300,"10.15252/msb.20177834",FALSE,"EMBO","Molecular Systems Biology","1744-4292","1744-4292","1744-4292",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"28993443","PMC5658704",NA,NA,TRUE
"ki",2017,1205,"10.14814/phy2.13261",FALSE,"Wiley-Blackwell","Physiological Reports","2051-817X",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"28583990","PMC5471428",NA,NA,TRUE
"ki",2017,2327,"10.1111/acel.12588",TRUE,"Wiley-Blackwell","Aging Cell","1474-9718",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"28345297","PMC5418196",NA,NA,TRUE
"ki",2017,3600,"10.1111/cea.12911",TRUE,"Wiley-Blackwell","Clinical & Experimental Allergy","0954-7894",NA,NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28222232","PMC5485024",NA,NA,FALSE
"ki",2017,2306.25,"10.1161/jaha.117.006778",FALSE,"Ovid Technologies (Wolters Kluwer Health)","Journal of the American Heart Association","2047-9980","2047-9980","2047-9980",NA,NA,TRUE,"29151033","PMC5721770",NA,NA,TRUE
"ki",2017,2500,"10.1002/em.22163",TRUE,"Wiley-Blackwell","Environmental and Molecular Mutagenesis","0893-6692",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"29243303","PMC5888189",NA,NA,FALSE
"ki",2017,2500,"10.1002/mds.27120",TRUE,"Wiley-Blackwell","Movement Disorders","0885-3185",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"28881039","PMC5698752",NA,NA,FALSE
"ki",2017,2500,"10.1111/risa.12929",TRUE,"Wiley-Blackwell","Risk Analysis","0272-4332",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"29084354",NA,NA,NA,FALSE
"ki",2017,2306.25,"10.1161/jaha.117.007123",FALSE,"Ovid Technologies (Wolters Kluwer Health)","Journal of the American Heart Association","2047-9980","2047-9980","2047-9980",NA,NA,TRUE,"29242184","PMC5779025",NA,NA,TRUE
"ki",2017,4070,"10.1111/jgs.14868",TRUE,"Wiley-Blackwell","Journal of the American Geriatrics Society","0002-8614",NA,NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28306158",NA,NA,NA,FALSE
"ki",2017,3125,"10.1111/aogs.13157",TRUE,"Wiley-Blackwell","Acta Obstetricia et Gynecologica Scandinavica","0001-6349",NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"28432827","PMC5575676",NA,NA,FALSE
"ki",2017,2603.75,"10.1111/nin.12217",TRUE,"Wiley-Blackwell","Nursing Inquiry","1320-7881",NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"28762593","PMC6084291",NA,NA,FALSE
"ki",2017,2667,"10.1111/1467-9566.12719",TRUE,"Wiley-Blackwell","Sociology of Health & Illness","0141-9889",NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"29480548",NA,NA,NA,FALSE
"ki",2017,3583,"10.1002/jcc.24692",TRUE,"Wiley-Blackwell","Journal of Computational Chemistry","0192-8651",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"28101966","PMC5434909",NA,NA,FALSE
"ki",2017,3500,"10.1111/joim.12594",TRUE,"Wiley-Blackwell","Journal of Internal Medicine","0954-6820",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"28145001",NA,NA,NA,FALSE
"ki",2017,2817,"10.1002/hep4.1124",TRUE,"Wiley-Blackwell","Hepatology Communications","2471-254X","2471-254X","2471-254X",NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"29404512","PMC5776871",NA,NA,TRUE
"ki",2017,1364,"10.1161/jaha.117.005858",FALSE,"Ovid Technologies (Wolters Kluwer Health)","Journal of the American Heart Association","2047-9980","2047-9980","2047-9980",NA,NA,TRUE,"28765277","PMC5586434",NA,NA,TRUE
"ki",2017,1845,"10.1161/jaha.117.007742",FALSE,"Ovid Technologies (Wolters Kluwer Health)","Journal of the American Heart Association","2047-9980","2047-9980","2047-9980",NA,NA,TRUE,"29353231","PMC5850168",NA,NA,TRUE
