institution	period	cost	doi	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	url
kth	2016	1479	10.1039/c4ta05774k	TRUE	Royal Society of Chemistry (RSC)	Journal of Materials Chemistry A			2050-7496	http://pubs.rsc.org/en/Content/ArticleLanding/2015/TA/C4TA05774K#!divAbstract
kth	2016	924	10.1039/c4cc00698d	TRUE	Royal Society of Chemistry (RSC)	Chemical Communications			1364-548X	http://pubs.rsc.org/en/content/articlelanding/2014/cc/c4cc00698d#!divAbstract
kth	2016	1744	10.1039/c6cp05303c	TRUE	Royal Society of Chemistry (RSC)	Physical Chemistry Chemical Physics			1463-9084	http://pubs.rsc.org/en/Content/ArticleLanding/2016/CP/C6CP05303C#!divAbstract
kth	2016	1744	10.1039/c6ta05055g	TRUE	Royal Society of Chemistry (RSC)	Journal of Materials Chemistry A			2050-7496	http://pubs.rsc.org/en/Content/ArticleLanding/2016/TA/C6TA05055G#!divAbstract
kth	2016	1744	10.1039/c5cp05837f	TRUE	Royal Society of Chemistry (RSC)	Physical Chemistry Chemical Physics			1463-9084	http://pubs.rsc.org/en/content/articlelanding/2016/cp/c5cp05837f#!divAbstract
kth	2016	1744	10.1039/c6ra02399a	TRUE	Royal Society of Chemistry (RSC)	RSC Advances			2046-2069	http://pubs.rsc.org/en/content/articlelanding/2016/ra/c6ra02399a#!divAbstract
kth	2016	1744	10.1039/c6ra21447a	TRUE	Royal Society of Chemistry (RSC)	RSC Advances			2046-2069	http://pubs.rsc.org/en/content/articlelanding/2016/ra/c6ra21447a#!divAbstract
kth	2016	1744	10.1039/c6nr03602c	TRUE	Royal Society of Chemistry (RSC)	Nanoscale			2040-3372	http://pubs.rsc.org/en/Content/ArticleLanding/2016/NR/C6NR03602C#!divAbstract
kth	2016	1744	10.1039/c6cy00435k	TRUE	Royal Society of Chemistry (RSC)	Catalysis Science & Technology			2044-4761	http://pubs.rsc.org/en/Content/ArticleLanding/2016/CY/C6CY00435K#!divAbstract
kth	2016	1744	10.1039/c5gc03068d	TRUE	Royal Society of Chemistry (RSC)	Green Chemistry			1463-9270	http://pubs.rsc.org/en/Content/ArticleLanding/2016/GC/C5GC03068D#!divAbstract
