institution	period	euro	doi	is_hybrid	publisher
kth	2017	30	10.4230/LIPIcs.CSL.2017.1	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.10	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.11	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.12	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.13	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.14	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.15	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.16	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.17	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.18	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.19	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.2	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.20	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.21	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.22	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.23	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.24	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.25	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.26	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.27	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.28	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.29	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.3	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.30	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.31	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.32	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.33	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.34	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.35	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.36	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.37	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.38	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.39	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.4	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.40	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.41	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.42	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.5	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.6	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.7	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.8	FALSE	
kth	2017	30	10.4230/LIPIcs.CSL.2017.9	FALSE	
kth	2017	260	10.5194/ars-15-189-2017	FALSE	
kth	2017	300	10.5194/angeo-35-475-2017	FALSE	
kth	2017	360	10.5194/angeo-35-879-2017	FALSE	
kth	2017	420	10.5194/angeo-35-1143-2017	FALSE	
kth	2017	449	10.1016/j.dib.2017.02.015	FALSE	
kth	2017	449	10.1016/j.dib.2017.02.021	FALSE	
kth	2017	449	10.1016/j.dib.2017.07.014	FALSE	
kth	2017	449	10.1016/j.softx.2017.08.002	FALSE	
kth	2017	466	10.1016/j.mex.2017.10.002	FALSE	
kth	2017	520	10.1039/C7RA02992F	FALSE	
kth	2017	525	10.4236/ajcm.2018.81002	FALSE	
kth	2017	639	10.1021/acssuschemeng.7b00663	TRUE	
kth	2017	647	10.3390/app6120405	FALSE	
kth	2017	660	10.5194/angeo-35-493-2017	FALSE	
kth	2017	818	10.1117/1.JMI.5.1.014001	TRUE	
kth	2017	987	10.1016/j.visres.2017.07.005	TRUE	
kth	2017	1050	10.3183/NPPRJ-2017-32-01-p014-020	TRUE	
kth	2017	1050	10.3183/npprj-2017-32-02-p195-203	TRUE	
kth	2017	1050	10.3183/NPPRJ-2017-32-03-p317-323	TRUE	
kth	2017	1050	10.3183/NPPRJ-2017-32-03-p466-472	TRUE	
kth	2017	1075	10.1080/00140139.2017.1398844	TRUE	
kth	2017	1165	10.1038/srep34742	FALSE	
kth	2017	1165	10.1038/srep36117	FALSE	
kth	2017	1201	10.1109/ACCESS.2017.2754346	FALSE	
kth	2017	1203	10.1021/acsomega.7b00925	FALSE	
kth	2017	1220	10.1109/ACCESS.2017.2758845	FALSE	
kth	2017	1274	10.2166/9781780404929_099	TRUE	
kth	2017	1278	10.1021/acssuschemeng.7b03566	TRUE	
kth	2017	1305	10.1038/s41598-017-07016-y	FALSE	
kth	2017	1305	10.1038/s41598-017-07030-0	FALSE	
kth	2017	1305	10.1038/s41598-017-07374-7	FALSE	
kth	2017	1305	10.1038/s41598-017-09548-9	FALSE	
kth	2017	1305	10.1038/s41598-017-10566-w	FALSE	
kth	2017	1305	10.1038/s41598-017-11670-7	FALSE	
kth	2017	1305	10.1038/s41598-017-13462-5	FALSE	
kth	2017	1305	10.1038/s41598-017-13538-2	FALSE	
kth	2017	1328	10.1371/journal.pone.0174314	FALSE	
kth	2017	1336	10.1109/ACCESS.2017.2750242	FALSE	
kth	2017	1372	10.1021/acsomega.7b00067	FALSE	
kth	2017	1403	10.1109/ACCESS.2017.2753283	FALSE	
kth	2017	1497	10.1109/ACCESS.2017.2777185	FALSE	
kth	2017	1535	10.5006/2504	TRUE	
kth	2017	1603	10.5006/2458	TRUE	
kth	2017	1611	10.1021/acs.macromol.7b01318	TRUE	
kth	2017	1615	10.1016/j.trb.2017.04.009	TRUE	
kth	2017	1713	10.1109/TMI.2017.2718218	TRUE	
kth	2017	1755	10.1021/acsami.7b01779	TRUE	
kth	2017	1837	10.1007/978-3-319-73065-3_8	TRUE	
kth	2017	1837	10.1007/978-3-319-73065-3_9	TRUE	
kth	2017	2040	10.1098/rsfs.2016.0154	TRUE	
kth	2017	2192	10.1177/0042098017720149	TRUE	
kth	2017	2227	10.1021/acsenergylett.6b00691	TRUE	
kth	2017	2243	10.1016/j.algal.2017.07.025	TRUE	
kth	2017	2243	10.1016/j.ijrmms.2017.07.004	TRUE	
kth	2017	2243	10.1016/j.nanoen.2017.03.010	TRUE	
kth	2017	2243	10.1016/j.plaphy.2017.07.023	TRUE	
kth	2017	2243	10.1016/j.strusafe.2017.01.006	TRUE	
kth	2017	2500	10.1002/cbic.201700443	TRUE	
kth	2017	2500	10.1002/cssc.201701089	TRUE	
kth	2017	2691	10.1016/j.ebiom.2017.12.008	FALSE	
kth	2017	2691	10.1016/j.nbt.2017.07.011	TRUE	
kth	2017	2750	10.1007/s13280-017-0945-3	TRUE	
kth	2017	2781	10.1016/j.jcis.2017.02.007	TRUE	
kth	2017	2796	10.1016/j.robot.2016.12.013	TRUE	
kth	2017	2800	10.1038/tp.2017.160	FALSE	
kth	2017	2871	10.1016/j.corsci.2017.11.014	TRUE	
kth	2017	2871	10.1016/j.envpol.2017.02.006	TRUE	
kth	2017	2871	10.1016/j.kint.2017.09.019	TRUE	
kth	2017	2960	10.1016/j.ymeth.2017.11.013	TRUE	
kth	2017	3382	10.3791/57297	TRUE	
kth	2017	3409	10.1016/j.jclepro.2017.08.066	TRUE	
kth	2017	3409	10.1016/j.jpowsour.2017.01.092	TRUE	
kth	2017	3700	10.1038/ncomms15840	FALSE	
kth	2017	3700	10.1038/s41467-017-00486-8	FALSE	
